	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Non/silence/plomb	Oui/urne/plomb	Oui/tablette/plomb	Oui/tuyau/plomb	Oui/cercueil/plomb	Oui/cage/plomb	Oui/gants/plomb	Oui/masse/plomb	Oui/lingot/plomb	Oui/morceau/plomb	Oui/armatures/plomb
Non/soleil/plomb	1.0	0.8812704682350159	0.9056798219680786	0.8532758355140686	0.8930479288101196	0.9015710353851318	0.807295024394989	0.7693160772323608	0.6245450973510742	0.8537203073501587	0.23618938028812408	-0.02390795573592186	0.3929165005683899	0.058891307562589645	0.12381365895271301	0.07177727669477463	0.46743881702423096	0.2538430392742157	0.3121783137321472	0.15995891392230988	0.5838882923126221	0.6253429055213928	0.5318028330802917	0.5993935465812683	0.6174789667129517	0.506582498550415	0.5538932085037231	0.5980205535888672	0.5994758009910583	0.5958656668663025	0.28390297293663025	0.34275156259536743	0.37222227454185486	0.46066996455192566	0.3190647065639496	0.218772292137146	0.26695871353149414	0.2974177598953247	0.33459487557411194	0.22027751803398132	
Non/soleil/plomb	0.8812704682350159	1.0	0.8868440389633179	0.884231448173523	0.8828907608985901	0.8405224680900574	0.8397828340530396	0.7989692687988281	0.6775129437446594	0.8110938668251038	0.2475997507572174	-0.012118731625378132	0.4197598099708557	0.02423367090523243	0.08363761752843857	0.06070294231176376	0.419357568025589	0.23107494413852692	0.36617976427078247	0.11692342907190323	0.5151398181915283	0.5661189556121826	0.5291884541511536	0.5442306399345398	0.5186772346496582	0.48543494939804077	0.5361285209655762	0.5891333222389221	0.5730955600738525	0.5446234941482544	0.279712051153183	0.325530469417572	0.3909378945827484	0.42662492394447327	0.2616569697856903	0.18877986073493958	0.33113837242126465	0.31946030259132385	0.3888563811779022	0.20785002410411835	
Non/soleil/plomb	0.9056798219680786	0.8868440389633179	1.0	0.8655944466590881	0.8887327313423157	0.86944979429245	0.8367832899093628	0.7671212553977966	0.6843910217285156	0.8575111627578735	0.2437640279531479	-0.008543956093490124	0.43530896306037903	0.04416812211275101	0.10254478454589844	0.04359962046146393	0.5004228353500366	0.28132370114326477	0.3512423634529114	0.18486452102661133	0.6062501668930054	0.6549413800239563	0.5791526436805725	0.6583272814750671	0.6507103443145752	0.5472102165222168	0.6279631853103638	0.6546844840049744	0.6583091616630554	0.6508781909942627	0.2737099230289459	0.3772551417350769	0.37052789330482483	0.4992588758468628	0.35448163747787476	0.19242481887340546	0.3031361997127533	0.29555970430374146	0.3672976493835449	0.1658637821674347	
Non/soleil/plomb	0.8532758355140686	0.884231448173523	0.8655944466590881	1.0	0.8888751864433289	0.8571953773498535	0.863071858882904	0.8653247356414795	0.6693634986877441	0.839781641960144	0.2671798765659332	0.01960715278983116	0.47358033061027527	0.09947843104600906	0.14228494465351105	0.07512547075748444	0.3916487693786621	0.2651486098766327	0.3425161838531494	0.162316232919693	0.537126362323761	0.5569812655448914	0.5481559038162231	0.5519305467605591	0.5426828265190125	0.4954226315021515	0.5040152072906494	0.5515850186347961	0.5508119463920593	0.5462152361869812	0.30487218499183655	0.3322688043117523	0.3763951361179352	0.35807305574417114	0.25208237767219543	0.2467629611492157	0.3678279519081116	0.3732963502407074	0.36609604954719543	0.2365497350692749	
Non/soleil/plomb	0.8930479288101196	0.8828907608985901	0.8887327313423157	0.8888751864433289	1.0	0.8617762327194214	0.8173374533653259	0.8206866383552551	0.6981022953987122	0.8331640362739563	0.17971861362457275	0.006414186209440231	0.40267467498779297	0.018471375107765198	0.06673940271139145	0.03679342567920685	0.40989574790000916	0.2465265393257141	0.32456061244010925	0.17808623611927032	0.5686670541763306	0.5812941789627075	0.5275435447692871	0.5890164375305176	0.5703752040863037	0.4736354649066925	0.5587998032569885	0.574961245059967	0.6077253222465515	0.5806304812431335	0.25360333919525146	0.2903992235660553	0.37572014331817627	0.42519834637641907	0.28036803007125854	0.14013038575649261	0.2814476490020752	0.23955273628234863	0.3261314332485199	0.13057449460029602	
Non/soleil/plomb	0.9015710353851318	0.8405224680900574	0.86944979429245	0.8571953773498535	0.8617762327194214	1.0	0.7914459109306335	0.8196050524711609	0.6393532752990723	0.8831714987754822	0.2123933732509613	0.0007927040569484234	0.4013076424598694	0.04164522886276245	0.12236300110816956	0.113465815782547	0.39379993081092834	0.29488444328308105	0.27453136444091797	0.20136995613574982	0.5384924411773682	0.5373709797859192	0.5118175148963928	0.5461366772651672	0.5480175018310547	0.4551661014556885	0.5018481016159058	0.5389838218688965	0.5332907438278198	0.544041633605957	0.28725212812423706	0.3135971426963806	0.3542250692844391	0.3819333016872406	0.23908966779708862	0.2294091135263443	0.2425326555967331	0.2904164493083954	0.30088600516319275	0.20301349461078644	
Non/soleil/plomb	0.807295024394989	0.8397828340530396	0.8367832899093628	0.863071858882904	0.8173374533653259	0.7914459109306335	1.0	0.8122525215148926	0.6535831093788147	0.8236174583435059	0.29194945096969604	0.009707675315439701	0.4840260446071625	0.09710001200437546	0.15834751725196838	0.09812519699335098	0.3698285222053528	0.27502942085266113	0.3920372426509857	0.17554925382137299	0.508298933506012	0.5046087503433228	0.5227922797203064	0.5072633624076843	0.5016297101974487	0.4921296536922455	0.47359707951545715	0.5025400519371033	0.5057404041290283	0.49992895126342773	0.3013966977596283	0.3441718518733978	0.39235517382621765	0.39742034673690796	0.2905704379081726	0.24226593971252441	0.36405566334724426	0.3374607563018799	0.40038466453552246	0.23122259974479675	
Non/soleil/plomb	0.7693160772323608	0.7989692687988281	0.7671212553977966	0.8653247356414795	0.8206866383552551	0.8196050524711609	0.8122525215148926	1.0	0.6586084961891174	0.7915379405021667	0.22161635756492615	-0.005327917169779539	0.3999486565589905	0.03365102782845497	0.10721782594919205	0.10456227511167526	0.29955804347991943	0.22082871198654175	0.3438156545162201	0.11890998482704163	0.4428320527076721	0.4422740042209625	0.4774993360042572	0.45668020844459534	0.43475043773651123	0.42349255084991455	0.41529086232185364	0.4671684503555298	0.4530174732208252	0.44091784954071045	0.2672114670276642	0.25710082054138184	0.363160103559494	0.3253549337387085	0.17373357713222504	0.21564912796020508	0.3336050808429718	0.3393615782260895	0.3363344371318817	0.2299211472272873	
Non/soleil/plomb	0.6245450973510742	0.6775129437446594	0.6843910217285156	0.6693634986877441	0.6981022953987122	0.6393532752990723	0.6535831093788147	0.6586084961891174	1.0	0.6190426349639893	0.13746610283851624	0.012643004767596722	0.38137567043304443	0.028482701629400253	0.057475313544273376	0.07667197287082672	0.36197221279144287	0.2764309048652649	0.35671648383140564	0.155050128698349	0.4436526894569397	0.45975393056869507	0.46528562903404236	0.43323853611946106	0.3919745981693268	0.4074624478816986	0.4710119962692261	0.46110421419143677	0.49450668692588806	0.4758080244064331	0.15990404784679413	0.2637646198272705	0.2733567953109741	0.43224552273750305	0.26306217908859253	0.0985279455780983	0.2967221140861511	0.12212227284908295	0.3331570327281952	0.07513564825057983	
Non/soleil/plomb	0.8537203073501587	0.8110938668251038	0.8575111627578735	0.839781641960144	0.8331640362739563	0.8831714987754822	0.8236174583435059	0.7915379405021667	0.6190426349639893	1.0	0.21430669724941254	-0.0032705352641642094	0.39255523681640625	0.04884013161063194	0.12635739147663116	0.1277061253786087	0.41044938564300537	0.29906561970710754	0.3311654329299927	0.1457643359899521	0.554081380367279	0.5210774540901184	0.4832350015640259	0.5631636381149292	0.5539014935493469	0.45477935671806335	0.493179053068161	0.5235934257507324	0.5360978245735168	0.543630063533783	0.24227087199687958	0.34763288497924805	0.4016875922679901	0.40595000982284546	0.29882869124412537	0.24170897901058197	0.2656637132167816	0.3316896855831146	0.3132706582546234	0.1901811957359314	
