	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colères/saines	Non/colères/saines	Oui/vie/saine	Oui/personne/saine	Oui/peau/saine	Oui/nourriture/saine	Oui/chair/saine	Oui/écorces/saines	Oui/dents/saines	Oui/bouche/saine	Oui/jambe/saine	Oui/feuilles/saines	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb
Non/colère/saine	1.0	0.6193748116493225	0.29497650265693665	0.7472171187400818	0.7169453501701355	0.5854445695877075	0.6620380878448486	0.5962549448013306	0.5030802488327026	0.5728281736373901	0.34895774722099304	0.18202616274356842	0.19990533590316772	0.29635876417160034	0.3409734070301056	0.28837934136390686	0.3228289783000946	0.1864728033542633	0.45641210675239563	0.3871992230415344	0.11162582039833069	0.11781542003154755	0.08037479221820831	0.10432387888431549	0.02679404802620411	0.0912073478102684	0.07759704440832138	0.054564159363508224	0.007777155842632055	0.09967338293790817	0.1852259337902069	-0.10548083484172821	0.004707410931587219	0.07768119871616364	0.006978962104767561	-0.003949729260057211	-0.005706933792680502	-0.15375541150569916	-0.06907566636800766	-0.18927863240242004	
Non/colère/saine	0.6193748116493225	1.0	0.5081787109375	0.6625612378120422	0.638063907623291	0.5883728861808777	0.7439926266670227	0.6399391889572144	0.5914060473442078	0.5391137003898621	0.35210612416267395	0.25661903619766235	0.2631755471229553	0.22647373378276825	0.32981613278388977	0.22461210191249847	0.28325122594833374	0.13617634773254395	0.3361463248729706	0.3048989772796631	0.028700752183794975	0.03266778960824013	0.019648078829050064	0.03421209007501602	-0.011799419298768044	-0.0165777038782835	0.01881159283220768	0.0067339069209992886	0.02455820143222809	-0.00943089835345745	0.0788666233420372	-0.15851950645446777	0.09961198270320892	-0.025638088583946228	-0.010669714771211147	-0.10571389645338058	-0.016598451882600784	-0.0681418925523758	0.025630701333284378	-0.07210714370012283	
Non/colère/saine	0.29497650265693665	0.5081787109375	1.0	0.4308964014053345	0.5299202799797058	0.5271962285041809	0.5488317608833313	0.5162103772163391	0.4359687268733978	0.31206467747688293	0.4740777015686035	0.3967764675617218	0.4409666657447815	0.2297372817993164	0.46320217847824097	0.18431201577186584	0.27879419922828674	0.20825046300888062	0.33424660563468933	0.2855534255504608	0.10945771634578705	0.14700554311275482	0.13550913333892822	0.18128304183483124	0.16622237861156464	0.10598339885473251	0.1613888442516327	0.16614378988742828	0.16842718422412872	0.12201528996229172	-0.0009231627336703241	-0.17610128223896027	0.24917426705360413	-0.12836436927318573	-0.04912858456373215	-0.0745515376329422	0.05290273204445839	0.15577492117881775	0.20760303735733032	0.07081075012683868	
Non/colère/saine	0.7472171187400818	0.6625612378120422	0.4308964014053345	1.0	0.7248560786247253	0.7340644001960754	0.6954525113105774	0.825371265411377	0.5539245009422302	0.5727304816246033	0.2146572470664978	0.12349672615528107	0.1447058916091919	0.24089083075523376	0.24126163125038147	0.23962941765785217	0.1831972450017929	0.1416512280702591	0.30675262212753296	0.2554858922958374	0.015230337157845497	0.016273658722639084	0.011802311055362225	0.02421647682785988	-0.009317939169704914	-0.001526659238152206	0.015782158821821213	-0.021998276934027672	-0.03395436331629753	0.019575610756874084	0.021448874846100807	-0.10544369369745255	0.039147716015577316	-0.045346908271312714	0.00039165595080703497	-0.06919245421886444	-0.021410169079899788	-0.047383468598127365	-0.042423065751791	-0.04192100837826729	
Non/colère/saine	0.7169453501701355	0.638063907623291	0.5299202799797058	0.7248560786247253	1.0	0.6395881175994873	0.6519199013710022	0.6727524995803833	0.4937901198863983	0.39983004331588745	0.4066244661808014	0.30117666721343994	0.3243606686592102	0.2818399965763092	0.39969760179519653	0.24670574069023132	0.28211644291877747	0.22548280656337738	0.34427961707115173	0.35634371638298035	0.11107121407985687	0.17485007643699646	0.11907974630594254	0.1681346893310547	0.10845468193292618	0.09233047068119049	0.15099912881851196	0.14178745448589325	0.09275539219379425	0.10345187038183212	0.16066719591617584	-0.13860489428043365	0.16525715589523315	-0.0777197927236557	-0.032012056559324265	-0.07523699849843979	-0.026492374017834663	-0.08713461458683014	0.07283060252666473	-0.12473173439502716	
Non/colère/saine	0.5854445695877075	0.5883728861808777	0.5271962285041809	0.7340644001960754	0.6395881175994873	1.0	0.6282292008399963	0.6920113563537598	0.5115289092063904	0.46462997794151306	0.21815019845962524	0.12190268188714981	0.13925959169864655	0.1849205046892166	0.1824941784143448	0.21606925129890442	0.1634419709444046	0.1455746591091156	0.20535358786582947	0.2018846720457077	0.007902907207608223	0.027417568489909172	0.0027833073399960995	0.02262076549232006	0.00288914842531085	-0.04328380152583122	0.017332710325717926	-0.013003455474972725	-0.010902311652898788	-0.03741805627942085	-0.02831282839179039	-0.17120502889156342	0.05285169184207916	-0.08492574095726013	-0.0053138118237257	-0.12684263288974762	-0.028225736692547798	-0.10024337470531464	0.011989375576376915	-0.04803140461444855	
Non/colère/saine	0.6620380878448486	0.7439926266670227	0.5488317608833313	0.6954525113105774	0.6519199013710022	0.6282292008399963	1.0	0.6972162127494812	0.7100918889045715	0.5644719004631042	0.33709093928337097	0.17890070378780365	0.21796953678131104	0.18952198326587677	0.3258516788482666	0.20865663886070251	0.2550928592681885	0.08320301026105881	0.30555132031440735	0.3263249099254608	0.06933371722698212	0.053311701864004135	0.07422986626625061	0.07829918712377548	0.03375817462801933	0.030163027346134186	0.05381269380450249	0.04434492066502571	0.06718708574771881	0.06505157798528671	-0.003482773434370756	-0.1946764588356018	0.09326131641864777	-0.1312316209077835	-0.08781088888645172	-0.12041639536619186	-0.03219548612833023	-0.04429030418395996	0.06297304481267929	-0.09700413793325424	
Non/colère/saine	0.5962549448013306	0.6399391889572144	0.5162103772163391	0.825371265411377	0.6727524995803833	0.6920113563537598	0.6972162127494812	1.0	0.5215075612068176	0.49789363145828247	0.1806555986404419	0.10241153091192245	0.15952420234680176	0.24089732766151428	0.17643199861049652	0.21385794878005981	0.15006139874458313	0.1312616914510727	0.21106025576591492	0.21005280315876007	0.03342761471867561	0.027868805453181267	0.04423205554485321	0.022400107234716415	0.01227494701743126	0.012712539173662663	0.03152231127023697	0.009999657049775124	0.002588470233604312	0.03363344445824623	0.012303168885409832	-0.15879248082637787	0.09747276455163956	-0.10233306139707565	0.005706313066184521	-0.1156109943985939	0.012044278904795647	-0.019436120986938477	-0.003884254489094019	0.030773228034377098	
Non/colères/saines	0.5030802488327026	0.5914060473442078	0.4359687268733978	0.5539245009422302	0.4937901198863983	0.5115289092063904	0.7100918889045715	0.5215075612068176	1.0	0.6144318580627441	0.24383030831813812	0.167960524559021	0.19984817504882812	0.25020846724510193	0.22238196432590485	0.2744544744491577	0.3169160485267639	0.11058445274829865	0.2579996585845947	0.2761214077472687	-0.03756044805049896	-0.06553425639867783	-0.05657971650362015	-0.05184641107916832	-0.07951366901397705	-0.10479408502578735	-0.044784996658563614	-0.07182824611663818	-0.0784880667924881	-0.041364170610904694	0.014627787284553051	-0.09885289520025253	-0.05525598302483559	-0.02109537087380886	-0.032551202923059464	-0.08461546897888184	-0.08111093938350677	-0.07309821248054504	0.0005104309529997408	-0.036532673984766006	
Non/colères/saines	0.5728281736373901	0.5391137003898621	0.31206467747688293	0.5727304816246033	0.39983004331588745	0.46462997794151306	0.5644719004631042	0.49789363145828247	0.6144318580627441	1.0	0.18633964657783508	0.13204368948936462	0.1910039782524109	0.27176928520202637	0.1810886114835739	0.31076371669769287	0.267233282327652	0.12086346000432968	0.3283669650554657	0.31152915954589844	0.00031075309379957616	-0.07045816630125046	-0.012824405916035175	-0.04151272773742676	-0.08127094060182571	-0.04040876403450966	-0.04029978811740875	-0.1507217288017273	-0.07881534844636917	-0.022697901353240013	-0.04908357560634613	-0.14175088703632355	0.0002627758076414466	0.03678823262453079	-0.005849373526871204	-0.12211126834154129	0.044946860522031784	0.044129468500614166	-0.07524383813142776	0.03665928915143013	
