	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/soleil/plomb	Oui/urne/plomb	Oui/tablette/plomb	Oui/tuyau/plomb	Oui/cercueil/plomb	Oui/cage/plomb	Oui/gants/plomb	Oui/masse/plomb	Oui/lingot/plomb	Oui/morceau/plomb	Oui/armatures/plomb	Non/silence/plomb
Oui/balles/plomb	1.0	0.2999812066555023	0.49100545048713684	0.44335031509399414	0.5262986421585083	0.49587851762771606	0.27767881751060486	0.1989271342754364	0.2206811159849167	0.08914365619421005	0.21430669724941254	0.29138219356536865	0.37116721272468567	0.11669561266899109	0.24917730689048767	0.25304219126701355	0.5305149555206299	0.2690447270870209	0.4306789040565491	0.32886067032814026	0.4621102213859558	0.2459108531475067	
Oui/lamelles/plomb	0.2999812066555023	1.0	0.06405269354581833	0.41624853014945984	0.23842304944992065	0.39081162214279175	0.1226433590054512	0.17991966009140015	0.11125596612691879	0.2592613697052002	-0.0032705352641642094	0.09858369082212448	0.2337474822998047	0.0980389341711998	0.12015420198440552	0.15961946547031403	0.28632909059524536	0.030810294672846794	0.1464436799287796	0.16212038695812225	0.24228180944919586	0.02383187599480152	
Oui/balle/plomb	0.49100545048713684	0.06405269354581833	1.0	0.1469835489988327	0.4117618203163147	0.27742618322372437	0.3827940821647644	0.5710167288780212	0.3793751299381256	0.3259192705154419	0.39255523681640625	0.3985450267791748	0.4278155565261841	0.254014253616333	0.29099375009536743	0.34396544098854065	0.23636245727539062	0.5064248442649841	0.3356858789920807	0.4179839789867401	0.14052323997020721	0.29806655645370483	
Oui/noyaux/plomb	0.44335031509399414	0.41624853014945984	0.1469835489988327	1.0	0.4304053485393524	0.40717464685440063	0.21316075325012207	0.22318105399608612	0.057855602353811264	0.24069488048553467	0.04884013161063194	0.25391310453414917	0.21556487679481506	0.08558275550603867	0.1825966089963913	0.23485684394836426	0.49148157238960266	0.1980227530002594	0.2827502191066742	0.17580750584602356	0.4391486346721649	0.17981749773025513	
Oui/cartouches/plomb	0.5262986421585083	0.23842304944992065	0.4117618203163147	0.4304053485393524	1.0	0.49652889370918274	0.24289260804653168	0.3131556212902069	0.10916800796985626	0.14794564247131348	0.12635739147663116	0.27143627405166626	0.27457356452941895	0.15738274157047272	0.20176729559898376	0.23334859311580658	0.4155590832233429	0.10740784555673599	0.2494927942752838	0.21872512996196747	0.2998720407485962	0.15977011620998383	
Oui/billes/plomb	0.49587851762771606	0.39081162214279175	0.27742618322372437	0.40717464685440063	0.49652889370918274	1.0	0.1802200973033905	0.4562508165836334	0.1711246520280838	0.1963711678981781	0.1277061253786087	0.24434830248355865	0.2689546048641205	0.1502772569656372	0.17487123608589172	0.1568387746810913	0.4565618932247162	0.1329672485589981	0.3269745707511902	0.2818377614021301	0.3060811161994934	0.11342951655387878	
Oui/boulet/plomb	0.27767881751060486	0.1226433590054512	0.3827940821647644	0.21316075325012207	0.24289260804653168	0.1802200973033905	1.0	0.36889809370040894	0.30329975485801697	0.1826740801334381	0.41044938564300537	0.2570706009864807	0.39311540126800537	0.3685322105884552	0.5145007371902466	0.49054428935050964	0.2248210608959198	0.20725367963314056	0.3283129632472992	0.3553989827632904	0.12517231702804565	0.37278124690055847	
Oui/bille/plomb	0.1989271342754364	0.17991966009140015	0.5710167288780212	0.22318105399608612	0.3131556212902069	0.4562508165836334	0.36889809370040894	1.0	0.3393459916114807	0.5014010071754456	0.29906561970710754	0.40431398153305054	0.5401768088340759	0.3121660351753235	0.2997525930404663	0.45331114530563354	0.16887566447257996	0.42725586891174316	0.2484544813632965	0.39567407965660095	0.03235344588756561	0.18361499905586243	
Oui/plaque/plomb	0.2206811159849167	0.11125596612691879	0.3793751299381256	0.057855602353811264	0.10916800796985626	0.1711246520280838	0.30329975485801697	0.3393459916114807	1.0	0.20628972351551056	0.3311654329299927	0.3123686909675598	0.4876553416252136	0.3677513003349304	0.3435327112674713	0.43583229184150696	0.1892486810684204	0.4080701470375061	0.30664148926734924	0.47031399607658386	0.16111023724079132	0.2518342137336731	
Oui/coupole/plomb	0.08914365619421005	0.2592613697052002	0.3259192705154419	0.24069488048553467	0.14794564247131348	0.1963711678981781	0.1826740801334381	0.5014010071754456	0.20628972351551056	1.0	0.1457643359899521	0.34822696447372437	0.32134121656417847	0.1105300635099411	0.1815885305404663	0.30875682830810547	0.08109971135854721	0.21499136090278625	0.04935794696211815	0.12451983243227005	0.0659918412566185	0.11132926493883133	
