	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/soleil/plomb	Oui/urne/plomb	Oui/tablette/plomb	Oui/tuyau/plomb	Oui/cercueil/plomb	Oui/cage/plomb	Oui/gants/plomb	Oui/masse/plomb	Oui/lingot/plomb	Oui/morceau/plomb	Oui/armatures/plomb	Non/silence/plomb	Oui/cheval/grand	Oui/appartement/grand	Oui/lit/grand	Oui/seau/grand	Oui/tableau/grand	Oui/table/grande	Oui/parking/grand	Oui/librairie/grande	Oui/bureau/grand	Oui/miroir/grand	Non/vent/grand	Oui/manteaux/grands	Oui/surface/grande	Oui/mur/grand	Oui/maison/grande	Oui/femme/grande	Oui/parc/grand	Oui/poignard/grand	Oui/chêne/grand	Oui/tentes/grandes	Oui/sacs/grands	Non/ami/grand	Oui/fossé/profond	Oui/galeries/profondes	Oui/gorges/profondes	Oui/puits/profond	Oui/fosse/profonde	Oui/grotte/profonde	Oui/faille/profonde	Oui/caverne/profonde	Oui/forêt/profonde	Oui/cavité/profonde	Non/dégoût/profond	Oui/lac/profond	Oui/tranchées/profondes	Oui/canyons/profonds	Oui/crique/profonde	Oui/sous-sol/profond	Oui/trous/profonds	Oui/remous/profond	Oui/sillon/profond	Oui/douve/profonde	Oui/puisard/profond	Non/sommeil/profond	Oui/lunettes/grosses	Oui/boutons/gros	Oui/chevalière/grosse	Oui/piquets/gros	Oui/objet/gros	Oui/vaisseau/gros	Oui/poche/grosse	Oui/bacs/gros	Oui/flocons/gros	Oui/cloches/grosses	Non/chagrin/gros	Oui/troupeau/éléphants	Oui/groupe/éléphants	Oui/bouse/éléphant	Oui/pattes/éléphants	Oui/défenses/éléphant	Oui/trompe/éléphant	Oui/crânes/éléphant	Oui/peau/éléphant	Oui/dents/éléphant	Oui/tête/éléphant	Non/mémoire/éléphant	Oui/équipement/lourd	Oui/plateau/lourd	Oui/cartable/lourd	Oui/manteau/lourd	Oui/ouvrage/lourd	Oui/bouclier/lourd	Oui/portail/lourd	Oui/revolver/lourd	Oui/crâne/lourd	Oui/sac/lourd	Non/bilan/lourd	Oui/doigts/longs	Oui/mèches/longues	Oui/chaussette/longue	Oui/bras/long	Oui/tables/longues	Oui/guibolles/longues	Oui/moustaches/longues	Oui/siège/long	Oui/mur/long	Oui/queue/longue	Non/lettres/longues
Oui/balles/plomb	1.0	0.6708911657333374	0.8342899680137634	0.7981356382369995	0.8479834794998169	0.8752736449241638	0.6739923357963562	0.8285509943962097	0.8296488523483276	0.8102598190307617	0.5952141284942627	0.8139882683753967	0.8473865389823914	0.7875944972038269	0.7268180847167969	0.7822980880737305	0.81834876537323	0.8615020513534546	0.7994496822357178	0.8491873145103455	0.7367701530456543	0.6874779462814331	0.273183137178421	0.22608345746994019	0.24396079778671265	0.3030768930912018	0.2992333471775055	0.23313495516777039	0.28022152185440063	0.2744898498058319	0.275267094373703	0.2736654281616211	0.21764235198497772	0.1325358897447586	0.26634010672569275	0.3262071907520294	0.2394343912601471	0.23497141897678375	0.21071505546569824	0.2962392568588257	0.2584095597267151	0.08521898835897446	0.08808892965316772	0.20086759328842163	0.2718995213508606	0.16401460766792297	0.024816015735268593	0.3266451358795166	0.20455558598041534	0.2725297808647156	0.2926652133464813	0.23984688520431519	0.2728351652622223	0.30305150151252747	0.18387934565544128	0.2060469537973404	0.14007367193698883	0.057671256363391876	0.28233087062835693	0.3269951045513153	0.11935430765151978	0.3146490454673767	0.2893223464488983	0.19662487506866455	0.2829277515411377	0.32085928320884705	0.08367279171943665	0.18497173488140106	0.23929448425769806	0.1367834210395813	0.26006025075912476	0.24811765551567078	0.215060293674469	0.1077921986579895	0.1326199620962143	0.07273844629526138	0.223062664270401	-0.07201309502124786	-0.020192328840494156	0.2264806181192398	-0.12796269357204437	0.1017693504691124	0.24097710847854614	0.22522220015525818	0.21708646416664124	0.17652972042560577	0.20278924703598022	0.18234315514564514	0.2936418950557709	0.33124446868896484	0.34403151273727417	0.2936233580112457	0.26892149448394775	0.36892199516296387	0.29778963327407837	0.37196072936058044	0.32028108835220337	0.2432737946510315	0.2531510889530182	0.06446544080972672	0.12787498533725739	0.28012049198150635	0.227134570479393	0.022707318887114525	0.04492368921637535	-0.0068355402909219265	0.29625874757766724	0.1967426985502243	0.1934615820646286	0.11840416491031647	
Oui/lamelles/plomb	0.6708911657333374	1.0	0.6042101383209229	0.7063688635826111	0.6227729916572571	0.627740740776062	0.5139073729515076	0.5929791331291199	0.6642367839813232	0.657384991645813	0.46873584389686584	0.5737894773483276	0.6653486490249634	0.5811800360679626	0.613563597202301	0.599621057510376	0.6592879891395569	0.6336334347724915	0.529191255569458	0.6549738049507141	0.615031361579895	0.5826985836029053	0.21800386905670166	0.14870843291282654	0.18823297321796417	0.20706968009471893	0.22318710386753082	0.11897364258766174	0.22343870997428894	0.13868844509124756	0.20867078006267548	0.19604776799678802	0.20083509385585785	0.2747732996940613	0.13803210854530334	0.2408776432275772	0.26426851749420166	0.1650564819574356	0.23818492889404297	0.252623587846756	0.20539402961730957	0.2398136556148529	0.29215049743652344	0.2044413536787033	0.1355687379837036	0.29859036207199097	0.1251874715089798	0.1429591178894043	0.049971286207437515	0.1444043070077896	0.06647755950689316	0.019032839685678482	0.10263890773057938	0.10101526230573654	0.0634458065032959	0.06655135750770569	0.2615501284599304	0.22239996492862701	0.12529870867729187	0.1862330138683319	0.23145809769630432	0.19809773564338684	0.15638171136379242	0.02122689224779606	0.14180515706539154	0.17613668739795685	0.23693013191223145	0.29337623715400696	0.22107510268688202	0.35368186235427856	0.2183365523815155	0.1907128095626831	0.21293790638446808	0.3453105688095093	0.25308647751808167	0.24267999827861786	0.20276311039924622	0.0591946579515934	0.09398204833269119	0.035888753831386566	-0.05832633748650551	0.046897564083337784	0.06164684146642685	0.09393853694200516	0.05856701731681824	0.026656612753868103	0.05699627846479416	0.027123797684907913	0.2384411096572876	0.18340706825256348	0.313493549823761	0.18033821880817413	0.21014663577079773	0.26258525252342224	0.2142806053161621	0.18486836552619934	0.16203130781650543	0.15491993725299835	0.0650402382016182	0.21776582300662994	0.24592472612857819	0.18926875293254852	0.2446150928735733	0.271354615688324	0.27736222743988037	0.24705952405929565	0.21397142112255096	0.19057469069957733	0.19134055078029633	0.28853142261505127	
Oui/balle/plomb	0.8342899680137634	0.6042101383209229	1.0	0.781594455242157	0.8414714336395264	0.8511334657669067	0.7314782738685608	0.8697782754898071	0.8665884733200073	0.8397729396820068	0.6844099164009094	0.8362714648246765	0.8667711019515991	0.8401095867156982	0.7574920654296875	0.7865283489227295	0.8219848871231079	0.8916255235671997	0.806625247001648	0.8550354838371277	0.6547929048538208	0.7447618842124939	0.38212382793426514	0.3299536108970642	0.36212509870529175	0.3760548532009125	0.38085442781448364	0.32071927189826965	0.3928665816783905	0.34715235233306885	0.3877246677875519	0.3557608127593994	0.33351558446884155	0.1073165237903595	0.3014640510082245	0.3796619772911072	0.2989899218082428	0.30464041233062744	0.32647180557250977	0.41930878162384033	0.38144853711128235	0.0380069799721241	0.07025088369846344	0.3030899465084076	0.3733755350112915	0.13289301097393036	-0.05273167043924332	0.413108229637146	0.27054208517074585	0.36356237530708313	0.3573680818080902	0.29302701354026794	0.3456774353981018	0.34795844554901123	0.2745811641216278	0.32841190695762634	0.11141382902860641	-0.001137824496254325	0.3306245505809784	0.4346238672733307	0.06590846925973892	0.3926151692867279	0.38284197449684143	0.24678587913513184	0.3626094162464142	0.4554706811904907	0.06668566167354584	0.2033156007528305	0.2693873345851898	0.10681090503931046	0.350077748298645	0.36162376403808594	0.27400723099708557	0.10598365217447281	0.12410364300012589	0.0035399715416133404	0.3264279067516327	-0.1259932667016983	-0.1008572205901146	0.25541117787361145	-0.15369342267513275	0.13072426617145538	0.29408103227615356	0.2979716956615448	0.2807312607765198	0.20996780693531036	0.2761814594268799	0.27225053310394287	0.2895902693271637	0.3699776232242584	0.35783568024635315	0.30489975214004517	0.29933789372444153	0.3997046947479248	0.30152270197868347	0.39154163002967834	0.3733356297016144	0.27173829078674316	0.32340100407600403	0.03283720463514328	0.12740954756736755	0.36118751764297485	0.32822147011756897	-0.0479317232966423	0.006667237263172865	0.0036064661107957363	0.39495232701301575	0.2971450686454773	0.25904667377471924	0.10787398368120193	
Oui/noyaux/plomb	0.7981356382369995	0.7063688635826111	0.781594455242157	1.0	0.7988350987434387	0.8238377571105957	0.6987318396568298	0.8044263124465942	0.8203630447387695	0.8669288754463196	0.6421921849250793	0.852044403553009	0.8131185173988342	0.7935845851898193	0.7739813923835754	0.7791584730148315	0.8254839181900024	0.8541829586029053	0.7492353916168213	0.8274868726730347	0.7723534107208252	0.7601286768913269	0.3027976155281067	0.2336854487657547	0.2767900824546814	0.274606853723526	0.33245956897735596	0.22496715188026428	0.29105204343795776	0.2507351040840149	0.3026566505432129	0.3089853823184967	0.29460397362709045	0.1829444020986557	0.19777047634124756	0.3459140658378601	0.2651456892490387	0.19125060737133026	0.2763080596923828	0.3217197358608246	0.30361491441726685	0.0891740620136261	0.17301899194717407	0.18108780682086945	0.22623811662197113	0.1547003984451294	-0.0077035920694470406	0.29354462027549744	0.12189944088459015	0.2607056498527527	0.22681407630443573	0.185695081949234	0.23085694015026093	0.23162153363227844	0.15262936055660248	0.19766627252101898	0.1654486060142517	0.11566784977912903	0.27592945098876953	0.3005121350288391	0.15686823427677155	0.31876900792121887	0.24744176864624023	0.13785971701145172	0.2470114380121231	0.28866851329803467	0.10893683135509491	0.2751622200012207	0.27105510234832764	0.217100590467453	0.2914925217628479	0.2991947531700134	0.22378507256507874	0.19530163705348969	0.185047909617424	0.07628405839204788	0.2731488347053528	-0.03137731924653053	-0.011015776544809341	0.19846414029598236	-0.1220167949795723	0.1131770983338356	0.21491263806819916	0.2557685673236847	0.1972172111272812	0.15900936722755432	0.20679982006549835	0.18783263862133026	0.25174176692962646	0.315658837556839	0.40037479996681213	0.2544481158256531	0.2402334064245224	0.3563484847545624	0.30077221989631653	0.33444052934646606	0.2673744857311249	0.23957091569900513	0.2367466241121292	0.10429181158542633	0.17210733890533447	0.2836812734603882	0.2542438507080078	0.05993950739502907	0.1026914194226265	0.04506417363882065	0.3028193712234497	0.2336881309747696	0.23245763778686523	0.13955990970134735	
Oui/cartouches/plomb	0.8479834794998169	0.6227729916572571	0.8414714336395264	0.7988350987434387	1.0	0.8590673804283142	0.6319385170936584	0.8077676296234131	0.8046806454658508	0.7913561463356018	0.669196367263794	0.8150160908699036	0.7847060561180115	0.8151347637176514	0.7124971747398376	0.7016261219978333	0.8052574992179871	0.8178936243057251	0.793908417224884	0.7977489829063416	0.7153989672660828	0.7319504618644714	0.32549920678138733	0.29539763927459717	0.29454925656318665	0.3579636216163635	0.35607174038887024	0.2835221588611603	0.3558892607688904	0.3078601658344269	0.3375430703163147	0.32181796431541443	0.2980853021144867	0.17396126687526703	0.298787921667099	0.3626519441604614	0.2715461254119873	0.25796273350715637	0.28618478775024414	0.3465464115142822	0.32414111495018005	0.15066087245941162	0.14218203723430634	0.25398850440979004	0.3269641697406769	0.21074755489826202	0.07394963502883911	0.35151201486587524	0.26737913489341736	0.2745985686779022	0.27991169691085815	0.2664124071598053	0.2759082317352295	0.3567512035369873	0.24378882348537445	0.3073091506958008	0.20764924585819244	0.08575207740068436	0.27839192748069763	0.3600977659225464	0.1591881960630417	0.37758728861808777	0.3648993968963623	0.24415406584739685	0.3456883132457733	0.3851226270198822	0.11127719283103943	0.17950861155986786	0.21305891871452332	0.1425551325082779	0.250387579202652	0.26667138934135437	0.22004760801792145	0.12052115797996521	0.14921128749847412	0.06109927222132683	0.25858795642852783	-0.0566057525575161	-0.013713969849050045	0.22211101651191711	-0.10102671384811401	0.13035057485103607	0.22026307880878448	0.2759912312030792	0.20222210884094238	0.18247975409030914	0.22097094357013702	0.1981048285961151	0.26652422547340393	0.31808289885520935	0.3171220123767853	0.30931907892227173	0.26506438851356506	0.3709629476070404	0.27951475977897644	0.3705299198627472	0.3152293264865875	0.27082642912864685	0.3501315116882324	0.08130471408367157	0.1766001582145691	0.30816954374313354	0.24897168576717377	0.033331044018268585	0.08271531760692596	0.03735588118433952	0.34530749917030334	0.25075897574424744	0.23008358478546143	0.14735524356365204	
Oui/billes/plomb	0.8752736449241638	0.627740740776062	0.8511334657669067	0.8238377571105957	0.8590673804283142	1.0	0.7234711647033691	0.9014216065406799	0.8424738049507141	0.8567771315574646	0.6640549898147583	0.8864544034004211	0.8490850329399109	0.8703951835632324	0.746767520904541	0.7753550410270691	0.8677737712860107	0.8939565420150757	0.8908660411834717	0.8480189442634583	0.7486087679862976	0.7069437503814697	0.3374530076980591	0.32362455129623413	0.32798096537590027	0.35386034846305847	0.3593129813671112	0.32512521743774414	0.34404486417770386	0.3298763334751129	0.3562496602535248	0.3363144099712372	0.3005371689796448	0.10571365803480148	0.29010578989982605	0.37500953674316406	0.2626608610153198	0.2559252977371216	0.30111682415008545	0.3684115409851074	0.349038690328598	0.03641124069690704	0.06417229771614075	0.2669637203216553	0.3547250032424927	0.11843916028738022	-0.03857159987092018	0.41452571749687195	0.2489219605922699	0.3203205168247223	0.34507304430007935	0.28839969635009766	0.3362879157066345	0.33488479256629944	0.25585851073265076	0.2790675759315491	0.1148214191198349	0.048318516463041306	0.32868871092796326	0.42575502395629883	0.09882062673568726	0.3737393915653229	0.3667725622653961	0.2392851859331131	0.3387455642223358	0.4132448434829712	0.07681962102651596	0.1861659586429596	0.2685200572013855	0.11784429848194122	0.35598695278167725	0.3672918975353241	0.2478114813566208	0.11562153697013855	0.14148858189582825	0.026683608070015907	0.3221525251865387	-0.1097763329744339	-0.07798679172992706	0.2613565921783447	-0.1558637022972107	0.10506848245859146	0.2702602446079254	0.2967328131198883	0.24278812110424042	0.2018948346376419	0.2760189473628998	0.26514264941215515	0.30445343255996704	0.37344396114349365	0.37645620107650757	0.31713050603866577	0.310103178024292	0.41215768456459045	0.3268851041793823	0.4362262487411499	0.36409521102905273	0.2820030152797699	0.33526596426963806	0.049120157957077026	0.12013129144906998	0.360321044921875	0.29058778285980225	-0.016443470492959023	0.0055404105223715305	-0.02062842808663845	0.3735318183898926	0.28044965863227844	0.23461748659610748	0.11423192173242569	
Oui/boulet/plomb	0.6739923357963562	0.5139073729515076	0.7314782738685608	0.6987318396568298	0.6319385170936584	0.7234711647033691	1.0	0.7324188351631165	0.6971099972724915	0.7115349173545837	0.6131501197814941	0.7067425847053528	0.716536283493042	0.7213764190673828	0.7400286793708801	0.7300639748573303	0.6950305104255676	0.7257982492446899	0.6950622797012329	0.7354760766029358	0.5361433625221252	0.6629109382629395	0.3770693838596344	0.31895148754119873	0.3547254204750061	0.30551356077194214	0.36226770281791687	0.2765282988548279	0.3292982578277588	0.3015129566192627	0.3758961260318756	0.3571741580963135	0.32620954513549805	0.10999874025583267	0.23778124153614044	0.3696414828300476	0.28334909677505493	0.24888134002685547	0.3303958475589752	0.381451278924942	0.34277772903442383	0.014194381423294544	0.08907722681760788	0.26814398169517517	0.3386124074459076	0.11179528385400772	-0.0349789597094059	0.37976130843162537	0.21319924294948578	0.3262091279029846	0.30594950914382935	0.2330814003944397	0.30855533480644226	0.2690112888813019	0.22438372671604156	0.30578795075416565	0.10424225777387619	0.05124710500240326	0.26139187812805176	0.38491910696029663	0.13308760523796082	0.35151970386505127	0.34300562739372253	0.19948774576187134	0.31666645407676697	0.39758044481277466	0.12448973208665848	0.2555585205554962	0.31147709488868713	0.14284519851207733	0.3530311584472656	0.4155970811843872	0.31000661849975586	0.13657008111476898	0.14181660115718842	0.05246609076857567	0.33729884028434753	-0.07246074080467224	-0.10669703781604767	0.2174643874168396	-0.14557413756847382	0.13386811316013336	0.287258505821228	0.25052234530448914	0.280685693025589	0.17497903108596802	0.2686764597892761	0.23244093358516693	0.30314478278160095	0.37267690896987915	0.388310045003891	0.28971219062805176	0.288114994764328	0.411810964345932	0.3335423171520233	0.3962338864803314	0.3745940029621124	0.30203497409820557	0.3287988603115082	0.07360587269067764	0.1878698319196701	0.3599150776863098	0.32375600934028625	0.006171735469251871	0.0762278288602829	0.049741458147764206	0.39571118354797363	0.3081483840942383	0.2926309406757355	0.1252521425485611	
Oui/bille/plomb	0.8285509943962097	0.5929791331291199	0.8697782754898071	0.8044263124465942	0.8077676296234131	0.9014216065406799	0.7324188351631165	1.0	0.844075083732605	0.8672588467597961	0.7214904427528381	0.8965924382209778	0.8786365985870361	0.8760575652122498	0.7354480624198914	0.784368634223938	0.8570907115936279	0.9301096200942993	0.8931592702865601	0.8628382086753845	0.7005834579467773	0.7037503123283386	0.35436317324638367	0.35110291838645935	0.3439449369907379	0.3650181293487549	0.36872774362564087	0.34616971015930176	0.3965795636177063	0.3463082015514374	0.3751325011253357	0.3423830270767212	0.3005823493003845	0.056157857179641724	0.27891847491264343	0.3811182379722595	0.2633201777935028	0.28112268447875977	0.3226179778575897	0.42269957065582275	0.3545055687427521	0.006431978195905685	0.030023908242583275	0.303384393453598	0.36498144268989563	0.10989677906036377	-0.07192874699831009	0.4367351830005646	0.28148260712623596	0.37269505858421326	0.3589424192905426	0.2993117570877075	0.3459063768386841	0.33655697107315063	0.2791835367679596	0.33661600947380066	0.07860786467790604	-0.024090979248285294	0.34545189142227173	0.4433664083480835	0.020459754392504692	0.3728789985179901	0.37477603554725647	0.28536927700042725	0.3842316269874573	0.43836039304733276	0.047308702021837234	0.17410914599895477	0.2811422348022461	0.06905553489923477	0.3346472382545471	0.3833356499671936	0.2709178626537323	0.0687103420495987	0.0921354740858078	-0.02365683577954769	0.3218806982040405	-0.1411205530166626	-0.15207280218601227	0.25077521800994873	-0.13587051630020142	0.095718152821064	0.27420368790626526	0.28767985105514526	0.27164989709854126	0.2136499285697937	0.3011515140533447	0.3084279000759125	0.28737401962280273	0.3932253420352936	0.34069570899009705	0.31405213475227356	0.31846368312835693	0.4050891101360321	0.30739057064056396	0.40397241711616516	0.36890310049057007	0.3008296489715576	0.3659767806529999	-0.006339334417134523	0.10155429691076279	0.3582781255245209	0.31842726469039917	-0.04140058532357216	-0.03601837530732155	-0.009003765881061554	0.40379971265792847	0.3056783676147461	0.21268141269683838	0.08145807683467865	
Oui/plaque/plomb	0.8296488523483276	0.6642367839813232	0.8665884733200073	0.8203630447387695	0.8046806454658508	0.8424738049507141	0.6971099972724915	0.844075083732605	1.0	0.8647091388702393	0.6736747026443481	0.8370251655578613	0.8873324990272522	0.8301446437835693	0.7799425721168518	0.8304566144943237	0.8381221890449524	0.8676126003265381	0.7721590399742126	0.8619561791419983	0.6991348266601562	0.7739624381065369	0.34768983721733093	0.30760595202445984	0.3195090591907501	0.3305208683013916	0.36143380403518677	0.2992832660675049	0.37010136246681213	0.3179330825805664	0.3688938021659851	0.34211260080337524	0.30908751487731934	0.12108141928911209	0.280769407749176	0.39827945828437805	0.2883191704750061	0.2610190212726593	0.30602729320526123	0.3871481716632843	0.34870004653930664	0.04309851676225662	0.11277882754802704	0.2685387432575226	0.2930852770805359	0.14643555879592896	-0.04960750415921211	0.35731241106987	0.21666701138019562	0.3306314945220947	0.3183649182319641	0.2544998824596405	0.2984265685081482	0.3017721474170685	0.22377943992614746	0.24169273674488068	0.11104313284158707	0.03204191476106644	0.3059206008911133	0.36817479133605957	0.07583051174879074	0.34846821427345276	0.32803234457969666	0.22091957926750183	0.321393221616745	0.3800649642944336	0.0846489816904068	0.24826882779598236	0.28370633721351624	0.14484067261219025	0.34194302558898926	0.3466096818447113	0.2860005795955658	0.13719964027404785	0.17550373077392578	0.0312805138528347	0.3154328465461731	-0.12891729176044464	-0.08212994039058685	0.22199085354804993	-0.18353480100631714	0.08015985786914825	0.25994208455085754	0.2392539232969284	0.24112480878829956	0.17085805535316467	0.2377626746892929	0.20888866484165192	0.2942872941493988	0.37270021438598633	0.39291009306907654	0.2927345335483551	0.28487321734428406	0.40595167875289917	0.3398505449295044	0.3710567057132721	0.32476410269737244	0.2572788894176483	0.26616430282592773	0.06302619725465775	0.13852035999298096	0.3431079387664795	0.31190505623817444	0.002408848609775305	0.022860325872898102	0.02151285856962204	0.373788446187973	0.29522934556007385	0.25888967514038086	0.14030547440052032	
Oui/coupole/plomb	0.8102598190307617	0.657384991645813	0.8397729396820068	0.8669288754463196	0.7913561463356018	0.8567771315574646	0.7115349173545837	0.8672588467597961	0.8647091388702393	1.0	0.6737348437309265	0.881023108959198	0.8602965474128723	0.8342289924621582	0.7717595100402832	0.7857965230941772	0.8199131488800049	0.8990030288696289	0.8056276440620422	0.8682266473770142	0.7266625165939331	0.7645289301872253	0.3523583710193634	0.3003488779067993	0.3397972285747528	0.3229387104511261	0.36599746346473694	0.28768783807754517	0.35841891169548035	0.2876380980014801	0.3542346656322479	0.35241806507110596	0.30894502997398376	0.10530164837837219	0.23421898484230042	0.3782055675983429	0.23546390235424042	0.23185482621192932	0.31101229786872864	0.382839173078537	0.33619487285614014	0.012289628386497498	0.07902151346206665	0.2527564465999603	0.315775066614151	0.11595236510038376	-0.08446802198886871	0.3661331832408905	0.17255379259586334	0.3129051625728607	0.29601460695266724	0.22837704420089722	0.2804800570011139	0.2705634832382202	0.2301032394170761	0.2849242687225342	0.08831602334976196	0.02255292609333992	0.3087078928947449	0.37820494174957275	0.0679866373538971	0.34181153774261475	0.3301354646682739	0.20642432570457458	0.31829166412353516	0.3845364451408386	0.07281085103750229	0.25296226143836975	0.2964129149913788	0.1421089470386505	0.3492095172405243	0.37361931800842285	0.2714640498161316	0.15829648077487946	0.16950064897537231	0.012808346189558506	0.3291424512863159	-0.14152559638023376	-0.13231734931468964	0.19278913736343384	-0.18365012109279633	0.05057000741362572	0.22353988885879517	0.24808970093727112	0.20942744612693787	0.1643749624490738	0.24866166710853577	0.2553365230560303	0.2908126711845398	0.39177405834198	0.39245736598968506	0.2896478772163391	0.29955679178237915	0.4132801592350006	0.3406388461589813	0.39831697940826416	0.3552730679512024	0.28416478633880615	0.2801467180252075	0.06600677967071533	0.1470353901386261	0.35529452562332153	0.3297477960586548	-0.019318386912345886	0.022027207538485527	0.01941932924091816	0.38952890038490295	0.3137875497341156	0.27051985263824463	0.12723906338214874	
