	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/soleil/plomb	Oui/urne/plomb	Oui/tablette/plomb	Oui/tuyau/plomb	Oui/cercueil/plomb	Oui/cage/plomb	Oui/gants/plomb	Oui/masse/plomb	Oui/lingot/plomb	Oui/morceau/plomb	Oui/armatures/plomb	Non/silence/plomb
Oui/balles/plomb	1.0	0.6708911657333374	0.8342899680137634	0.7981356382369995	0.8479834794998169	0.8752736449241638	0.6739923357963562	0.8285509943962097	0.8296488523483276	0.8102598190307617	0.5596413016319275	0.8139882683753967	0.8473865389823914	0.7875944972038269	0.7268180847167969	0.7822980880737305	0.81834876537323	0.8615020513534546	0.7994496822357178	0.8491873145103455	0.7367701530456543	0.6427032947540283	
Oui/lamelles/plomb	0.6708911657333374	1.0	0.6042101383209229	0.7063688635826111	0.6227729916572571	0.627740740776062	0.5139073729515076	0.5929791331291199	0.6642367839813232	0.657384991645813	0.42627787590026855	0.5737894773483276	0.6653486490249634	0.5811800360679626	0.613563597202301	0.599621057510376	0.6592879891395569	0.6336334347724915	0.529191255569458	0.6549738049507141	0.615031361579895	0.5460802316665649	
Oui/balle/plomb	0.8342899680137634	0.6042101383209229	1.0	0.781594455242157	0.8414714336395264	0.8511334657669067	0.7314782738685608	0.8697782754898071	0.8665884733200073	0.8397729396820068	0.6667262315750122	0.8362714648246765	0.8667711019515991	0.8401095867156982	0.7574920654296875	0.7865283489227295	0.8219848871231079	0.8916255235671997	0.806625247001648	0.8550354838371277	0.6547929048538208	0.682784914970398	
Oui/noyaux/plomb	0.7981356382369995	0.7063688635826111	0.781594455242157	1.0	0.7988350987434387	0.8238377571105957	0.6987318396568298	0.8044263124465942	0.8203630447387695	0.8669288754463196	0.594958484172821	0.852044403553009	0.8131185173988342	0.7935845851898193	0.7739813923835754	0.7791584730148315	0.8254839181900024	0.8541829586029053	0.7492353916168213	0.8274868726730347	0.7723534107208252	0.7084687948226929	
Oui/cartouches/plomb	0.8479834794998169	0.6227729916572571	0.8414714336395264	0.7988350987434387	1.0	0.8590673804283142	0.6319385170936584	0.8077676296234131	0.8046806454658508	0.7913561463356018	0.6604890823364258	0.8150160908699036	0.7847060561180115	0.8151347637176514	0.7124971747398376	0.7016261219978333	0.8052574992179871	0.8178936243057251	0.793908417224884	0.7977489829063416	0.7153989672660828	0.6845428347587585	
Oui/billes/plomb	0.8752736449241638	0.627740740776062	0.8511334657669067	0.8238377571105957	0.8590673804283142	1.0	0.7234711647033691	0.9014216065406799	0.8424738049507141	0.8567771315574646	0.6785657405853271	0.8864544034004211	0.8490850329399109	0.8703951835632324	0.746767520904541	0.7753550410270691	0.8677737712860107	0.8939565420150757	0.8908660411834717	0.8480189442634583	0.7486087679862976	0.6599373817443848	
Oui/boulet/plomb	0.6739923357963562	0.5139073729515076	0.7314782738685608	0.6987318396568298	0.6319385170936584	0.7234711647033691	1.0	0.7324188351631165	0.6971099972724915	0.7115349173545837	0.5999743342399597	0.7067425847053528	0.716536283493042	0.7213764190673828	0.7400286793708801	0.7300639748573303	0.6950305104255676	0.7257982492446899	0.6950622797012329	0.7354760766029358	0.5361433625221252	0.6575360894203186	
Oui/bille/plomb	0.8285509943962097	0.5929791331291199	0.8697782754898071	0.8044263124465942	0.8077676296234131	0.9014216065406799	0.7324188351631165	1.0	0.844075083732605	0.8672588467597961	0.7078529000282288	0.8965924382209778	0.8786365985870361	0.8760575652122498	0.7354480624198914	0.784368634223938	0.8570907115936279	0.9301096200942993	0.8931592702865601	0.8628382086753845	0.7005834579467773	0.6528346538543701	
Oui/plaque/plomb	0.8296488523483276	0.6642367839813232	0.8665884733200073	0.8203630447387695	0.8046806454658508	0.8424738049507141	0.6971099972724915	0.844075083732605	1.0	0.8647091388702393	0.6501325964927673	0.8370251655578613	0.8873324990272522	0.8301446437835693	0.7799425721168518	0.8304566144943237	0.8381221890449524	0.8676126003265381	0.7721590399742126	0.8619561791419983	0.6991348266601562	0.7178127765655518	
Oui/coupole/plomb	0.8102598190307617	0.657384991645813	0.8397729396820068	0.8669288754463196	0.7913561463356018	0.8567771315574646	0.7115349173545837	0.8672588467597961	0.8647091388702393	1.0	0.6474499106407166	0.881023108959198	0.8602965474128723	0.8342289924621582	0.7717595100402832	0.7857965230941772	0.8199131488800049	0.8990030288696289	0.8056276440620422	0.8682266473770142	0.7266625165939331	0.6916046738624573	
