	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/soleil/plomb	Oui/fossé/profond	Oui/galeries/profondes	Oui/gorges/profondes	Oui/puits/profond	Oui/fosse/profonde	Oui/grotte/profonde	Oui/faille/profonde	Oui/caverne/profonde	Oui/forêt/profonde	Oui/cavité/profonde	Non/dégoût/profond
Oui/balles/plomb	1.0	0.6708911657333374	0.8342899680137634	0.7981356382369995	0.8479834794998169	0.8752736449241638	0.6739923357963562	0.8285509943962097	0.8296488523483276	0.8102598190307617	0.6478348970413208	0.2718995213508606	0.16401460766792297	0.024816015735268593	0.3266451358795166	0.20455558598041534	0.2725297808647156	0.2926652133464813	0.23984688520431519	0.2728351652622223	0.30305150151252747	0.18332117795944214	
Oui/lamelles/plomb	0.6708911657333374	1.0	0.6042101383209229	0.7063688635826111	0.6227729916572571	0.627740740776062	0.5139073729515076	0.5929791331291199	0.6642367839813232	0.657384991645813	0.5551229119300842	0.1355687379837036	0.29859036207199097	0.1251874715089798	0.1429591178894043	0.049971286207437515	0.1444043070077896	0.06647755950689316	0.019032839685678482	0.10263890773057938	0.10101526230573654	0.055130720138549805	
Oui/balle/plomb	0.8342899680137634	0.6042101383209229	1.0	0.781594455242157	0.8414714336395264	0.8511334657669067	0.7314782738685608	0.8697782754898071	0.8665884733200073	0.8397729396820068	0.6319806575775146	0.3733755350112915	0.13289301097393036	-0.05273167043924332	0.413108229637146	0.27054208517074585	0.36356237530708313	0.3573680818080902	0.29302701354026794	0.3456774353981018	0.34795844554901123	0.2556270658969879	
Oui/noyaux/plomb	0.7981356382369995	0.7063688635826111	0.781594455242157	1.0	0.7988350987434387	0.8238377571105957	0.6987318396568298	0.8044263124465942	0.8203630447387695	0.8669288754463196	0.7551699280738831	0.22623811662197113	0.1547003984451294	-0.0077035920694470406	0.29354462027549744	0.12189944088459015	0.2607056498527527	0.22681407630443573	0.185695081949234	0.23085694015026093	0.23162153363227844	0.1510358303785324	
Oui/cartouches/plomb	0.8479834794998169	0.6227729916572571	0.8414714336395264	0.7988350987434387	1.0	0.8590673804283142	0.6319385170936584	0.8077676296234131	0.8046806454658508	0.7913561463356018	0.6852502822875977	0.3269641697406769	0.21074755489826202	0.07394963502883911	0.35151201486587524	0.26737913489341736	0.2745985686779022	0.27991169691085815	0.2664124071598053	0.2759082317352295	0.3567512035369873	0.23508445918560028	
Oui/billes/plomb	0.8752736449241638	0.627740740776062	0.8511334657669067	0.8238377571105957	0.8590673804283142	1.0	0.7234711647033691	0.9014216065406799	0.8424738049507141	0.8567771315574646	0.6846330761909485	0.3547250032424927	0.11843916028738022	-0.03857159987092018	0.41452571749687195	0.2489219605922699	0.3203205168247223	0.34507304430007935	0.28839969635009766	0.3362879157066345	0.33488479256629944	0.22935284674167633	
Oui/boulet/plomb	0.6739923357963562	0.5139073729515076	0.7314782738685608	0.6987318396568298	0.6319385170936584	0.7234711647033691	1.0	0.7324188351631165	0.6971099972724915	0.7115349173545837	0.634471595287323	0.3386124074459076	0.11179528385400772	-0.0349789597094059	0.37976130843162537	0.21319924294948578	0.3262091279029846	0.30594950914382935	0.2330814003944397	0.30855533480644226	0.2690112888813019	0.2308679074048996	
Oui/bille/plomb	0.8285509943962097	0.5929791331291199	0.8697782754898071	0.8044263124465942	0.8077676296234131	0.9014216065406799	0.7324188351631165	1.0	0.844075083732605	0.8672588467597961	0.6452073454856873	0.36498144268989563	0.10989677906036377	-0.07192874699831009	0.4367351830005646	0.28148260712623596	0.37269505858421326	0.3589424192905426	0.2993117570877075	0.3459063768386841	0.33655697107315063	0.24782869219779968	
Oui/plaque/plomb	0.8296488523483276	0.6642367839813232	0.8665884733200073	0.8203630447387695	0.8046806454658508	0.8424738049507141	0.6971099972724915	0.844075083732605	1.0	0.8647091388702393	0.6815146207809448	0.2930852770805359	0.14643555879592896	-0.04960750415921211	0.35731241106987	0.21666701138019562	0.3306314945220947	0.3183649182319641	0.2544998824596405	0.2984265685081482	0.3017721474170685	0.21446669101715088	
Oui/coupole/plomb	0.8102598190307617	0.657384991645813	0.8397729396820068	0.8669288754463196	0.7913561463356018	0.8567771315574646	0.7115349173545837	0.8672588467597961	0.8647091388702393	1.0	0.684180736541748	0.315775066614151	0.11595236510038376	-0.08446802198886871	0.3661331832408905	0.17255379259586334	0.3129051625728607	0.29601460695266724	0.22837704420089722	0.2804800570011139	0.2705634832382202	0.20398548245429993	
