	Non/soleil/plomb	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/silence/plomb	Oui/urne/plomb	Oui/tablette/plomb	Oui/tuyau/plomb	Oui/cercueil/plomb	Oui/cage/plomb	Oui/gants/plomb	Oui/masse/plomb	Oui/lingot/plomb	Oui/morceau/plomb	Oui/armatures/plomb	Non/vent/grand	Non/vents/grands	Oui/cheval/grand	Oui/appartement/grand	Oui/lit/grand	Oui/seau/grand	Oui/tableau/grand	Oui/table/grande	Oui/parking/grand	Oui/librairie/grande	Oui/bureau/grand	Oui/miroir/grand	Non/ami/grand	Non/amie/grande	Non/amis/grands	Oui/manteaux/grands	Oui/surface/grande	Oui/mur/grand	Oui/maison/grande	Oui/femme/grande	Oui/parc/grand	Oui/poignard/grand	Oui/chêne/grand	Oui/tentes/grandes	Oui/sacs/grands	Non/dégoût/profond	Oui/fossé/profond	Oui/galeries/profondes	Oui/gorges/profondes	Oui/puits/profond	Oui/fosse/profonde	Oui/grotte/profonde	Oui/faille/profonde	Oui/caverne/profonde	Oui/forêt/profonde	Oui/cavité/profonde	Non/sommeil/profond	Oui/lac/profond	Oui/tranchées/profondes	Oui/canyons/profonds	Oui/crique/profonde	Oui/sous-sol/profond	Oui/trous/profonds	Oui/remous/profond	Oui/sillon/profond	Oui/douve/profonde	Oui/puisard/profond	Non/chagrin/gros	Non/chagrins/gros	Oui/lunettes/grosses	Oui/boutons/gros	Oui/chevalière/grosse	Oui/piquets/gros	Oui/objet/gros	Oui/vaisseau/gros	Oui/poche/grosse	Oui/bacs/gros	Oui/flocons/gros	Oui/cloches/grosses	Non/mémoire/éléphant	Non/mémoires/éléphant	Oui/troupeau/éléphants	Oui/groupe/éléphants	Oui/bouse/éléphant	Oui/pattes/éléphants	Oui/défenses/éléphant	Oui/trompe/éléphant	Oui/crânes/éléphant	Oui/peau/éléphant	Oui/dents/éléphant	Oui/tête/éléphant	Non/bilan/lourd	Oui/équipement/lourd	Oui/plateau/lourd	Oui/cartable/lourd	Oui/manteau/lourd	Oui/ouvrage/lourd	Oui/bouclier/lourd	Oui/portail/lourd	Oui/revolver/lourd	Oui/crâne/lourd	Oui/sac/lourd	Non/lettre/longue	Non/lettres/longues	Oui/doigts/longs	Oui/mèches/longues	Oui/chaussette/longue	Oui/bras/long	Oui/tables/longues	Oui/guibolles/longues	Oui/moustaches/longues	Oui/siège/long	Oui/mur/long	Oui/queue/longue
Non/soleil/plomb	1.0	0.4688561260700226	0.6168219447135925	0.43644386529922485	0.5359863638877869	0.5759826302528381	0.4988800585269928	0.5442779064178467	0.417208194732666	0.5425754189491272	0.6126748323440552	0.6560797095298767	0.26464512944221497	0.6387904286384583	0.434486448764801	0.6118470430374146	0.3059447109699249	0.4858722984790802	0.5352215766906738	0.44458305835723877	0.6235170364379883	0.5979258418083191	0.05261143296957016	0.03707468509674072	-0.1413198858499527	-0.07223419845104218	-0.023808559402823448	-0.18260441720485687	-0.1428261548280716	0.010951405391097069	-0.026379331946372986	0.019798167049884796	-0.0830783024430275	-0.09662454575300217	-0.003304009325802326	0.0834365263581276	0.012854037806391716	-0.02626112475991249	-0.04275689274072647	-0.09483342617750168	0.06651051342487335	0.028530007228255272	-0.01854819618165493	-0.22315701842308044	-0.15842978656291962	0.052650272846221924	-0.12651494145393372	0.03608446195721626	-0.003573094494640827	-0.06422516703605652	0.0030547580681741238	-0.1090356782078743	-0.1626254767179489	0.0009371244814246893	-0.018091613426804543	-0.01125896256417036	0.07567552477121353	-0.0726081132888794	0.05665779486298561	0.10156121104955673	-0.09843908250331879	0.028678471222519875	0.07722299546003342	-0.00460471585392952	-0.11675580590963364	0.09209612756967545	0.026121094822883606	0.036081861704587936	-0.1494230479001999	0.03499797731637955	0.051816683262586594	0.12544821202754974	0.021433457732200623	0.042604781687259674	-0.03480500355362892	0.014412838034331799	0.018608110025525093	0.014243286103010178	0.06276662647724152	0.04050065577030182	-0.06159663572907448	-0.015839939936995506	-0.0018845181912183762	0.05621829628944397	0.02569136768579483	-0.09166157990694046	-0.1331416815519333	0.021257517859339714	0.02635120414197445	-0.12155517935752869	0.08180177956819534	-0.02560237981379032	-0.02349729649722576	0.13331036269664764	0.2072887420654297	0.2102973610162735	0.1838739663362503	0.20937970280647278	0.17160406708717346	0.19198943674564362	0.19347737729549408	0.08483109623193741	0.1173655167222023	0.04301145672798157	-0.004425622522830963	-0.0034371933434158564	-0.016400931403040886	-0.06700089573860168	0.03978550434112549	-0.02310582436621189	0.035135865211486816	0.04504920542240143	0.06628791987895966	0.05799754709005356	-0.01891404390335083	-0.011450161226093769	
Oui/balles/plomb	0.4688561260700226	1.0	0.6485990881919861	0.797681450843811	0.5739141702651978	0.7508078217506409	0.7460291385650635	0.6104493141174316	0.5875571966171265	0.6061326861381531	0.5627549290657043	0.5644310116767883	0.4057689905166626	0.6068260073661804	0.46649640798568726	0.6123582720756531	0.4422948658466339	0.575856626033783	0.542228639125824	0.4670233130455017	0.6008933782577515	0.6272132396697998	-0.16296523809432983	-0.11898625642061234	-0.042270198464393616	0.027037471532821655	-0.016081394627690315	-0.026063377037644386	-0.09352942556142807	0.05533308908343315	0.07790570706129074	-0.021812522783875465	-0.03647565469145775	-0.08483322709798813	-0.007115473505109549	-0.008482581004500389	0.014952221885323524	-0.002921823877841234	-0.06522072851657867	-0.02972112037241459	-0.01462074089795351	0.009743334725499153	-0.0035340161994099617	0.0009622270590625703	-0.1360090970993042	0.08075384050607681	0.06091606616973877	0.1053229346871376	0.12056228518486023	-0.03776805102825165	0.04441677778959274	-0.004156053997576237	0.035615287721157074	-0.0156840980052948	0.05104034021496773	-0.020361170172691345	0.03206460922956467	0.014707691967487335	-0.0014159157872200012	-0.01393810473382473	0.02286074124276638	-0.006192104425281286	0.03345831483602524	0.027232516556978226	0.13507653772830963	0.10586723685264587	0.020098354667425156	0.08834883570671082	-0.023836452513933182	-0.08052980899810791	-0.004872546065598726	-0.09260877221822739	0.05145157128572464	-0.016101136803627014	0.05254622921347618	-0.0741712674498558	-0.03005537949502468	0.014520137570798397	0.04314330965280533	-0.009773067198693752	-0.14526091516017914	0.012129168026149273	0.11815956979990005	-0.11211065948009491	-0.11980985105037689	-0.007246166467666626	-0.007780369371175766	0.14220178127288818	0.0376022569835186	0.014066102914512157	-0.008201882243156433	0.06788451224565506	-0.01353857945650816	0.07061749696731567	0.1825333833694458	0.1929577738046646	0.14453765749931335	0.1261233389377594	0.15080800652503967	0.15702450275421143	0.13320985436439514	0.21763208508491516	0.12360352277755737	0.11971081793308258	0.08586949855089188	0.0960141196846962	-0.03382238745689392	0.055691275745630264	0.14523209631443024	0.02341059222817421	0.07705694437026978	0.008467202074825764	0.03091156668961048	0.03745273873209953	-0.005456858314573765	0.050728268921375275	
Oui/lamelles/plomb	0.6168219447135925	0.6485990881919861	1.0	0.5238829255104065	0.7241421937942505	0.7687433958053589	0.7394304275512695	0.610675036907196	0.5824083685874939	0.7404935359954834	0.6914305090904236	0.6907138824462891	0.4292979836463928	0.7399939298629761	0.5672677159309387	0.6994783878326416	0.4394201636314392	0.6071696877479553	0.6379972100257874	0.571110188961029	0.7563421130180359	0.7893226742744446	-0.15684281289577484	-0.11791300028562546	-0.06505889445543289	0.10353801399469376	-0.01143411174416542	-0.11235008388757706	-0.015354829840362072	0.01695891283452511	0.0871257334947586	-0.018011042848229408	0.022279009222984314	-0.024937313050031662	-0.062330253422260284	-0.011545879766345024	-0.010471443645656109	0.017937611788511276	-0.0024211732670664787	-0.09562727063894272	0.01941741444170475	-0.01375834085047245	-0.024976691231131554	-0.04246380552649498	-0.035855475813150406	-0.00873449258506298	-0.058449599891901016	-0.04151256009936333	0.011740821413695812	-0.0013841373147442937	0.09129074960947037	-0.09164080768823624	-0.05867545306682587	0.020229261368513107	-0.021464627236127853	-0.026245804503560066	0.0032541032414883375	0.09013001620769501	-0.08275734633207321	-0.029881427064538002	-0.04499045014381409	0.053295861929655075	-0.02355881966650486	-0.020411506295204163	-0.007071145810186863	-0.0019541503861546516	0.026549292728304863	0.049268536269664764	-0.10705727338790894	-0.0175919272005558	-0.015286861918866634	-0.07076248526573181	0.10880011320114136	0.02020183578133583	0.047291748225688934	-0.002096351468935609	0.01619005762040615	-0.0015135194407775998	0.08960279822349548	0.0824289321899414	-0.11542438715696335	0.006870423909276724	0.08394912630319595	-0.03143181651830673	0.0007178169908002019	-0.03439111262559891	-0.012625652365386486	0.11761228740215302	0.02239544875919819	-0.006031588185578585	0.03628900274634361	0.07807167619466782	-0.04721790552139282	0.09977799654006958	0.29695770144462585	0.3175947070121765	0.21177814900875092	0.25614938139915466	0.25936663150787354	0.23234112560749054	0.24646903574466705	0.16078726947307587	0.15157780051231384	0.06242740899324417	0.09183306246995926	0.06538455933332443	-0.026127461344003677	0.022852199152112007	0.1360861361026764	-0.006186612416058779	0.06980758160352707	0.025627121329307556	0.07268372178077698	0.06443732231855392	-0.0465996079146862	0.06696202605962753	
Oui/balle/plomb	0.43644386529922485	0.797681450843811	0.5238829255104065	1.0	0.4823836386203766	0.5887075066566467	0.6113089323043823	0.6016063690185547	0.693930447101593	0.5993061065673828	0.5372174382209778	0.47914695739746094	0.42081624269485474	0.5846240520477295	0.4567946791648865	0.5303452014923096	0.5131003260612488	0.4944387674331665	0.5602089762687683	0.4268992841243744	0.5751690864562988	0.49626433849334717	-0.12925057113170624	-0.12221714109182358	-0.00032522130641154945	-0.010992034338414669	0.03251532465219498	0.016899505630135536	-0.08648740500211716	0.053443651646375656	0.052256129682064056	-0.10006263107061386	-0.04587000235915184	-0.07207252830266953	0.028525831177830696	0.04396823048591614	0.0021802366245537996	-0.05667368695139885	-0.0685381293296814	0.036255449056625366	-0.0016396607970818877	0.0361810177564621	0.028257040306925774	0.0022739155683666468	-0.15924935042858124	0.06330564618110657	0.002102901926264167	0.021746430546045303	0.10703911632299423	-0.03836522251367569	0.046984441578388214	-0.057791922241449356	0.04099138081073761	0.01029247511178255	0.05154796317219734	-0.030229896306991577	0.1027979627251625	0.10908330231904984	-0.03160947561264038	0.020469030365347862	0.06407079845666885	-0.04271095618605614	0.0594000481069088	-0.04130105301737785	0.14144332706928253	0.04580942541360855	0.05720018595457077	0.08703649789094925	-0.02485397271811962	-0.0696614533662796	-0.05998174846172333	-0.009517122991383076	-0.002813753904774785	-0.08507457375526428	0.00681421160697937	-0.022733908146619797	0.012533537112176418	-0.029335031285881996	-0.07100764662027359	-0.07210464775562286	-0.1239413172006607	0.008168494328856468	-0.03580528497695923	0.008005239069461823	-0.037643443793058395	0.010578617453575134	-0.0052619935013353825	-0.009698414243757725	0.03238115832209587	-0.12126720696687698	0.08202140033245087	-0.060343481600284576	0.12203517556190491	0.017801759764552116	0.137895405292511	0.1575017273426056	0.1404249370098114	0.09567201882600784	0.11558119207620621	0.12808887660503387	0.1217314600944519	0.20197805762290955	0.16307276487350464	0.1386786848306656	0.13493071496486664	0.16152377426624298	0.043335460126399994	0.08440100401639938	0.12098127603530884	0.032656196504831314	0.12274176627397537	0.13698242604732513	0.12301251292228699	0.05576469376683235	0.06360366195440292	0.11337248980998993	
Oui/noyaux/plomb	0.5359863638877869	0.5739141702651978	0.7241421937942505	0.4823836386203766	1.0	0.6467024087905884	0.6673455834388733	0.5795063972473145	0.5030853748321533	0.5828886032104492	0.5806174874305725	0.604536771774292	0.33474424481391907	0.6087517142295837	0.4836161136627197	0.5851881504058838	0.3529997169971466	0.5400629639625549	0.6218670606613159	0.5208110213279724	0.6402028203010559	0.6718786358833313	-0.13092923164367676	-0.0902685821056366	-0.06893611699342728	0.05646204575896263	-0.03556603938341141	-0.05294390395283699	-0.057146452367305756	-0.027249831706285477	0.006346710957586765	-0.023570042103528976	0.022082684561610222	-0.04575471952557564	-0.048464346677064896	-0.038500744849443436	-0.012235121801495552	-0.06040544807910919	-0.03399134427309036	-0.06886257231235504	0.008335603401064873	-0.03313710540533066	-0.001353830797597766	-0.05421294644474983	-0.04871904104948044	0.011608291417360306	-0.06918931752443314	-0.03211316466331482	0.028638046234846115	-0.004695337265729904	0.022481629624962807	0.023480786010622978	-0.08974045515060425	-0.022008342668414116	-0.00790321547538042	-0.0347166582942009	-0.009253066964447498	0.06439134478569031	-0.038208652287721634	-0.05133351683616638	-0.02923537790775299	-0.02238631621003151	-0.024352937936782837	-0.03515669330954552	-0.007944817654788494	0.04480494186282158	0.010223795659840107	0.02270745113492012	-0.07851012051105499	-0.09596853703260422	-0.02579815872013569	-0.11107952147722244	0.049983762204647064	-0.014310536906123161	0.0015684511745348573	-0.06216049566864967	-0.057017285376787186	-0.09905903786420822	0.04061906039714813	0.00990300253033638	-0.0893281102180481	0.08092615008354187	0.13665376603603363	-0.005400306545197964	0.005861763842403889	-0.0335012786090374	-0.10471093654632568	0.12379871308803558	-0.02743399329483509	0.036101389676332474	0.004589998163282871	-0.006488728802651167	-0.06328318268060684	-0.0010316242696717381	0.15592895448207855	0.16481932997703552	0.11034128069877625	0.14562979340553284	0.12616963684558868	0.10470126569271088	0.11871062219142914	0.025028830394148827	0.08970561623573303	-0.002347393659874797	0.07356128096580505	0.06223756819963455	-0.09087100625038147	0.017264436930418015	0.09046655893325806	0.06582096219062805	0.041325077414512634	0.027593359351158142	0.04006418585777283	0.09000032395124435	-0.02850138582289219	0.04966455325484276	
Oui/cartouches/plomb	0.5759826302528381	0.7508078217506409	0.7687433958053589	0.5887075066566467	0.6467024087905884	1.0	0.7505487203598022	0.6704309582710266	0.5970760583877563	0.7013522982597351	0.6917374730110168	0.6802189350128174	0.47282537817955017	0.7709863185882568	0.5770888328552246	0.7266335487365723	0.41537681221961975	0.6034256815910339	0.6012681126594543	0.5523857474327087	0.7144790291786194	0.761089026927948	-0.25218984484672546	-0.18666911125183105	-0.12528175115585327	0.07844886928796768	-0.0767497792840004	-0.13317041099071503	-0.05605307221412659	-0.030967267230153084	0.07229343801736832	-0.0059549156576395035	-0.0015090897213667631	-0.10338276624679565	-0.08023208379745483	-0.033937446773052216	-0.023512650281190872	-0.012723184190690517	-0.11149828881025314	-0.16137386858463287	0.016269074752926826	-0.035971928387880325	-0.015586207620799541	-0.07435107976198196	-0.17699480056762695	-0.01721588894724846	-0.04233647882938385	0.06810904294252396	0.02629517950117588	-0.0055766720324754715	-0.009825536049902439	-0.05310305953025818	-0.0635867789387703	-0.03560445457696915	-0.05572088062763214	-0.04673934355378151	-0.0790553018450737	-0.055957186967134476	-0.020173221826553345	-0.07529757916927338	-0.043773353099823	-0.0430389903485775	-0.053279466927051544	0.00318146706558764	-0.052842628210783005	0.0007512085139751434	-0.03432851657271385	0.08189499378204346	-0.0384182408452034	-0.036164797842502594	0.032177459448575974	-0.048439789563417435	0.08102457225322723	0.04411349818110466	0.017867958173155785	-0.015898432582616806	0.026693496853113174	0.04829541966319084	0.09926167130470276	-0.023121414706110954	-0.14090541005134583	0.021061241626739502	0.12995082139968872	-0.06774792075157166	-0.0678144171833992	-0.0734662413597107	-0.1454460173845291	0.11009485274553299	0.018069753423333168	-0.07013319432735443	-0.1121968924999237	-0.04143384099006653	-0.11188758164644241	0.12197043001651764	0.3219718337059021	0.2599691152572632	0.25325271487236023	0.20037688314914703	0.256651908159256	0.22001177072525024	0.24790515005588531	0.2365661859512329	0.08676515519618988	0.048940494656562805	0.11551864445209503	0.10456860810518265	-0.0767902061343193	0.026133276522159576	0.12274276465177536	-0.013872923329472542	0.06713517755270004	-0.005963748320937157	0.05829862505197525	0.07492943108081818	-0.08603174984455109	-0.00830626580864191	
Oui/billes/plomb	0.4988800585269928	0.7460291385650635	0.7394304275512695	0.6113089323043823	0.6673455834388733	0.7505487203598022	1.0	0.5828112363815308	0.7775304913520813	0.609764575958252	0.5928012728691101	0.6026344895362854	0.4590801000595093	0.6455188393592834	0.535580575466156	0.6480605602264404	0.49778488278388977	0.5790249109268188	0.5362364053726196	0.5556614995002747	0.6481311917304993	0.6857283115386963	-0.17861829698085785	-0.1284085512161255	-0.1040504053235054	0.012161529622972012	0.01051633246243	0.010448591783642769	-0.06839662045240402	0.10000091791152954	0.03850078582763672	-0.07270650565624237	-0.03877958655357361	-0.056123875081539154	-0.0575580932199955	-0.015129062347114086	-0.010742675513029099	-0.053404174745082855	-0.07008174806833267	-0.07894165068864822	-0.005319009069353342	-0.10088968276977539	0.040386032313108444	-0.06937789171934128	-0.1252373903989792	0.013689079321920872	0.09111690521240234	-0.008084474131464958	0.01100271288305521	-0.028815055266022682	0.07261638343334198	0.003961141686886549	-0.03661734238266945	0.031081290915608406	-0.014066627249121666	0.02717524953186512	0.05355143919587135	0.09319539368152618	-0.02368679828941822	-0.027451515197753906	-0.041799869388341904	0.02616358920931816	0.059187859296798706	0.009250744245946407	0.07654555886983871	0.07464508712291718	0.048846565186977386	0.03970437869429588	-0.06243664026260376	-0.08456861972808838	-0.029659776017069817	-0.09124176949262619	0.05134434252977371	0.008952508680522442	0.031100843101739883	-0.047828659415245056	-0.03706067055463791	0.07711949199438095	0.10084842145442963	0.01192616205662489	-0.12386106699705124	0.011293957009911537	0.11245062947273254	-0.11472266167402267	-0.05503559112548828	-0.07525915652513504	-0.06020064279437065	0.08077791333198547	-0.031594108790159225	-0.01940884254872799	-0.039667535573244095	0.07364081591367722	-0.06947868317365646	0.062993124127388	0.20670853555202484	0.27872252464294434	0.24122978746891022	0.1633242666721344	0.17024250328540802	0.15698006749153137	0.17634828388690948	0.17297255992889404	0.09197766333818436	0.21727320551872253	0.13773438334465027	0.0846063420176506	0.02277965098619461	0.0705888494849205	0.18458275496959686	0.05603650584816933	0.11164077371358871	0.022091269493103027	0.04606054723262787	0.09723925590515137	-0.009768668562173843	0.08952176570892334	
Oui/boulet/plomb	0.5442779064178467	0.6104493141174316	0.610675036907196	0.6016063690185547	0.5795063972473145	0.6704309582710266	0.5828112363815308	1.0	0.5950499176979065	0.6189597249031067	0.5997651815414429	0.6450908780097961	0.394551157951355	0.6714227199554443	0.5519407987594604	0.6472265720367432	0.42038649320602417	0.49930351972579956	0.5710884928703308	0.5892957448959351	0.6934797763824463	0.6201698780059814	-0.13249190151691437	-0.10591863095760345	-0.024428460747003555	-0.007565373554825783	-0.012095588259398937	-0.058275263756513596	-0.1342875063419342	-0.027186214923858643	0.01677289791405201	-0.013601422309875488	-0.05390302836894989	-0.12765832245349884	0.04162071645259857	0.06612753868103027	0.02506956271827221	-0.007886834442615509	-0.1280447095632553	-0.04723861441016197	0.02816886454820633	0.04234585911035538	-0.0645332783460617	-0.10536075383424759	-0.1635981947183609	-0.005818952806293964	-0.09571994096040726	0.05855017527937889	0.08017384260892868	0.0006314183119684458	-0.03688348829746246	-0.12100805342197418	-0.06088009849190712	-0.05277310684323311	-0.006438175681978464	-0.00553932273760438	-0.017976420000195503	-0.07761440426111221	-0.05315660312771797	-0.019556310027837753	0.030491705983877182	-0.062300488352775574	0.037287820130586624	-0.06161559373140335	-0.002780131297186017	0.07935932278633118	0.0062725176103413105	0.09117337316274643	-0.08536459505558014	-0.10365885496139526	-0.0971551388502121	-0.07229438424110413	-0.10548937320709229	-0.017276566475629807	-0.11617155373096466	-0.09664709866046906	-0.04021899029612541	-0.06063142418861389	-0.07338366657495499	-0.14037388563156128	-0.11018907278776169	-0.10551662743091583	-0.08580466359853745	0.027736114338040352	-0.0020381510257720947	0.0047780233435332775	-0.07468115538358688	-0.08707203716039658	-0.005728692281991243	-0.17698536813259125	-0.0812327191233635	-0.13415652513504028	-0.05277290567755699	-0.027190260589122772	0.061662688851356506	0.06074175238609314	0.0908689945936203	0.06813151389360428	0.07102286070585251	0.046222370117902756	0.06914392113685608	0.009731225669384003	0.038462042808532715	0.04146410524845123	0.04231993854045868	0.048671968281269073	-0.005200359039008617	0.02236897684633732	0.12955236434936523	0.0037028207443654537	-0.006259525194764137	0.13975191116333008	0.0883449837565422	0.019722314551472664	-0.002705293707549572	0.0644175186753273	
Oui/bille/plomb	0.417208194732666	0.5875571966171265	0.5824083685874939	0.693930447101593	0.5030853748321533	0.5970760583877563	0.7775304913520813	0.5950499176979065	1.0	0.5889416337013245	0.5460404753684998	0.49475058913230896	0.49724581837654114	0.6187938451766968	0.5357545018196106	0.5475833415985107	0.548608660697937	0.4752056300640106	0.5643280148506165	0.5070156455039978	0.5885384678840637	0.5648187398910522	-0.1287979930639267	-0.0731048732995987	-0.013580298982560635	0.02733599580824375	0.06102101877331734	0.08136414736509323	-0.02450087107717991	0.08928796648979187	0.05695471167564392	-0.08092080801725388	0.048947907984256744	0.010869394987821579	0.016643740236759186	0.0526420921087265	0.007176586426794529	-0.057899586856365204	-0.024985138326883316	0.009098513051867485	-0.001483153086155653	-0.03042185865342617	0.06444498896598816	-0.026054857298731804	-0.08271583169698715	-0.0017875140765681863	0.018841516226530075	0.01616687700152397	0.008032262325286865	-0.023468848317861557	0.08467136323451996	-0.043332070112228394	-0.005864363629370928	0.026177072897553444	-0.004682756029069424	0.014624148607254028	0.06873684376478195	0.13818511366844177	-0.05663802847266197	0.006747788283973932	0.024516703560948372	-0.013642998412251472	0.07107344269752502	-0.04183155298233032	0.09990156441926956	0.06714679300785065	0.09015683829784393	0.08339279145002365	-0.03852256387472153	-0.08094746619462967	-0.06142093986272812	-0.00019565383263397962	0.03436925262212753	-0.047979824244976044	0.020122742280364037	0.012976245023310184	-0.0027933840174227953	0.047143638134002686	0.006815093569457531	-0.05294836312532425	-0.07945992052555084	0.01003982126712799	-0.013866923749446869	-0.0002765211393125355	0.044511497020721436	0.03340216353535652	-0.026752552017569542	-0.06357576698064804	0.053564175963401794	-0.1312246173620224	0.0650450587272644	-0.04581969603896141	0.10268896818161011	0.04651350528001785	0.18488025665283203	0.2663959562778473	0.23125307261943817	0.1318926215171814	0.17103366553783417	0.15924446284770966	0.18026980757713318	0.18323302268981934	0.15285620093345642	0.1946997046470642	0.17924055457115173	0.17376923561096191	0.11631682515144348	0.12148231267929077	0.1454988569021225	0.057323914021253586	0.13786765933036804	0.10921771079301834	0.17478153109550476	0.12313499301671982	0.07437728345394135	0.19189071655273438	
Oui/plaque/plomb	0.5425754189491272	0.6061326861381531	0.7404935359954834	0.5993061065673828	0.5828886032104492	0.7013522982597351	0.609764575958252	0.6189597249031067	0.5889416337013245	1.0	0.7048856019973755	0.6187390685081482	0.4667273461818695	0.751488983631134	0.5614557862281799	0.6993443965911865	0.5091984868049622	0.5734858512878418	0.653535008430481	0.5452040433883667	0.7135565280914307	0.6808708310127258	-0.21580485999584198	-0.13979704678058624	-0.05918294936418533	0.08673852682113647	0.03802887722849846	-0.0938330590724945	0.039005763828754425	0.059121303260326385	0.12385719269514084	-0.054460689425468445	0.03998264670372009	0.02223525568842888	-0.017209196463227272	0.03828614577651024	-0.038140248507261276	0.015147348865866661	-0.03923526778817177	0.06183336302638054	0.008075523190200329	0.0009456144762225449	0.04083315283060074	-0.048875629901885986	-0.08627992868423462	0.029877252876758575	-0.08535702526569366	0.009947997517883778	0.04590550810098648	-0.009049632586538792	0.026206187903881073	-0.04539240524172783	0.013539629988372326	0.01916750892996788	0.05385224148631096	-0.03621445223689079	0.028769895434379578	0.11788100004196167	-0.06702060252428055	-0.0433751679956913	0.018398165702819824	-0.03751643747091293	0.012296403758227825	0.050172124058008194	0.053421203047037125	0.015501949936151505	0.059513844549655914	0.05291283503174782	0.002580575877800584	-0.042850542813539505	-0.014805981889367104	-0.02037120796740055	0.09699295461177826	-0.015942919999361038	0.019812624901533127	0.04282855615019798	0.037770505994558334	-0.011443751864135265	0.07955408096313477	0.011699351482093334	-0.0974879041314125	0.1280880570411682	0.09125956147909164	-0.01999026909470558	0.021476497873663902	0.051762644201517105	-0.019368687644600868	0.06016229838132858	0.09964659810066223	-0.07840997725725174	0.05518893525004387	0.024207916110754013	0.042185455560684204	0.14229324460029602	0.24571016430854797	0.2693778872489929	0.17325171828269958	0.2141716182231903	0.2169935703277588	0.21044769883155823	0.2224346399307251	0.11972125619649887	0.13321122527122498	0.031341031193733215	0.14430473744869232	0.18456323444843292	-0.015269992873072624	0.0838225856423378	0.06543053686618805	0.0028800396248698235	0.17861615121364594	0.045658499002456665	0.13186027109622955	0.08394061774015427	0.09258019179105759	0.03618263453245163	
