	Non/colère/saine	Non/colères/saines	Oui/vie/saine	Oui/personne/saine	Oui/peau/saine	Oui/nourriture/saine	Oui/chair/saine	Oui/écorces/saines	Oui/dents/saines	Oui/bouche/saine	Oui/jambe/saine	Oui/feuilles/saines	Non/soleil/plomb	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb
Non/colère/saine	1.0	0.7438657879829407	0.26005324721336365	0.7208479642868042	0.4072902500629425	0.7133946418762207	0.5298768281936646	0.4329390227794647	0.3701927065849304	0.6624707579612732	0.5595530271530151	0.5002192854881287	0.00028315858799032867	0.03937157988548279	-0.01783488690853119	-0.029762908816337585	-0.03451940789818764	0.009655111469328403	0.01764562353491783	0.06005198881030083	-0.02603316307067871	-0.07253725081682205	-0.02325659804046154	
Non/colères/saines	0.7438657879829407	1.0	0.21210578083992004	0.49615323543548584	0.29136210680007935	0.48167040944099426	0.3370712697505951	0.5290210247039795	0.46050941944122314	0.45538848638534546	0.36392709612846375	0.5873836278915405	0.04351294785737991	-0.04423432797193527	-0.07863610237836838	-0.058838292956352234	-0.05882937088608742	-0.05147811397910118	-0.042061928659677505	0.03338935598731041	-0.04415057972073555	-0.005391117185354233	-0.03218259662389755	
Oui/vie/saine	0.26005324721336365	0.21210578083992004	1.0	0.30297353863716125	0.3609413802623749	0.28486761450767517	0.3018985986709595	0.09140095859766006	0.1606077253818512	0.27082163095474243	0.26945430040359497	0.14668340981006622	0.00863375049084425	0.00593813369050622	-0.07682791352272034	0.034376345574855804	-0.06275145709514618	-0.10256283730268478	-0.016736363992094994	-0.022568225860595703	0.003980742301791906	-0.038381390273571014	-0.02665153704583645	
Oui/personne/saine	0.7208479642868042	0.49615323543548584	0.30297353863716125	1.0	0.4390107989311218	0.8497276902198792	0.5772584676742554	0.4492146670818329	0.32540929317474365	0.7033050656318665	0.655977725982666	0.5434415936470032	0.01736297272145748	0.06855292618274689	0.05675194039940834	-0.014429346658289433	0.006277020554989576	0.08610221743583679	0.07145289331674576	0.09618132561445236	0.008075550198554993	-0.012067681178450584	0.03706492483615875	
Oui/peau/saine	0.4072902500629425	0.29136210680007935	0.3609413802623749	0.4390107989311218	1.0	0.41621774435043335	0.5451685786247253	0.3622930645942688	0.3963008224964142	0.4930049479007721	0.5152544379234314	0.354561984539032	0.046359751373529434	0.013864818960428238	0.03030860610306263	0.04228135570883751	-0.008666775189340115	-0.09159480780363083	0.00615128455683589	-0.013663976453244686	0.04837150126695633	-0.030714312568306923	-0.06422821432352066	
Oui/nourriture/saine	0.7133946418762207	0.48167040944099426	0.28486761450767517	0.8497276902198792	0.41621774435043335	1.0	0.6384188532829285	0.5000470280647278	0.3490361273288727	0.7290639281272888	0.6345726847648621	0.5657297372817993	-0.01628141850233078	0.04594788700342178	0.023668400943279266	-0.07797124236822128	-0.01900176890194416	0.05558070167899132	0.06270486861467361	0.02887391857802868	-0.05156765133142471	-0.07667911797761917	0.0002927564491983503	
Oui/chair/saine	0.5298768281936646	0.3370712697505951	0.3018985986709595	0.5772584676742554	0.5451685786247253	0.6384188532829285	1.0	0.4217192530632019	0.3451216518878937	0.5918347835540771	0.5618330240249634	0.399329274892807	-0.10001417994499207	-0.00953593011945486	0.00838758610188961	-0.005971958395093679	-0.012378034181892872	-0.10310333222150803	-0.02996462769806385	-0.010053164325654507	-0.04442082345485687	-0.09611675143241882	-0.07147227972745895	
Oui/écorces/saines	0.4329390227794647	0.5290210247039795	0.09140095859766006	0.4492146670818329	0.3622930645942688	0.5000470280647278	0.4217192530632019	1.0	0.4675770103931427	0.43929100036621094	0.4242507517337799	0.764531672000885	-0.02826141193509102	-0.056254416704177856	0.06884060055017471	-0.03757745027542114	0.0643693208694458	-0.05152781307697296	-0.001579700387082994	0.0004010986303910613	0.0045232465490698814	0.033158935606479645	-0.011054031550884247	
Oui/dents/saines	0.3701927065849304	0.46050941944122314	0.1606077253818512	0.32540929317474365	0.3963008224964142	0.3490361273288727	0.3451216518878937	0.4675770103931427	1.0	0.48078978061676025	0.4383507966995239	0.5201677680015564	-0.0563310906291008	-0.03959464654326439	0.00804709643125534	-0.03079158626496792	-0.065439872443676	-0.09208784252405167	-0.0004366046632640064	-0.02416142448782921	0.029169369488954544	0.02691464126110077	-0.06708957999944687	
Oui/bouche/saine	0.6624707579612732	0.45538848638534546	0.27082163095474243	0.7033050656318665	0.4930049479007721	0.7290639281272888	0.5918347835540771	0.43929100036621094	0.48078978061676025	1.0	0.6496137380599976	0.5196580290794373	-0.03383154422044754	0.024891965091228485	0.041248008608818054	0.023479195311665535	-0.026429932564496994	-0.0021702616941183805	0.07805517315864563	0.03531822934746742	0.07022546231746674	-0.05449642613530159	0.028416600078344345	
Oui/jambe/saine	0.5595530271530151	0.36392709612846375	0.26945430040359497	0.655977725982666	0.5152544379234314	0.6345726847648621	0.5618330240249634	0.4242507517337799	0.4383507966995239	0.6496137380599976	1.0	0.4663917124271393	-0.07475730031728745	0.06234843283891678	-0.0191742405295372	0.12452276796102524	-0.06389753520488739	-0.07744178920984268	-0.00639563612639904	0.07109944522380829	0.011512319557368755	-0.004115515388548374	-0.013384934514760971	
Oui/feuilles/saines	0.5002192854881287	0.5873836278915405	0.14668340981006622	0.5434415936470032	0.354561984539032	0.5657297372817993	0.399329274892807	0.764531672000885	0.5201677680015564	0.5196580290794373	0.4663917124271393	1.0	-0.0506320483982563	-0.09434005618095398	0.023479748517274857	-0.060483600944280624	-0.05253122001886368	-0.01881890371441841	-0.0259932242333889	-0.025417853146791458	0.033666979521512985	0.024331120774149895	-0.0031188514549285173	
Non/soleil/plomb	0.00028315858799032867	0.04351294785737991	0.00863375049084425	0.01736297272145748	0.046359751373529434	-0.01628141850233078	-0.10001417994499207	-0.02826141193509102	-0.0563310906291008	-0.03383154422044754	-0.07475730031728745	-0.0506320483982563	1.0	0.4688561260700226	0.6168219447135925	0.43644386529922485	0.5359863638877869	0.5759826302528381	0.4988800585269928	0.5442779064178467	0.417208194732666	0.5425754189491272	0.6126748323440552	
Oui/balles/plomb	0.03937157988548279	-0.04423432797193527	0.00593813369050622	0.06855292618274689	0.013864818960428238	0.04594788700342178	-0.00953593011945486	-0.056254416704177856	-0.03959464654326439	0.024891965091228485	0.06234843283891678	-0.09434005618095398	0.4688561260700226	1.0	0.6485990881919861	0.797681450843811	0.5739141702651978	0.7508078217506409	0.7460291385650635	0.6104493141174316	0.5875571966171265	0.6061326861381531	0.5627549290657043	
Oui/lamelles/plomb	-0.01783488690853119	-0.07863610237836838	-0.07682791352272034	0.05675194039940834	0.03030860610306263	0.023668400943279266	0.00838758610188961	0.06884060055017471	0.00804709643125534	0.041248008608818054	-0.0191742405295372	0.023479748517274857	0.6168219447135925	0.6485990881919861	1.0	0.5238829255104065	0.7241421937942505	0.7687433958053589	0.7394304275512695	0.610675036907196	0.5824083685874939	0.7404935359954834	0.6914305090904236	
Oui/balle/plomb	-0.029762908816337585	-0.058838292956352234	0.034376345574855804	-0.014429346658289433	0.04228135570883751	-0.07797124236822128	-0.005971958395093679	-0.03757745027542114	-0.03079158626496792	0.023479195311665535	0.12452276796102524	-0.060483600944280624	0.43644386529922485	0.797681450843811	0.5238829255104065	1.0	0.4823836386203766	0.5887075066566467	0.6113089323043823	0.6016063690185547	0.693930447101593	0.5993061065673828	0.5372174382209778	
Oui/noyaux/plomb	-0.03451940789818764	-0.05882937088608742	-0.06275145709514618	0.006277020554989576	-0.008666775189340115	-0.01900176890194416	-0.012378034181892872	0.0643693208694458	-0.065439872443676	-0.026429932564496994	-0.06389753520488739	-0.05253122001886368	0.5359863638877869	0.5739141702651978	0.7241421937942505	0.4823836386203766	1.0	0.6467024087905884	0.6673455834388733	0.5795063972473145	0.5030853748321533	0.5828886032104492	0.5806174874305725	
Oui/cartouches/plomb	0.009655111469328403	-0.05147811397910118	-0.10256283730268478	0.08610221743583679	-0.09159480780363083	0.05558070167899132	-0.10310333222150803	-0.05152781307697296	-0.09208784252405167	-0.0021702616941183805	-0.07744178920984268	-0.01881890371441841	0.5759826302528381	0.7508078217506409	0.7687433958053589	0.5887075066566467	0.6467024087905884	1.0	0.7505487203598022	0.6704309582710266	0.5970760583877563	0.7013522982597351	0.6917374730110168	
Oui/billes/plomb	0.01764562353491783	-0.042061928659677505	-0.016736363992094994	0.07145289331674576	0.00615128455683589	0.06270486861467361	-0.02996462769806385	-0.001579700387082994	-0.0004366046632640064	0.07805517315864563	-0.00639563612639904	-0.0259932242333889	0.4988800585269928	0.7460291385650635	0.7394304275512695	0.6113089323043823	0.6673455834388733	0.7505487203598022	1.0	0.5828112363815308	0.7775304913520813	0.609764575958252	0.5928012728691101	
Oui/boulet/plomb	0.06005198881030083	0.03338935598731041	-0.022568225860595703	0.09618132561445236	-0.013663976453244686	0.02887391857802868	-0.010053164325654507	0.0004010986303910613	-0.02416142448782921	0.03531822934746742	0.07109944522380829	-0.025417853146791458	0.5442779064178467	0.6104493141174316	0.610675036907196	0.6016063690185547	0.5795063972473145	0.6704309582710266	0.5828112363815308	1.0	0.5950499176979065	0.6189597249031067	0.5997651815414429	
Oui/bille/plomb	-0.02603316307067871	-0.04415057972073555	0.003980742301791906	0.008075550198554993	0.04837150126695633	-0.05156765133142471	-0.04442082345485687	0.0045232465490698814	0.029169369488954544	0.07022546231746674	0.011512319557368755	0.033666979521512985	0.417208194732666	0.5875571966171265	0.5824083685874939	0.693930447101593	0.5030853748321533	0.5970760583877563	0.7775304913520813	0.5950499176979065	1.0	0.5889416337013245	0.5460404753684998	
Oui/plaque/plomb	-0.07253725081682205	-0.005391117185354233	-0.038381390273571014	-0.012067681178450584	-0.030714312568306923	-0.07667911797761917	-0.09611675143241882	0.033158935606479645	0.02691464126110077	-0.05449642613530159	-0.004115515388548374	0.024331120774149895	0.5425754189491272	0.6061326861381531	0.7404935359954834	0.5993061065673828	0.5828886032104492	0.7013522982597351	0.609764575958252	0.6189597249031067	0.5889416337013245	1.0	0.7048856019973755	
Oui/coupole/plomb	-0.02325659804046154	-0.03218259662389755	-0.02665153704583645	0.03706492483615875	-0.06422821432352066	0.0002927564491983503	-0.07147227972745895	-0.011054031550884247	-0.06708957999944687	0.028416600078344345	-0.013384934514760971	-0.0031188514549285173	0.6126748323440552	0.5627549290657043	0.6914305090904236	0.5372174382209778	0.5806174874305725	0.6917374730110168	0.5928012728691101	0.5997651815414429	0.5460404753684998	0.7048856019973755	1.0	
