	Non/colère/saine	Non/colères/saines	Oui/vie/saine	Oui/personne/saine	Oui/peau/saine	Oui/nourriture/saine	Oui/chair/saine	Oui/écorces/saines	Oui/dents/saines	Oui/bouche/saine	Oui/jambe/saine	Oui/feuilles/saines	Non/observateur/fin	Oui/bretelles/fines	Oui/peau/fine	Oui/couche/fine	Oui/robe/fine	Oui/lames/fines	Oui/feuilles/fines	Oui/moustaches/fines	Oui/laine/fine	Oui/tissu/fin	Oui/matelas/fin	Non/couple/beau	Oui/marquise/belle	Oui/princesse/belle	Oui/chevaux/beaux	Oui/violon/beau	Oui/baron/beau	Oui/fleurs/belles	Oui/maison/belle	Oui/visage/beau	Oui/pantalon/beau	Oui/bateau/beau	Non/journalistes/grands	Non/journaliste/grand	Non/journaliste/grande	Oui/salle/grande	Oui/arbres/grands	Oui/escalier/grand	Oui/supermarché/grand	Oui/chapiteau/grand	Oui/écurie/grande	Oui/chapeau/grand	Oui/couteau/grand	Oui/îles/grandes	Oui/panneaux/grands	Non/idée/brillante	Oui/lèvres/brillantes	Oui/veine/brillante	Oui/épées/brillantes	Oui/boule/brillante	Oui/constellations/brillantes	Oui/tissu/brillant	Oui/cuirasse/brillante	Oui/sphère/brillante	Oui/halo/brillant	Oui/pièces/brillantes	Non/élève/brillant	Non/élève/brillante	Non/élèves/brillants	Oui/éclats/brillants	Oui/dents/brillantes	Oui/lunettes/brillantes	Oui/chaussures/brillantes	Oui/cristaux/brillants	Oui/lame/brillante	Oui/lune/brillante	Oui/métal/brillant	Oui/anneau/brillant	Oui/aiguilles/brillantes	Non/ouïe/fine	Oui/moustache/fine	Oui/membrane/fine	Oui/sandales/fines	Oui/pattes/fines	Oui/lunettes/fines	Oui/bandes/fines	Oui/mouchoir/fin	Oui/collier/fin	Oui/cigarettes/fines	Oui/stylet/fin	Non/chanteur/grand	Oui/cadres/grands	Oui/lévrier/grand	Oui/nef/grande	Oui/portefeuille/grand	Oui/figurines/grandes	Oui/salon/grand	Oui/fenêtres/grandes	Oui/carnets/grands	Oui/mains/grandes	Oui/arc/grand	Non/temps/beau	Oui/salon/beau	Oui/garçon/beau	Oui/robe/belle	Oui/bracelet/beau	Oui/sièges/beaux	Oui/feuillages/beaux	Oui/cathédrale/belle	Oui/seins/beaux	Oui/table/belle	Oui/chapeau/beau	Non/douche/bonne	Oui/père/bon	Oui/élèves/bons	Oui/mère/bonne	Oui/nageur/bon	Oui/tireur/bon	Oui/étudiants/bons	Oui/professeure/bonne	Oui/commandant/bon	Oui/jardinier/bon	Oui/comédienne/bonne
Non/colère/saine	1.0	0.7438657879829407	0.26005324721336365	0.7208479642868042	0.4072902500629425	0.7133946418762207	0.5298768281936646	0.4329390227794647	0.3701927065849304	0.6624707579612732	0.5595530271530151	0.5002192854881287	0.03862718492746353	0.0954262986779213	0.08244844526052475	0.22093136608600616	0.19804947078227997	0.11284281313419342	0.07302581518888474	0.11006832122802734	0.22708666324615479	-0.0029680177103728056	-0.015403383411467075	0.10613637417554855	0.2030843198299408	0.26885145902633667	0.14302638173103333	0.1555113047361374	0.10024815052747726	0.2014167159795761	0.15857577323913574	0.14626067876815796	0.15292730927467346	0.1146138459444046	0.16235612332820892	0.06351342052221298	0.13946323096752167	-0.030327750369906425	0.050722360610961914	0.04416960850358009	0.00022172970056999475	0.05216987431049347	0.009513718076050282	0.07166273891925812	0.05055753514170647	0.03305188938975334	0.08506397157907486	-0.037198957055807114	0.11724547296762466	0.04736329987645149	0.21859696507453918	0.17462563514709473	0.15347260236740112	-0.018474191427230835	0.16074629127979279	0.0610085092484951	0.08994590491056442	0.12763452529907227	0.08914731442928314	0.18919512629508972	0.09317322820425034	0.14737635850906372	0.0004764098848681897	0.08054246008396149	0.11768609285354614	0.07860612124204636	0.07581029832363129	0.12325906753540039	0.09031624346971512	0.05520254001021385	0.14530952274799347	0.14318470656871796	0.27906835079193115	0.21761047840118408	0.1120545044541359	0.057305991649627686	0.06935153901576996	0.10746757686138153	0.054792895913124084	0.07130087167024612	0.07660464197397232	0.08320953696966171	0.1200101375579834	0.09538941830396652	0.013582928106188774	-0.047446899116039276	-0.01980648562312126	0.09986655414104462	-0.06502514332532883	0.044821951538324356	0.07532909512519836	0.0779942125082016	0.04249783605337143	0.15657882392406464	0.03838520869612694	0.16304942965507507	0.14253710210323334	0.1688096672296524	0.07742001861333847	0.1521463692188263	0.2656994163990021	0.08782172203063965	0.13717664778232574	0.16406506299972534	0.1638256311416626	0.28728175163269043	0.20266704261302948	0.20541596412658691	0.21079540252685547	0.2519063651561737	0.22108188271522522	0.30581337213516235	0.28113579750061035	0.2689281702041626	0.3068057894706726	
Non/colères/saines	0.7438657879829407	1.0	0.21210578083992004	0.49615323543548584	0.29136210680007935	0.48167040944099426	0.3370712697505951	0.5290210247039795	0.46050941944122314	0.45538848638534546	0.36392709612846375	0.5873836278915405	0.007566730957478285	0.17879056930541992	0.03735077381134033	0.1374584585428238	0.13925376534461975	0.14807520806789398	0.1104542538523674	0.21019336581230164	0.08146000653505325	-0.06773602217435837	-0.03594653680920601	0.06517014652490616	0.09723452478647232	0.1532178670167923	0.10583972185850143	0.14851661026477814	0.05410223826766014	0.14620210230350494	0.0808883011341095	0.08722532540559769	0.09178575128316879	0.0775664672255516	0.018353763967752457	0.050179850310087204	0.028339101001620293	-0.03991595283150673	-0.06167379766702652	0.037494152784347534	-0.016642538830637932	-0.0005825871485285461	0.010677550919353962	0.10189791023731232	0.051587577909231186	0.02813101001083851	0.010099058039486408	-0.04381167143583298	0.06204788386821747	0.011191104538738728	0.2068297564983368	0.11991012841463089	0.18219032883644104	-0.09440957009792328	0.1616050750017166	0.036915309727191925	0.06420014053583145	0.10570435225963593	0.0759010910987854	0.11436185240745544	0.02497493103146553	0.22711358964443207	-0.009989164769649506	0.1261386275291443	0.14116816222667694	0.026149917393922806	0.06887563318014145	0.12272889912128448	0.051376551389694214	0.01966526173055172	0.09201757609844208	0.04485148563981056	0.1810590922832489	0.12614649534225464	0.18326392769813538	0.13395506143569946	0.16311554610729218	0.14480607211589813	0.02714049629867077	0.04255325347185135	0.13352413475513458	0.05276868864893913	0.09749647974967957	-0.04198015481233597	0.06008756905794144	-0.05895458906888962	-0.007991593331098557	0.05978579819202423	-0.03899851441383362	0.02008691057562828	0.059052061289548874	-0.0008459486998617649	0.055200736969709396	0.0974874347448349	0.01244383119046688	0.11930367350578308	0.10249063372612	0.12516888976097107	0.034299395978450775	0.07323209196329117	0.12320894747972488	0.04835062474012375	0.03548232465982437	0.13396058976650238	0.15260419249534607	0.24709919095039368	0.10069184005260468	0.2125333994626999	0.2128741294145584	0.1802109181880951	0.10470813512802124	0.20266303420066833	0.21014177799224854	0.20524908602237701	0.2409633994102478	
Oui/vie/saine	0.26005324721336365	0.21210578083992004	1.0	0.30297353863716125	0.3609413802623749	0.28486761450767517	0.3018985986709595	0.09140095859766006	0.1606077253818512	0.27082163095474243	0.26945430040359497	0.14668340981006622	-0.26842090487480164	0.02390759065747261	0.23301002383232117	0.1457316130399704	0.1855785995721817	0.10897322744131088	0.026205826550722122	0.02442820370197296	0.12689150869846344	-0.1712879091501236	-0.23626893758773804	0.05020343139767647	-0.013607727363705635	-0.005287235137075186	-0.029469745233654976	0.008041376248002052	-0.07060214877128601	0.07686609029769897	0.04810602590441704	-0.01220596581697464	-0.08915144205093384	-0.011066262610256672	0.00377873657271266	-0.04167863726615906	-0.07343172281980515	0.04980570077896118	0.060878124088048935	-0.01821882836520672	-0.12645965814590454	-0.06545526534318924	-0.10008733719587326	-0.041610509157180786	0.008105822838842869	0.029600324109196663	0.006832963787019253	0.06944595277309418	0.01612401194870472	0.09067736566066742	0.14606179296970367	0.1252930909395218	0.04805021360516548	0.10779548436403275	0.0882825180888176	0.2634907364845276	0.09655874967575073	0.14585763216018677	0.05527200549840927	0.07936075329780579	0.12293792515993118	0.1560991257429123	0.053375013172626495	0.0823768824338913	0.07071533799171448	0.1355382353067398	0.1656191051006317	0.17458398640155792	0.14106574654579163	0.06711620837450027	-0.004941093269735575	0.12598538398742676	0.08664713054895401	0.09016542136669159	0.04734217748045921	0.04911670833826065	0.06710615009069443	0.0557047501206398	-0.218924418091774	-0.23078975081443787	0.06358411908149719	-0.19695830345153809	0.022092636674642563	0.07547007501125336	-0.0013260883279144764	0.14577966928482056	-0.052511826157569885	-0.0006821838323958218	0.087302565574646	0.007819299586117268	0.05253295600414276	0.04569343104958534	0.027108171954751015	0.10868839919567108	0.016934571787714958	0.010795227251946926	0.10214579850435257	-0.03808436915278435	-0.011731886304914951	-0.03561565279960632	-0.012675614096224308	-0.0246272049844265	0.0351528599858284	-0.09741789847612381	0.08130494505167007	0.12148116528987885	0.06579922884702682	0.18855737149715424	0.05250735208392143	0.056458041071891785	0.05552196875214577	0.015279448591172695	0.02087615430355072	0.054555803537368774	0.023531952872872353	
Oui/personne/saine	0.7208479642868042	0.49615323543548584	0.30297353863716125	1.0	0.4390107989311218	0.8497276902198792	0.5772584676742554	0.4492146670818329	0.32540929317474365	0.7033050656318665	0.655977725982666	0.5434415936470032	0.143457293510437	0.1395472288131714	0.05627846717834473	0.2868409752845764	0.17107228934764862	0.13024182617664337	0.1141849160194397	0.13860921561717987	0.20105695724487305	0.04975026100873947	0.10136416554450989	0.17680825293064117	0.3001013994216919	0.34465745091438293	0.16766196489334106	0.19508439302444458	0.1692999303340912	0.12047550827264786	0.21696384251117706	0.16170108318328857	0.1822744756937027	0.1780221313238144	0.1782863438129425	0.13929592072963715	0.2658372223377228	0.04155081510543823	0.03802139312028885	0.09197420626878738	0.031533192843198776	0.11463703215122223	0.05537538230419159	0.11125858873128891	0.06482039391994476	0.025203146040439606	0.09120000898838043	-0.07073525339365005	0.01791871339082718	-0.0009550043614581227	0.19403696060180664	0.06432817876338959	0.21687549352645874	-0.026135781779885292	0.14495360851287842	0.09429264813661575	0.01577092707157135	0.1648169457912445	0.13439978659152985	0.23687714338302612	0.1398780196905136	0.05428427830338478	-0.07766779512166977	0.1440337598323822	0.14546658098697662	0.0885559618473053	0.011456086300313473	0.015646954998373985	0.06155315786600113	0.05960335582494736	0.11912673711776733	0.17220503091812134	0.32726994156837463	0.2787936329841614	0.1432764232158661	0.08322778344154358	0.13965654373168945	0.10012799501419067	0.11955972015857697	0.11861145496368408	0.13085907697677612	0.14701038599014282	0.18432198464870453	0.10196705162525177	0.08504346013069153	-0.0007488549454137683	0.0591815821826458	0.11077865958213806	0.003192332573235035	0.06142706051468849	0.06476735323667526	0.029095657169818878	0.008585654199123383	0.18722626566886902	0.10694707185029984	0.2215072065591812	0.10085450857877731	0.21623803675174713	0.14512377977371216	0.19118113815784454	0.32615044713020325	0.07575111836194992	0.1881943792104721	0.20988290011882782	0.1761782467365265	0.26482081413269043	0.27556344866752625	0.14762356877326965	0.25591251254081726	0.3260898292064667	0.2805746793746948	0.3511403203010559	0.31796514987945557	0.29868248105049133	0.34095582365989685	
Oui/peau/saine	0.4072902500629425	0.29136210680007935	0.3609413802623749	0.4390107989311218	1.0	0.41621774435043335	0.5451685786247253	0.3622930645942688	0.3963008224964142	0.4930049479007721	0.5152544379234314	0.354561984539032	-0.0598100982606411	-0.004564435221254826	0.5967566967010498	0.14219506084918976	0.2122182995080948	0.12270639836788177	-0.03899841010570526	-0.0028469208627939224	0.1984003186225891	0.11130012571811676	0.023509735241532326	0.01272871159017086	0.1315578669309616	0.14882022142410278	0.09012311697006226	0.13380324840545654	0.03492080792784691	0.22257502377033234	0.09144915640354156	0.26753705739974976	0.13720735907554626	0.07286601513624191	0.09029439091682434	0.04727645590901375	0.0990956649184227	0.06470312923192978	0.10197417438030243	0.024033429101109505	0.009199826046824455	0.045047562569379807	0.08973177522420883	0.150019109249115	0.1732858568429947	0.111374132335186	0.09397366642951965	-0.023814521729946136	0.29475435614585876	0.09910404682159424	0.21691139042377472	0.181379035115242	0.08091013133525848	0.23943081498146057	0.24284808337688446	0.07879558205604553	0.1368754357099533	0.12741917371749878	-0.021879088133573532	0.05150807276368141	-0.02940339781343937	0.11183275282382965	0.20104776322841644	0.2582515478134155	0.16083970665931702	0.13093942403793335	0.21145015954971313	0.14565105736255646	0.13176830112934113	0.06543827056884766	0.12893489003181458	0.11227782815694809	0.09897606074810028	0.1143447756767273	0.009342177771031857	0.04686553776264191	0.045943956822156906	0.033702120184898376	0.061169154942035675	0.02466231770813465	-0.062399495393037796	0.07192526012659073	0.11934191733598709	0.08250067383050919	0.09892413020133972	0.11815007776021957	0.07352862507104874	0.12189850956201553	0.05969162657856941	0.0939927026629448	0.10359888523817062	0.2291872501373291	0.06860128790140152	0.032171208411455154	0.041210923343896866	0.09882351011037827	0.30249565839767456	0.13162806630134583	0.08392637968063354	0.09144136309623718	0.10277484357357025	0.23065727949142456	0.040912140160799026	0.11194726824760437	0.2125549018383026	0.13334140181541443	0.09220350533723831	0.13971103727817535	0.1866750717163086	0.17456035315990448	0.10354679822921753	0.13008920848369598	0.13842254877090454	0.1360180824995041	0.16142185032367706	
Oui/nourriture/saine	0.7133946418762207	0.48167040944099426	0.28486761450767517	0.8497276902198792	0.41621774435043335	1.0	0.6384188532829285	0.5000470280647278	0.3490361273288727	0.7290639281272888	0.6345726847648621	0.5657297372817993	0.14539027214050293	0.12548846006393433	0.041847895830869675	0.2747231423854828	0.2036353051662445	0.15122677385807037	0.1257997453212738	0.14796049892902374	0.27566948533058167	0.10452136397361755	0.13418497145175934	0.1304609775543213	0.289065957069397	0.35294097661972046	0.18117019534111023	0.2105080783367157	0.1628066748380661	0.19926422834396362	0.27614039182662964	0.13366587460041046	0.24280229210853577	0.21272194385528564	0.16901721060276031	0.13534294068813324	0.22659413516521454	0.05990886688232422	0.08936548233032227	0.13263247907161713	0.1320899873971939	0.16797856986522675	0.06477494537830353	0.14904974400997162	0.14295516908168793	0.051072269678115845	0.15753507614135742	-0.10143651068210602	0.035376813262701035	-0.007738790009170771	0.24537163972854614	0.10213743895292282	0.19014586508274078	0.0516473725438118	0.20075006783008575	0.05959411710500717	0.034775275737047195	0.20469722151756287	0.01522145327180624	0.1272117644548416	0.0659249871969223	0.08532985299825668	-0.042599231004714966	0.1431422233581543	0.18646889925003052	0.17660754919052124	0.028003912419080734	0.05169420689344406	0.14631396532058716	0.10212796926498413	0.13024462759494781	0.16756027936935425	0.3295234441757202	0.3012883961200714	0.17370730638504028	0.10248848795890808	0.12034128606319427	0.12747089564800262	0.16410844027996063	0.17334333062171936	0.1527576446533203	0.16115067899227142	0.19337564706802368	0.09998494386672974	0.1404617726802826	-0.020298276096582413	0.11430978775024414	0.1670491248369217	0.044252946972846985	0.0973345935344696	0.12847481667995453	-0.006912943907082081	0.020799992606043816	0.19104725122451782	0.12126946449279785	0.1902088224887848	0.1673123687505722	0.24157996475696564	0.1671493947505951	0.22243501245975494	0.374502032995224	0.08970440924167633	0.2367473542690277	0.2178172916173935	0.23654744029045105	0.26442041993141174	0.1994321048259735	0.12144360691308975	0.26361972093582153	0.29926466941833496	0.22988751530647278	0.3527827560901642	0.34801411628723145	0.3262433409690857	0.3344619572162628	
Oui/chair/saine	0.5298768281936646	0.3370712697505951	0.3018985986709595	0.5772584676742554	0.5451685786247253	0.6384188532829285	1.0	0.4217192530632019	0.3451216518878937	0.5918347835540771	0.5618330240249634	0.399329274892807	0.00010615539940772578	-0.06093071028590202	0.11184169352054596	0.07109476625919342	0.12489736080169678	0.07047927379608154	-0.046915821731090546	-0.03569086641073227	0.13580405712127686	0.08151069283485413	0.021995974704623222	0.0330955795943737	0.1493190973997116	0.16347214579582214	0.0704929307103157	0.13154380023479462	0.07783346623182297	0.1265448033809662	0.09429662674665451	0.10785070061683655	0.13209062814712524	0.0650104284286499	0.08196745812892914	0.05440974608063698	0.08662543445825577	0.058522071689367294	0.09689289331436157	0.09396209567785263	0.032230280339717865	0.1346326768398285	-0.018915705382823944	0.12377601861953735	0.21308593451976776	0.039226822555065155	0.08981211483478546	-0.05744156986474991	0.11328821629285812	0.09171097725629807	0.2466655820608139	0.19603362679481506	0.0818411111831665	0.1516345739364624	0.24202574789524078	0.07209628075361252	0.14079122245311737	0.1719316840171814	-0.03962939232587814	0.038008492439985275	-0.042834047228097916	0.16623258590698242	0.08948955684900284	0.049721166491508484	0.09540697187185287	0.06919776648283005	0.17093540728092194	0.09971479326486588	0.19830413162708282	0.061826273798942566	0.08005676418542862	0.08688389509916306	0.06423552334308624	0.09609697759151459	0.006257226224988699	0.026296036317944527	-0.0849761888384819	-0.022275200113654137	0.03998147323727608	0.024042822420597076	-0.055057428777217865	0.06703609228134155	0.12285654246807098	0.10684581100940704	0.09740317612886429	0.10408106446266174	0.051773056387901306	0.15451061725616455	0.015569755807518959	0.045614227652549744	0.09676963835954666	0.10507801175117493	0.07873596996068954	0.05590200051665306	0.011294219642877579	0.0840468630194664	0.20995067059993744	0.1017494797706604	0.0850236788392067	0.12958769500255585	0.1981218308210373	0.15163332223892212	0.19076062738895416	0.09837082028388977	0.12303297221660614	0.1987026184797287	0.09109938889741898	0.14353710412979126	0.19584611058235168	0.21403442323207855	0.12541712820529938	0.19264476001262665	0.21513541042804718	0.1924121081829071	0.20404833555221558	
Oui/écorces/saines	0.4329390227794647	0.5290210247039795	0.09140095859766006	0.4492146670818329	0.3622930645942688	0.5000470280647278	0.4217192530632019	1.0	0.4675770103931427	0.43929100036621094	0.4242507517337799	0.764531672000885	0.0411415658891201	0.1059294268488884	0.08430999517440796	0.1462211161851883	0.17416976392269135	0.20733098685741425	0.1860063225030899	0.09933726489543915	0.17414340376853943	0.0558348149061203	0.06323114037513733	0.05505003780126572	0.14964109659194946	0.159474179148674	0.11154382675886154	0.20701639354228973	0.14714792370796204	0.2925293743610382	0.14815936982631683	0.09676021337509155	0.15399587154388428	0.13072313368320465	0.10204146057367325	0.16571234166622162	0.11729304492473602	0.033979129046201706	0.314706951379776	0.19901438057422638	0.10645382851362228	0.17154085636138916	0.09563347697257996	0.2476312518119812	0.24971266090869904	0.17254440486431122	0.1760062575340271	0.018467530608177185	0.09138131886720657	0.06853468716144562	0.2999381124973297	0.18083465099334717	0.22535374760627747	0.1037852019071579	0.15597134828567505	0.04052406921982765	0.09374944120645523	0.20291391015052795	0.018079832196235657	0.053466349840164185	-0.01688038371503353	0.2140968143939972	0.034381624311208725	0.16858042776584625	0.23019929230213165	0.17316488921642303	0.19289755821228027	0.06301810592412949	0.16195806860923767	0.12069002538919449	0.2774483263492584	0.0711374282836914	0.12698043882846832	0.16833852231502533	0.15202215313911438	0.07805212587118149	0.06518899649381638	0.10470764338970184	0.07504657655954361	0.0773020014166832	0.06781395524740219	0.0707729160785675	0.2035072296857834	0.10158317536115646	0.1255521923303604	0.015953343361616135	0.12151005119085312	0.20015619695186615	0.061237361282110214	0.15312716364860535	0.18694201111793518	0.06911551207304001	0.15601114928722382	0.07484165579080582	0.05484408512711525	0.09842272847890854	0.20577678084373474	0.16705632209777832	0.061478808522224426	0.22225500643253326	0.17859531939029694	0.10212820768356323	0.0837981104850769	0.20517754554748535	0.1955779641866684	0.2611440122127533	0.1591860055923462	0.13953152298927307	0.2583088278770447	0.26129454374313354	0.20799800753593445	0.23405511677265167	0.25293058156967163	0.2757556140422821	0.24328169226646423	
Oui/dents/saines	0.3701927065849304	0.46050941944122314	0.1606077253818512	0.32540929317474365	0.3963008224964142	0.3490361273288727	0.3451216518878937	0.4675770103931427	1.0	0.48078978061676025	0.4383507966995239	0.5201677680015564	-0.08726198226213455	0.04705866426229477	0.10032070428133011	0.0420236773788929	0.06424281746149063	0.3096195459365845	0.04709092900156975	0.1524474024772644	0.06767687946557999	-0.07530627399682999	-0.06344639509916306	0.07534916698932648	0.039142265915870667	0.110427625477314	0.12572145462036133	0.16520696878433228	0.11450061947107315	0.17663218080997467	0.0034404397010803223	0.16600149869918823	0.1135457307100296	0.09162990003824234	0.030422935262322426	0.08098983764648438	0.009932272136211395	0.009022212587296963	0.11393292993307114	0.14736920595169067	0.049871236085891724	0.09389537572860718	0.021626662462949753	0.21764186024665833	0.302587628364563	0.08367752283811569	0.07843489944934845	-0.032001957297325134	0.29878416657447815	0.04278125613927841	0.36207854747772217	0.23760148882865906	0.1077866405248642	-0.013566390611231327	0.1715715080499649	0.010982857085764408	0.03875068575143814	0.17763526737689972	-0.030166614800691605	0.0007405210053548217	-0.03301601856946945	0.174101322889328	0.7270547747612	0.26441484689712524	0.1496868133544922	0.12225314229726791	0.35019451379776	0.21039864420890808	0.17626142501831055	0.17582161724567413	0.26190146803855896	0.05134004354476929	0.12243534624576569	0.0162232406437397	0.04177401214838028	0.20950275659561157	0.10795139521360397	0.06707489490509033	-6.934444058970257e-07	0.011461769230663776	0.03612537682056427	0.020983295515179634	0.14812235534191132	0.01093488372862339	0.15714730322360992	0.0521831214427948	0.061653293669223785	0.11038380861282349	0.005855219438672066	0.07601749151945114	0.03927561640739441	0.20604096353054047	0.14436592161655426	0.0698590874671936	0.01846056617796421	0.136347234249115	0.12658868730068207	0.15953519940376282	0.11049956828355789	0.09643981605768204	0.06837727129459381	0.19635269045829773	0.06837991625070572	0.1918676644563675	0.15431007742881775	0.1945265233516693	0.09977836906909943	0.12022458016872406	0.17658731341362	0.18483296036720276	0.11175043880939484	0.09978188574314117	0.1618841290473938	0.19046375155448914	0.12568676471710205	
Oui/bouche/saine	0.6624707579612732	0.45538848638534546	0.27082163095474243	0.7033050656318665	0.4930049479007721	0.7290639281272888	0.5918347835540771	0.43929100036621094	0.48078978061676025	1.0	0.6496137380599976	0.5196580290794373	0.01124642789363861	0.03851638361811638	0.009453948587179184	0.09220778197050095	0.11908019334077835	0.07487168163061142	-0.0012428854824975133	0.05910959094762802	0.05658659338951111	0.007077408488839865	-0.006734716705977917	0.04623951390385628	0.21887852251529694	0.22326049208641052	0.10864786058664322	0.1693885177373886	0.10294941067695618	0.1814512014389038	0.15993474423885345	0.18446090817451477	0.1785489320755005	0.14150236546993256	0.10380499064922333	0.06735611706972122	0.15369737148284912	0.11703754961490631	0.02568560652434826	0.07879249006509781	0.03316874802112579	0.0838402658700943	0.03437967970967293	0.13732613623142242	0.15543042123317719	0.012907166965305805	0.08027460426092148	-0.08236949890851974	0.31618189811706543	0.14973711967468262	0.23136121034622192	0.1941847801208496	0.1168009489774704	0.027975523844361305	0.15917640924453735	0.11029452085494995	0.10898319631814957	0.16944390535354614	0.00563237676396966	0.11135629564523697	0.02153301052749157	0.10336828976869583	0.1341675966978073	0.1742512732744217	0.12233234196901321	0.08928307145833969	0.1477714478969574	0.054964955896139145	0.10152144730091095	0.16496917605400085	0.16010794043540955	0.13754349946975708	0.13455133140087128	0.09841421246528625	0.03929548338055611	0.048265546560287476	0.03336666524410248	-0.006111386232078075	0.0955549031496048	0.04884706810116768	0.01871674880385399	0.095145083963871	0.12583889067173004	0.03501841798424721	0.0989619642496109	0.051970530301332474	0.03559313341975212	0.07817729562520981	0.050365105271339417	0.12881027162075043	0.0871308222413063	0.17951513826847076	0.08966385573148727	0.116775743663311	0.10760029405355453	0.14231213927268982	0.19000299274921417	0.16080045700073242	0.1227496936917305	0.1617707461118698	0.2548891007900238	0.18305885791778564	0.20369577407836914	0.1868017166852951	0.2141358107328415	0.19682227075099945	0.1704273372888565	0.1024002656340599	0.20274192094802856	0.23736464977264404	0.18469515442848206	0.24360661208629608	0.2359602451324463	0.2303268164396286	0.25046244263648987	
