	Non/soleil/plomb	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/silence/plomb	Oui/urne/plomb	Oui/tablette/plomb	Oui/tuyau/plomb	Oui/cercueil/plomb	Oui/cage/plomb	Oui/gants/plomb	Oui/masse/plomb	Oui/lingot/plomb	Oui/morceau/plomb	Oui/armatures/plomb
Non/soleil/plomb	1.0	0.4688561260700226	0.6168219447135925	0.43644386529922485	0.5359863638877869	0.5759826302528381	0.4988800585269928	0.5442779064178467	0.417208194732666	0.5425754189491272	0.6126748323440552	0.6560797095298767	0.26464512944221497	0.6387904286384583	0.434486448764801	0.6118470430374146	0.3059447109699249	0.4858722984790802	0.5352215766906738	0.44458305835723877	0.6235170364379883	0.5979258418083191	
Oui/balles/plomb	0.4688561260700226	1.0	0.6485990881919861	0.797681450843811	0.5739141702651978	0.7508078217506409	0.7460291385650635	0.6104493141174316	0.5875571966171265	0.6061326861381531	0.5627549290657043	0.5644310116767883	0.4057689905166626	0.6068260073661804	0.46649640798568726	0.6123582720756531	0.4422948658466339	0.575856626033783	0.542228639125824	0.4670233130455017	0.6008933782577515	0.6272132396697998	
Oui/lamelles/plomb	0.6168219447135925	0.6485990881919861	1.0	0.5238829255104065	0.7241421937942505	0.7687433958053589	0.7394304275512695	0.610675036907196	0.5824083685874939	0.7404935359954834	0.6914305090904236	0.6907138824462891	0.4292979836463928	0.7399939298629761	0.5672677159309387	0.6994783878326416	0.4394201636314392	0.6071696877479553	0.6379972100257874	0.571110188961029	0.7563421130180359	0.7893226742744446	
Oui/balle/plomb	0.43644386529922485	0.797681450843811	0.5238829255104065	1.0	0.4823836386203766	0.5887075066566467	0.6113089323043823	0.6016063690185547	0.693930447101593	0.5993061065673828	0.5372174382209778	0.47914695739746094	0.42081624269485474	0.5846240520477295	0.4567946791648865	0.5303452014923096	0.5131003260612488	0.4944387674331665	0.5602089762687683	0.4268992841243744	0.5751690864562988	0.49626433849334717	
Oui/noyaux/plomb	0.5359863638877869	0.5739141702651978	0.7241421937942505	0.4823836386203766	1.0	0.6467024087905884	0.6673455834388733	0.5795063972473145	0.5030853748321533	0.5828886032104492	0.5806174874305725	0.604536771774292	0.33474424481391907	0.6087517142295837	0.4836161136627197	0.5851881504058838	0.3529997169971466	0.5400629639625549	0.6218670606613159	0.5208110213279724	0.6402028203010559	0.6718786358833313	
Oui/cartouches/plomb	0.5759826302528381	0.7508078217506409	0.7687433958053589	0.5887075066566467	0.6467024087905884	1.0	0.7505487203598022	0.6704309582710266	0.5970760583877563	0.7013522982597351	0.6917374730110168	0.6802189350128174	0.47282537817955017	0.7709863185882568	0.5770888328552246	0.7266335487365723	0.41537681221961975	0.6034256815910339	0.6012681126594543	0.5523857474327087	0.7144790291786194	0.761089026927948	
Oui/billes/plomb	0.4988800585269928	0.7460291385650635	0.7394304275512695	0.6113089323043823	0.6673455834388733	0.7505487203598022	1.0	0.5828112363815308	0.7775304913520813	0.609764575958252	0.5928012728691101	0.6026344895362854	0.4590801000595093	0.6455188393592834	0.535580575466156	0.6480605602264404	0.49778488278388977	0.5790249109268188	0.5362364053726196	0.5556614995002747	0.6481311917304993	0.6857283115386963	
Oui/boulet/plomb	0.5442779064178467	0.6104493141174316	0.610675036907196	0.6016063690185547	0.5795063972473145	0.6704309582710266	0.5828112363815308	1.0	0.5950499176979065	0.6189597249031067	0.5997651815414429	0.6450908780097961	0.394551157951355	0.6714227199554443	0.5519407987594604	0.6472265720367432	0.42038649320602417	0.49930351972579956	0.5710884928703308	0.5892957448959351	0.6934797763824463	0.6201698780059814	
Oui/bille/plomb	0.417208194732666	0.5875571966171265	0.5824083685874939	0.693930447101593	0.5030853748321533	0.5970760583877563	0.7775304913520813	0.5950499176979065	1.0	0.5889416337013245	0.5460404753684998	0.49475058913230896	0.49724581837654114	0.6187938451766968	0.5357545018196106	0.5475833415985107	0.548608660697937	0.4752056300640106	0.5643280148506165	0.5070156455039978	0.5885384678840637	0.5648187398910522	
Oui/plaque/plomb	0.5425754189491272	0.6061326861381531	0.7404935359954834	0.5993061065673828	0.5828886032104492	0.7013522982597351	0.609764575958252	0.6189597249031067	0.5889416337013245	1.0	0.7048856019973755	0.6187390685081482	0.4667273461818695	0.751488983631134	0.5614557862281799	0.6993443965911865	0.5091984868049622	0.5734858512878418	0.653535008430481	0.5452040433883667	0.7135565280914307	0.6808708310127258	
