	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/soleil/plomb	Oui/urne/plomb	Oui/tablette/plomb	Oui/tuyau/plomb	Oui/cercueil/plomb	Oui/cage/plomb	Oui/gants/plomb	Oui/masse/plomb	Oui/lingot/plomb	Oui/morceau/plomb	Oui/armatures/plomb	Non/silence/plomb	Oui/cheval/grand	Oui/appartement/grand	Oui/lit/grand	Oui/seau/grand	Oui/tableau/grand	Oui/table/grande	Oui/parking/grand	Oui/librairie/grande	Oui/bureau/grand	Oui/miroir/grand	Non/vent/grand	Oui/manteaux/grands	Oui/surface/grande	Oui/mur/grand	Oui/maison/grande	Oui/femme/grande	Oui/parc/grand	Oui/poignard/grand	Oui/chêne/grand	Oui/tentes/grandes	Oui/sacs/grands	Non/ami/grand	Oui/fossé/profond	Oui/galeries/profondes	Oui/gorges/profondes	Oui/puits/profond	Oui/fosse/profonde	Oui/grotte/profonde	Oui/faille/profonde	Oui/caverne/profonde	Oui/forêt/profonde	Oui/cavité/profonde	Non/dégoût/profond	Oui/lac/profond	Oui/tranchées/profondes	Oui/canyons/profonds	Oui/crique/profonde	Oui/sous-sol/profond	Oui/trous/profonds	Oui/remous/profond	Oui/sillon/profond	Oui/douve/profonde	Oui/puisard/profond	Non/sommeil/profond	Oui/lunettes/grosses	Oui/boutons/gros	Oui/chevalière/grosse	Oui/piquets/gros	Oui/objet/gros	Oui/vaisseau/gros	Oui/poche/grosse	Oui/bacs/gros	Oui/flocons/gros	Oui/cloches/grosses	Non/chagrin/gros	Oui/troupeau/éléphants	Oui/groupe/éléphants	Oui/bouse/éléphant	Oui/pattes/éléphants	Oui/défenses/éléphant	Oui/trompe/éléphant	Oui/crânes/éléphant	Oui/peau/éléphant	Oui/dents/éléphant	Oui/tête/éléphant	Non/mémoire/éléphant	Oui/équipement/lourd	Oui/plateau/lourd	Oui/cartable/lourd	Oui/manteau/lourd	Oui/ouvrage/lourd	Oui/bouclier/lourd	Oui/portail/lourd	Oui/revolver/lourd	Oui/crâne/lourd	Oui/sac/lourd	Non/bilan/lourd	Oui/doigts/longs	Oui/mèches/longues	Oui/chaussette/longue	Oui/bras/long	Oui/tables/longues	Oui/guibolles/longues	Oui/moustaches/longues	Oui/siège/long	Oui/mur/long	Oui/queue/longue	Non/lettre/longue
Oui/balles/plomb	1.0	0.2999812066555023	0.49100545048713684	0.44335031509399414	0.5262986421585083	0.49587851762771606	0.27767881751060486	0.1989271342754364	0.2206811159849167	0.08914365619421005	0.29194945096969604	0.29138219356536865	0.37116721272468567	0.11669561266899109	0.24917730689048767	0.25304219126701355	0.5305149555206299	0.2690447270870209	0.4306789040565491	0.32886067032814026	0.4621102213859558	0.16956943273544312	-0.1860058605670929	0.02886592224240303	0.03902488946914673	-0.03629066050052643	-0.04600436985492706	0.060737933963537216	0.01007870864123106	0.020926013588905334	-0.04329237341880798	-0.20323601365089417	-0.13169318437576294	0.10938666760921478	0.027712177485227585	-0.13506141304969788	0.011288458481431007	0.12327892333269119	-0.11013013869524002	-0.16255468130111694	-0.14028440415859222	-0.028927713632583618	0.09029770642518997	0.025373389944434166	-0.06748940795660019	0.2283243089914322	0.08544288575649261	-0.07516396790742874	0.1061345562338829	0.0020931053441017866	0.22075282037258148	0.21456459164619446	-0.0034792337100952864	0.09719374030828476	-0.12918530404567719	-0.07372931391000748	-0.139398992061615	-0.09765272587537766	0.0387728288769722	-0.08158554881811142	-0.060778941959142685	-0.03140417858958244	-0.10092692822217941	0.2777215242385864	0.25143733620643616	0.0759739950299263	-0.007925483398139477	-0.004014494828879833	-0.15002360939979553	0.043878573924303055	-0.2584049105644226	-0.17320644855499268	-0.14692842960357666	-0.25533178448677063	-0.09542926400899887	-0.05483216047286987	-0.1980733722448349	-0.1575802117586136	-0.2544471025466919	0.07289907336235046	0.07719365507364273	0.1632283627986908	0.06574452668428421	0.23995056748390198	0.03535249084234238	0.2827790677547455	0.07680389285087585	0.11963604390621185	-0.1146208867430687	-0.05064842477440834	0.10288485884666443	0.07151827961206436	0.01029868982732296	-0.08679899573326111	-0.08594761788845062	-0.04989994689822197	-0.06791093945503235	0.0037297282833606005	-0.1676749438047409	-0.013326234184205532	0.1531365066766739	0.20248353481292725	-0.19290480017662048	-0.10841948539018631	-0.05840042233467102	0.1255732625722885	-0.07392530143260956	-0.07402043789625168	-0.17052660882472992	-0.10629837960004807	
Oui/lamelles/plomb	0.2999812066555023	1.0	0.06405269354581833	0.41624853014945984	0.23842304944992065	0.39081162214279175	0.1226433590054512	0.17991966009140015	0.11125596612691879	0.2592613697052002	0.009707675315439701	0.09858369082212448	0.2337474822998047	0.0980389341711998	0.12015420198440552	0.15961946547031403	0.28632909059524536	0.030810294672846794	0.1464436799287796	0.16212038695812225	0.24228180944919586	-0.026349572464823723	-0.09576717019081116	-0.006417334545403719	-0.0726049542427063	-0.01991913840174675	0.022394152358174324	-0.0722639262676239	-0.03569934889674187	-0.0015178213361650705	0.004109011963009834	0.004272393882274628	0.06754720211029053	-0.013996139168739319	0.03146062791347504	0.09130280464887619	0.01062784157693386	0.020012864843010902	-0.11425962299108505	0.14763091504573822	0.05819438025355339	0.015778763219714165	0.046923138201236725	0.15091943740844727	0.07650580257177353	-0.0807400494813919	0.20410726964473724	0.00724251801148057	-0.0028756028041243553	0.025911806151270866	0.11643142253160477	-0.0023101717233657837	0.055014029145240784	0.10370878130197525	0.048136938363313675	-0.036834508180618286	-0.0872701033949852	-0.12173715233802795	0.12448116391897202	0.19383351504802704	-0.032152026891708374	0.19437256455421448	0.2028505653142929	-0.04230137914419174	0.09784091264009476	0.20744478702545166	-0.013018853031098843	0.19873034954071045	-0.06621857732534409	0.028958573937416077	0.038241248577833176	-0.087213434278965	0.06970226764678955	-0.1092362180352211	0.1498289853334427	-0.12517569959163666	0.054002486169338226	-0.1543429046869278	-0.2437930852174759	0.06735556572675705	0.13898780941963196	0.2671769857406616	0.03478352352976799	0.19312554597854614	0.04558727890253067	0.2317216694355011	-0.07922686636447906	-0.1023176833987236	-0.23231084644794464	-0.14452505111694336	0.11295254528522491	-0.18574203550815582	0.04727640748023987	-0.24310047924518585	-0.26294171810150146	-0.22313925623893738	-0.09661833196878433	-0.2217555046081543	-0.26298049092292786	0.11515343934297562	0.05759531259536743	0.20033733546733856	-0.14376334846019745	-0.18992459774017334	0.028053145855665207	0.12655295431613922	-0.07212913781404495	0.0662776455283165	0.06446090340614319	0.03924323618412018	
Oui/balle/plomb	0.49100545048713684	0.06405269354581833	1.0	0.1469835489988327	0.4117618203163147	0.27742618322372437	0.3827940821647644	0.5710167288780212	0.3793751299381256	0.3259192705154419	0.4840260446071625	0.3985450267791748	0.4278155565261841	0.254014253616333	0.29099375009536743	0.34396544098854065	0.23636245727539062	0.5064248442649841	0.3356858789920807	0.4179839789867401	0.14052323997020721	0.357146680355072	-0.0019984066020697355	0.03256172314286232	0.040670715272426605	-0.027226481586694717	0.06113743409514427	-0.10794524848461151	0.1412111520767212	-0.05572358891367912	-0.06660711765289307	-0.21732038259506226	0.03233904764056206	0.06802140921354294	0.10924161970615387	0.0912250280380249	0.09995878487825394	0.19286832213401794	-0.10122688859701157	-0.08202846348285675	-0.16044466197490692	0.16764865815639496	0.13443021476268768	0.07907791435718536	-0.02033672109246254	0.13120222091674805	0.04641322046518326	0.06316585093736649	0.11738471686840057	0.1089271754026413	0.09964999556541443	0.12472814321517944	-0.0725569799542427	0.1444324105978012	-0.04237106069922447	0.07948299497365952	0.010328566655516624	0.04846889525651932	0.005849748849868774	-0.07576054334640503	-0.10257431864738464	-0.013064917176961899	0.03417089581489563	0.14553610980510712	0.007638215087354183	0.002532360842451453	-0.10180908441543579	-0.18887846171855927	-0.2655022144317627	-0.02683051861822605	-0.34532812237739563	-0.22658732533454895	-0.11605090647935867	-0.074002705514431	-0.2381909042596817	-0.09358739852905273	-0.19123753905296326	0.18180879950523376	0.15431401133537292	-0.023466678336262703	0.1391545981168747	-0.07005563378334045	0.11415635794401169	-0.0798221006989479	0.1918182671070099	-0.004676923155784607	0.16917094588279724	0.3123787045478821	-0.07511356472969055	0.08113537728786469	0.0558960922062397	0.1268972009420395	0.09415639191865921	-0.020475957542657852	0.016014715656638145	-0.17447935044765472	-0.013964413665235043	0.16068008542060852	-0.01496060099452734	0.04643350839614868	-0.012781573459506035	-0.06687992811203003	-0.08060251921415329	0.034860894083976746	-0.045935165137052536	-0.04491232708096504	0.052921462804079056	-0.03924822434782982	-0.02400602586567402	0.0013977261260151863	
Oui/noyaux/plomb	0.44335031509399414	0.41624853014945984	0.1469835489988327	1.0	0.4304053485393524	0.40717464685440063	0.21316075325012207	0.22318105399608612	0.057855602353811264	0.24069488048553467	0.09710001200437546	0.25391310453414917	0.21556487679481506	0.08558275550603867	0.1825966089963913	0.23485684394836426	0.49148157238960266	0.1980227530002594	0.2827502191066742	0.17580750584602356	0.4391486346721649	0.12431059032678604	-0.12871694564819336	-0.032403431832790375	-0.014406068250536919	-0.009060000069439411	-0.06663524359464645	0.03662249445915222	-0.014433855190873146	0.07117319107055664	0.014050828292965889	-0.01140507310628891	-0.035898011177778244	0.012148423120379448	-0.07336108386516571	-0.11390974372625351	-0.046188123524188995	-0.011554918251931667	-0.0295095294713974	0.0625971332192421	0.04175340756773949	-0.07889445126056671	0.1002948060631752	-0.007318031974136829	0.0953899696469307	0.04903804883360863	0.12243787199258804	-0.0018867668695747852	-0.06291480362415314	-0.08535519987344742	0.14247873425483704	-0.014376472681760788	-0.0043121203780174255	0.03863342106342316	-0.0451417975127697	-0.11573147028684616	-0.05861950293183327	-0.1736445128917694	0.04677296802401543	0.1034000962972641	-0.05250633880496025	0.1525472104549408	0.06213134154677391	0.011469039134681225	0.2662304937839508	0.17428456246852875	-0.031083643436431885	0.131304532289505	0.014464120380580425	0.042227983474731445	-0.035907402634620667	-0.05398491770029068	-0.022447172552347183	-0.09474658966064453	0.11838602274656296	-0.09923053532838821	-0.012122489511966705	-0.3038676679134369	-0.3545638620853424	0.0003587588435038924	-0.003323506796732545	0.20641066133975983	-0.04299833998084068	0.2990601062774658	-0.0649309977889061	0.2123604267835617	-0.16008861362934113	-0.12353412061929703	-0.14385353028774261	-0.14224457740783691	0.1132948026061058	-0.1185222715139389	-0.0018013064982369542	-0.12180923670530319	-0.17517711222171783	-0.0810452476143837	-0.00209926743991673	-0.2003110647201538	-0.14407801628112793	0.06183841452002525	0.17024897038936615	0.24942928552627563	-0.10247845947742462	-0.11103078722953796	0.09811774641275406	0.2177913784980774	-0.090343177318573	-0.028752539306879044	-0.106255441904068	-0.03601918742060661	
Oui/cartouches/plomb	0.5262986421585083	0.23842304944992065	0.4117618203163147	0.4304053485393524	1.0	0.49652889370918274	0.24289260804653168	0.3131556212902069	0.10916800796985626	0.14794564247131348	0.15834751725196838	0.27143627405166626	0.27457356452941895	0.15738274157047272	0.20176729559898376	0.23334859311580658	0.4155590832233429	0.10740784555673599	0.2494927942752838	0.21872512996196747	0.2998720407485962	0.16992546617984772	-0.005122342612594366	0.011685099452733994	0.009608044289052486	-0.010775087401270866	-0.04737785458564758	0.04351665452122688	0.008260752074420452	0.09851899743080139	0.010489200241863728	-0.054995812475681305	0.013830216601490974	0.05847906693816185	-0.009323088452219963	-0.08872289210557938	0.021720584481954575	0.03940688073635101	-0.015005245804786682	0.13937091827392578	0.055825453251600266	0.0031690995674580336	0.1675039529800415	-0.004694192670285702	0.030934495851397514	0.03499385342001915	0.04406097158789635	-0.01800549402832985	-0.03475962206721306	-0.07897650450468063	0.03839563950896263	0.017828956246376038	-0.04362542927265167	0.011331160552799702	-0.0394783541560173	-0.06829777359962463	0.029256895184516907	-0.09908750653266907	0.007686142344027758	0.007058919407427311	0.014758740551769733	0.0184202641248703	0.033971115946769714	0.019326945766806602	0.1570787876844406	0.028334856033325195	0.07849715650081635	0.15317915380001068	0.045068055391311646	0.11464515328407288	-0.03901800885796547	0.07172900438308716	0.047142572700977325	0.10145928710699081	0.10813835263252258	-0.028139499947428703	0.017713574692606926	-0.25981584191322327	-0.27643513679504395	-0.01649801805615425	0.004955335985869169	0.15860240161418915	-0.027528658509254456	0.18944327533245087	-0.10103272646665573	0.20239564776420593	-0.07542099058628082	-0.028796570375561714	0.028751464560627937	-0.02836102619767189	0.08376429229974747	-0.041097138077020645	0.047152359038591385	-0.015881113708019257	-0.05866478756070137	0.0938384011387825	0.04372445121407509	-0.040024276822805405	-0.03437525033950806	0.04638862982392311	0.1783069372177124	0.16410315036773682	-0.03859376907348633	-0.01862921193242073	0.015219601802527905	0.14121629297733307	0.0019385232590138912	0.003464641747996211	-0.07583650201559067	-0.02251855656504631	
Oui/billes/plomb	0.49587851762771606	0.39081162214279175	0.27742618322372437	0.40717464685440063	0.49652889370918274	1.0	0.1802200973033905	0.4562508165836334	0.1711246520280838	0.1963711678981781	0.09812519699335098	0.24434830248355865	0.2689546048641205	0.1502772569656372	0.17487123608589172	0.1568387746810913	0.4565618932247162	0.1329672485589981	0.3269745707511902	0.2818377614021301	0.3060811161994934	0.09181752055883408	-0.09601601213216782	-0.06279012560844421	-0.040339794009923935	-0.0027905614115297794	0.008470584638416767	0.03889322280883789	-0.020944606512784958	-0.056731343269348145	-0.02722710743546486	-0.09310129284858704	-0.05737888813018799	-0.09742622077465057	-0.03583606705069542	0.020033780485391617	-0.006223113741725683	-0.016302945092320442	-0.14947400987148285	-0.05929391831159592	-0.029843296855688095	-0.0043283188715577126	0.04534796252846718	0.03603491932153702	0.06408772617578506	-0.039275672286748886	0.143744096159935	0.018061993643641472	0.11072815954685211	-0.010263266041874886	0.1213657408952713	0.039740189909935	0.059397801756858826	0.07365452498197556	0.04411174729466438	-0.016721991822123528	-0.11404065787792206	-0.1123419925570488	-0.004702182020992041	0.14053840935230255	0.04023661091923714	0.13174477219581604	0.11948078125715256	0.09172254055738449	0.11156277358531952	0.14219853281974792	-0.0667286366224289	0.045318204909563065	-0.09871929883956909	0.04828118905425072	-0.10406048595905304	-0.13239450752735138	-0.027847524732351303	-0.12491335719823837	0.0503450483083725	-0.13212409615516663	-0.09772416949272156	-0.11037889868021011	-0.1612238883972168	0.14335563778877258	0.06473962962627411	0.2629542052745819	0.0007703804294578731	0.2594855725765228	-0.0011368505656719208	0.2649317681789398	0.0037013073451817036	0.05470287799835205	-0.1341572105884552	-0.020055504515767097	0.0964210033416748	-0.1205345019698143	0.02202332578599453	-0.13366913795471191	-0.15347835421562195	-0.07666032016277313	0.03810730576515198	-0.0468599759042263	-0.09138892590999603	0.14635507762432098	0.1753210872411728	0.1878635585308075	-0.09536806493997574	-0.061211708933115005	0.06710702180862427	0.1191239058971405	0.03698944300413132	0.0209204014390707	0.018036814406514168	0.04119716212153435	
Oui/boulet/plomb	0.27767881751060486	0.1226433590054512	0.3827940821647644	0.21316075325012207	0.24289260804653168	0.1802200973033905	1.0	0.36889809370040894	0.30329975485801697	0.1826740801334381	0.3698285222053528	0.2570706009864807	0.39311540126800537	0.3685322105884552	0.5145007371902466	0.49054428935050964	0.2248210608959198	0.20725367963314056	0.3283129632472992	0.3553989827632904	0.12517231702804565	0.4777602553367615	0.07541757076978683	0.041509151458740234	-0.01735704392194748	0.03029719367623329	0.09339708834886551	0.007644877769052982	0.12335855513811111	0.03504906967282295	0.026045408099889755	-0.0034373828675597906	-0.003313972381874919	0.1509571671485901	0.03645278140902519	0.05184350907802582	0.09920501708984375	0.01570947654545307	-0.03655480965971947	-0.006969650741666555	0.001357162487693131	0.09754838794469833	0.09897474944591522	-0.02893618308007717	0.1558336615562439	0.04406118020415306	0.02239629626274109	0.15813027322292328	0.08758657425642014	0.02700168266892433	0.06937505304813385	0.05309077724814415	0.013995897956192493	0.003220693441107869	0.011853559873998165	0.019512712955474854	0.03831377625465393	0.004394021816551685	-0.04278755933046341	-0.026578189805150032	0.05578239634633064	0.06758275628089905	0.10989020764827728	0.03335840255022049	0.05590471625328064	0.06894956529140472	-0.06776116043329239	0.009913691319525242	-0.029884295538067818	0.03371501341462135	-0.05877126380801201	-0.012448923662304878	-0.012582069262862206	0.02470344863831997	-0.03614846616983414	0.01098377164453268	-0.025463730096817017	0.09551610052585602	0.006372365169227123	-0.0972418561577797	-0.0004377607547212392	-0.12158486247062683	-0.021112339571118355	-0.13425707817077637	-0.022260190919041634	-0.07508748024702072	-0.03849310427904129	0.025751285254955292	0.0191188957542181	-0.031302038580179214	-0.0466378778219223	0.07728849351406097	0.05748199671506882	0.03147036209702492	0.04887053370475769	-0.11846297979354858	0.028758559376001358	0.06445544958114624	-0.018907679244875908	0.07967349141836166	-0.00399781996384263	0.0421593002974987	-0.03257044777274132	-0.03261112421751022	-0.024661818519234657	0.022316323593258858	0.032054223120212555	-0.06472744047641754	0.016478968784213066	0.02861444652080536	
Oui/bille/plomb	0.1989271342754364	0.17991966009140015	0.5710167288780212	0.22318105399608612	0.3131556212902069	0.4562508165836334	0.36889809370040894	1.0	0.3393459916114807	0.5014010071754456	0.27502942085266113	0.40431398153305054	0.5401768088340759	0.3121660351753235	0.2997525930404663	0.45331114530563354	0.16887566447257996	0.42725586891174316	0.2484544813632965	0.39567407965660095	0.03235344588756561	0.2990822494029999	0.06693793833255768	-0.04948187619447708	-0.09220939129590988	0.0018969554221257567	0.14633575081825256	-0.1074545755982399	0.0961829200387001	-0.08616950362920761	-0.02421514131128788	-0.10219041258096695	0.0668172538280487	-0.03678620234131813	-0.003264776896685362	0.1814766377210617	0.05747197940945625	0.007671511732041836	-0.16513125598430634	0.029354820027947426	-0.04795825853943825	0.1880093365907669	0.08690464496612549	0.11075828969478607	0.08746999502182007	-0.02611931599676609	0.11906392127275467	0.12163387984037399	0.14647121727466583	0.12676334381103516	0.038059160113334656	-0.03274698927998543	-0.02681424282491207	0.11687149107456207	0.14377078413963318	0.11408412456512451	0.024982767179608345	0.0005447693401947618	-0.085914246737957	0.11426864564418793	-0.1048918291926384	0.17320546507835388	0.2618906497955322	-0.034959688782691956	-0.09862878173589706	0.10779895633459091	-0.06888000667095184	-0.056110408157110214	-0.21962669491767883	-0.06638609617948532	-0.193435400724411	-0.1791619211435318	0.006884653586894274	0.04449111968278885	-0.02203555405139923	-0.11121378093957901	-0.08234831690788269	0.15449902415275574	0.08945996314287186	-0.07279470562934875	0.08145437389612198	-0.03949025273323059	-0.011006510816514492	-0.19789284467697144	0.0865711122751236	-0.032338645309209824	0.0578928180038929	0.17423483729362488	-0.07523807138204575	0.06514186412096024	-0.01177100371569395	-0.05875645577907562	0.14644883573055267	-0.09034082293510437	-0.09766335040330887	-0.22901417315006256	-0.016907604411244392	0.04778031259775162	-0.11647018790245056	0.17590214312076569	0.047836657613515854	-0.05572459474205971	-0.005092511884868145	0.10203011333942413	0.008456232957541943	-0.022355781868100166	0.09165415167808533	0.07201918959617615	0.16105343401432037	0.12851183116436005	
Oui/plaque/plomb	0.2206811159849167	0.11125596612691879	0.3793751299381256	0.057855602353811264	0.10916800796985626	0.1711246520280838	0.30329975485801697	0.3393459916114807	1.0	0.20628972351551056	0.3920372426509857	0.3123686909675598	0.4876553416252136	0.3677513003349304	0.3435327112674713	0.43583229184150696	0.1892486810684204	0.4080701470375061	0.30664148926734924	0.47031399607658386	0.16111023724079132	0.2278483510017395	-0.029399599879980087	-0.07021615654230118	0.02102658897638321	-0.16514421999454498	0.1021190732717514	-0.017664512619376183	-0.040782902389764786	-0.1027909442782402	-0.12824934720993042	-0.1299140602350235	0.012903113849461079	0.034652046859264374	0.06639125198125839	-0.05682309716939926	-0.05795859917998314	0.12345431745052338	-0.03984290733933449	-0.1915513128042221	-0.17869415879249573	-0.06088830158114433	-0.08510220050811768	-0.08520955592393875	-0.01440362073481083	0.04105736315250397	-0.009237252175807953	0.11231734603643417	0.10935837775468826	0.11449868232011795	-0.002146840328350663	0.09371527284383774	0.08043042570352554	0.11196750402450562	-0.040140677243471146	0.10578742623329163	-0.07605995237827301	0.21364553272724152	0.21743954718112946	-0.07053690403699875	0.08795605599880219	-0.08281916379928589	0.009809669107198715	0.09941471368074417	-0.04276615008711815	-0.034941378980875015	0.08030202239751816	-0.03942827507853508	-0.1499025523662567	0.14362601935863495	-0.05016616731882095	-0.0763101652264595	-0.008613809011876583	-0.07757224142551422	-0.1341119408607483	0.07841765135526657	-0.04635649546980858	0.1642063707113266	0.23385155200958252	0.2703849673271179	0.1970672607421875	0.05671731382608414	0.22031866014003754	0.03124883584678173	0.27760612964630127	0.1451328694820404	0.316179484128952	0.26602572202682495	0.028407005593180656	0.13136252760887146	0.06278527528047562	0.08477503806352615	-0.04074818268418312	0.09210891276597977	0.1520775705575943	-0.06852277368307114	0.07620782405138016	0.14346367120742798	0.10869050770998001	-0.024375969544053078	-0.08763933926820755	-0.03240552172064781	-0.03374340012669563	0.038386568427085876	-0.0573929026722908	-0.1252550333738327	0.056893836706876755	-0.038365498185157776	0.02785187028348446	-0.10428425669670105	
Oui/coupole/plomb	0.08914365619421005	0.2592613697052002	0.3259192705154419	0.24069488048553467	0.14794564247131348	0.1963711678981781	0.1826740801334381	0.5014010071754456	0.20628972351551056	1.0	0.17554925382137299	0.34822696447372437	0.32134121656417847	0.1105300635099411	0.1815885305404663	0.30875682830810547	0.08109971135854721	0.21499136090278625	0.04935794696211815	0.12451983243227005	0.0659918412566185	0.13216546177864075	0.07695162296295166	-0.03790133818984032	-0.08135092258453369	0.023702943697571754	0.016275864094495773	-0.03378165140748024	0.026984453201293945	-0.11288095265626907	-0.003883996279910207	-0.009049049578607082	0.13392172753810883	0.01253670733422041	0.04956083744764328	0.18623864650726318	0.02788977511227131	-0.02032647468149662	-0.03979644551873207	0.11926740407943726	0.017094267532229424	0.17913557589054108	0.12732723355293274	0.14751628041267395	0.09066947549581528	0.024173395708203316	0.18703803420066833	0.10859806090593338	0.030649453401565552	0.08372987806797028	0.06164206564426422	-0.027702510356903076	-0.02819286473095417	0.1472550332546234	0.09071408212184906	0.051371075212955475	0.07067496329545975	-0.008706972934305668	0.031408146023750305	0.234309583902359	-0.16599109768867493	0.18001145124435425	0.2110712230205536	-0.043332647532224655	-0.014097323641180992	0.15131604671478271	0.027667313814163208	0.07684904336929321	-0.102408267557621	-0.021352143958210945	-0.08626773208379745	-0.01651313155889511	0.0801653265953064	0.09154945611953735	0.15964388847351074	-0.06198112666606903	0.044459447264671326	-0.018236100673675537	-0.06557971984148026	-0.08087357133626938	0.06980197876691818	0.07204598188400269	-0.02382608689367771	-0.08176030218601227	0.08518978208303452	-0.05901871249079704	-0.012725155800580978	0.04977244883775711	-0.13345101475715637	-0.024472445249557495	0.050901785492897034	-0.06937815994024277	0.08784233033657074	-0.09120023995637894	-0.08278313279151917	-0.1593756377696991	0.028081050142645836	-0.034138213843107224	-0.10233759880065918	0.10225360840559006	0.15206825733184814	0.05721956118941307	0.030132660642266273	0.048085618764162064	0.04816562309861183	0.1314462572336197	0.10952218621969223	0.13468921184539795	0.1984252631664276	0.09437277913093567	
