	Oui/vie/saine	Oui/personne/saine	Oui/peau/saine	Oui/nourriture/saine	Oui/chair/saine	Oui/écorces/saines	Oui/dents/saines	Oui/bouche/saine	Oui/jambe/saine	Oui/feuilles/saines	Non/colère/saine	Oui/bretelles/fines	Oui/peau/fine	Oui/couche/fine	Oui/robe/fine	Oui/lames/fines	Oui/feuilles/fines	Oui/moustaches/fines	Oui/laine/fine	Oui/tissu/fin	Oui/matelas/fin	Non/observateur/fin	Oui/marquise/belle	Oui/princesse/belle	Oui/chevaux/beaux	Oui/violon/beau	Oui/baron/beau	Oui/fleurs/belles	Oui/maison/belle	Oui/visage/beau	Oui/pantalon/beau	Oui/bateau/beau	Non/couple/beau	Oui/salle/grande	Oui/arbres/grands	Oui/escalier/grand	Oui/supermarché/grand	Oui/chapiteau/grand	Oui/écurie/grande	Oui/chapeau/grand	Oui/couteau/grand	Oui/îles/grandes	Oui/panneaux/grands	Non/journalistes/grands	Oui/lèvres/brillantes	Oui/veine/brillante	Oui/épées/brillantes	Oui/boule/brillante	Oui/constellations/brillantes	Oui/tissu/brillant	Oui/cuirasse/brillante	Oui/sphère/brillante	Oui/halo/brillant	Oui/pièces/brillantes	Non/idée/brillante	Oui/éclats/brillants	Oui/dents/brillantes	Oui/lunettes/brillantes	Oui/chaussures/brillantes	Oui/cristaux/brillants	Oui/lame/brillante	Oui/lune/brillante	Oui/métal/brillant	Oui/anneau/brillant	Oui/aiguilles/brillantes	Non/élève/brillant	Oui/moustache/fine	Oui/membrane/fine	Oui/sandales/fines	Oui/pattes/fines	Oui/lunettes/fines	Oui/bandes/fines	Oui/mouchoir/fin	Oui/collier/fin	Oui/cigarettes/fines	Oui/stylet/fin	Non/ouïe/fine	Oui/cadres/grands	Oui/lévrier/grand	Oui/nef/grande	Oui/portefeuille/grand	Oui/figurines/grandes	Oui/salon/grand	Oui/fenêtres/grandes	Oui/carnets/grands	Oui/mains/grandes	Oui/arc/grand	Non/chanteur/grand	Oui/salon/beau	Oui/garçon/beau	Oui/robe/belle	Oui/bracelet/beau	Oui/sièges/beaux	Oui/feuillages/beaux	Oui/cathédrale/belle	Oui/seins/beaux	Oui/table/belle	Oui/chapeau/beau	Non/temps/beau	Oui/père/bon	Oui/élèves/bons	Oui/mère/bonne	Oui/nageur/bon	Oui/tireur/bon	Oui/étudiants/bons	Oui/professeure/bonne	Oui/commandant/bon	Oui/jardinier/bon	Oui/comédienne/bonne	Non/douche/bonne
Oui/vie/saine	1.0	0.7617315649986267	0.7403078079223633	0.5733586549758911	0.763556957244873	0.3131118714809418	0.3889956474304199	0.6108464002609253	0.7126202583312988	0.3124297857284546	0.5097557306289673	0.0181791502982378	0.4676690697669983	0.2754790186882019	0.32348179817199707	0.07921499013900757	0.010287473909556866	0.012463564984500408	0.27553534507751465	0.24645483493804932	0.19715577363967896	0.1926271915435791	0.3760274350643158	0.3489440381526947	0.06963887065649033	0.2243516892194748	0.21482490003108978	0.11454128473997116	0.34279632568359375	0.2714705169200897	0.3083329498767853	0.28316324949264526	0.17788952589035034	0.387143075466156	-0.07507392019033432	0.22856101393699646	0.2224607616662979	0.19082312285900116	0.304652601480484	0.2076524943113327	0.15892133116722107	0.07365889847278595	0.03778642416000366	-0.01729794405400753	0.13390704989433289	0.38245564699172974	0.13248911499977112	0.4625600576400757	0.15841573476791382	0.3146064281463623	0.47709110379219055	0.4226740002632141	0.2584294080734253	0.09484919160604477	0.49744608998298645	0.15137504041194916	0.1342172622680664	0.09708058089017868	0.11989928781986237	0.12314082682132721	0.5331349968910217	0.3678622245788574	0.29083454608917236	0.343258798122406	0.14522986114025116	0.24653947353363037	0.306002140045166	0.3566952645778656	0.017286822199821472	-0.04656323418021202	-0.0014501756522804499	-0.10374791920185089	0.2258821427822113	0.19044330716133118	0.0637505054473877	0.17130547761917114	0.39790135622024536	-0.009232940152287483	0.11714516580104828	0.2674601376056671	0.09256929159164429	0.030455898493528366	0.1844271868467331	0.00028875505086034536	-0.014219451695680618	0.07001524418592453	0.12713226675987244	0.15259072184562683	0.25398826599121094	0.20693667232990265	0.3848661184310913	0.26282691955566406	0.09940441697835922	0.1546308398246765	0.3921888470649719	0.07268260419368744	0.37769657373428345	0.2465842068195343	0.2751149833202362	0.1341446340084076	0.004780389368534088	0.3263552188873291	0.10347147285938263	0.1712610423564911	0.016071243211627007	0.32919785380363464	0.17093582451343536	0.1669503003358841	0.24404454231262207	0.37608250975608826	
Oui/personne/saine	0.7617315649986267	1.0	0.7653790712356567	0.6641119718551636	0.7640607357025146	0.31640055775642395	0.42885661125183105	0.718751847743988	0.7585922479629517	0.24045336246490479	0.5775029063224792	0.001618134556338191	0.5077944993972778	0.31356358528137207	0.34922170639038086	0.08784846216440201	-0.00933074951171875	0.007608380634337664	0.2949090003967285	0.2874181568622589	0.2646026313304901	0.2489132136106491	0.3501732647418976	0.35624751448631287	0.04826592653989792	0.21949535608291626	0.23640947043895721	-0.013422594405710697	0.30207380652427673	0.25625109672546387	0.2773977220058441	0.27140742540359497	0.13368362188339233	0.35508963465690613	-0.07664473354816437	0.22435688972473145	0.21049357950687408	0.18136435747146606	0.26161709427833557	0.21692651510238647	0.15051643550395966	0.04613841697573662	0.013511942699551582	-0.05242268368601799	0.110012486577034	0.3558422029018402	0.0610656663775444	0.41631197929382324	0.1534605622291565	0.3149197995662689	0.43112555146217346	0.43638092279434204	0.25230303406715393	0.021876003593206406	0.4544104039669037	0.10688735544681549	0.05054109916090965	0.03755484148859978	0.05378582328557968	0.12509474158287048	0.5533350110054016	0.3917520046234131	0.29220888018608093	0.37700361013412476	0.09759914875030518	0.30119752883911133	0.3532925546169281	0.3974132835865021	0.02789691463112831	-0.06695982068777084	0.02711963839828968	-0.10533072799444199	0.2609160840511322	0.22779476642608643	0.05804808437824249	0.23525071144104004	0.4293622374534607	-0.031637243926525116	0.1263415366411209	0.2632681429386139	0.09556605666875839	0.0032186773605644703	0.22148482501506805	-0.06761394441127777	-0.00928382109850645	0.02238413877785206	0.14377667009830475	0.15838460624217987	0.21436913311481476	0.20991277694702148	0.37031733989715576	0.2433485984802246	0.010500434786081314	0.09911394119262695	0.3404698371887207	0.038792818784713745	0.3543875813484192	0.25620347261428833	0.26164957880973816	0.11917030066251755	0.001982547575607896	0.3195493519306183	0.11682070046663284	0.1921526938676834	-0.005728002171963453	0.36211568117141724	0.1917254477739334	0.19265645742416382	0.2652966380119324	0.39288297295570374	
Oui/peau/saine	0.7403078079223633	0.7653790712356567	1.0	0.6264623999595642	0.750817596912384	0.34359586238861084	0.46017709374427795	0.7293679714202881	0.7012693285942078	0.29924148321151733	0.541557788848877	0.05982377752661705	0.6002682447433472	0.3165275454521179	0.40848803520202637	0.11902986466884613	0.037451133131980896	0.04784904792904854	0.3514407277107239	0.31208422780036926	0.30088967084884644	0.24916359782218933	0.35608598589897156	0.39055192470550537	0.10255593061447144	0.2500900328159332	0.250657320022583	0.08947356045246124	0.3686254024505615	0.3226124048233032	0.3187504708766937	0.3138839602470398	0.19191695749759674	0.37697476148605347	-0.02217879891395569	0.22660590708255768	0.2116483449935913	0.19733202457427979	0.3178110718727112	0.1995585709810257	0.20181520283222198	0.078136146068573	0.0727769285440445	-0.072728231549263	0.10002908110618591	0.4362870156764984	0.11961421370506287	0.5021381378173828	0.12265802174806595	0.38870611786842346	0.47915253043174744	0.3631448447704315	0.2989044189453125	0.05564914271235466	0.4782100021839142	0.14921332895755768	0.1617828756570816	0.1429031491279602	0.09721904247999191	0.09179989248514175	0.6145290732383728	0.3932808041572571	0.3289914131164551	0.3979519307613373	0.12241631001234055	0.3013252913951874	0.3896322548389435	0.40435776114463806	0.056610848754644394	-0.0442507266998291	0.028013629838824272	-0.08082660287618637	0.29839932918548584	0.27133333683013916	0.069896399974823	0.2612575590610504	0.4392315447330475	-0.013230784796178341	0.1868828535079956	0.3278612196445465	0.13676580786705017	0.05882369354367256	0.21284273266792297	-0.03275667876005173	-0.023065809160470963	0.020104072988033295	0.1999668926000595	0.1688900589942932	0.30161431431770325	0.28501173853874207	0.39869165420532227	0.29779472947120667	0.07195155322551727	0.15989181399345398	0.38947588205337524	0.0863441526889801	0.3923986256122589	0.32383087277412415	0.2582065165042877	0.17070256173610687	0.0025329377967864275	0.32987821102142334	0.13799512386322021	0.22979140281677246	0.010304221883416176	0.3742331266403198	0.22208380699157715	0.23398710787296295	0.30559566617012024	0.44249382615089417	
Oui/nourriture/saine	0.5733586549758911	0.6641119718551636	0.6264623999595642	1.0	0.6118080019950867	0.16407479345798492	0.22807171940803528	0.6279374957084656	0.6234440207481384	0.14956367015838623	0.6015800833702087	-0.023934753611683846	0.4758053719997406	0.35088589787483215	0.4147437512874603	0.021370304748415947	-0.019725816324353218	-0.0096134003251791	0.36304306983947754	0.32045817375183105	0.2824954092502594	0.32094234228134155	0.30255478620529175	0.36517590284347534	0.025279231369495392	0.3014768064022064	0.20189319550991058	0.004830901976674795	0.2892826497554779	0.2661057114601135	0.26319342851638794	0.251851886510849	0.1810877025127411	0.3923654556274414	-0.08857475221157074	0.1487620323896408	0.23151972889900208	0.18104350566864014	0.3304746150970459	0.2064984142780304	0.19146977365016937	-0.032848455011844635	-0.010978814214468002	-0.13290470838546753	-0.014418716542422771	0.3249783217906952	0.03244815394282341	0.3841709494590759	0.06293084472417831	0.3049340546131134	0.404437392950058	0.45511358976364136	0.2103288769721985	-0.01900915615260601	0.5127490162849426	0.05203201249241829	0.012547815218567848	-0.007646846119314432	0.012474204413592815	0.0235353522002697	0.47263553738594055	0.4905359148979187	0.2628784775733948	0.3325154781341553	0.06664776057004929	0.36679813265800476	0.38563692569732666	0.4465188682079315	0.04123573750257492	-0.11316751688718796	-0.013383017852902412	-0.09391120076179504	0.2733556628227234	0.26702409982681274	0.033265065401792526	0.28836217522621155	0.48997798562049866	-0.07713901251554489	0.2130577117204666	0.3281795382499695	0.15367189049720764	-0.024745801463723183	0.22864815592765808	-0.0826740711927414	-0.05268268287181854	-0.03806035965681076	0.1759457141160965	0.18742839992046356	0.28864818811416626	0.2979408800601959	0.3902398347854614	0.2803272306919098	-0.04748629033565521	-0.006129514425992966	0.3513825833797455	0.017764272168278694	0.34827080368995667	0.29485273361206055	0.21665215492248535	0.24243095517158508	-0.012016752734780312	0.35339754819869995	0.17996123433113098	0.23436570167541504	0.10525985807180405	0.5300506949424744	0.2792554497718811	0.3428448438644409	0.37035930156707764	0.5304704904556274	
Oui/chair/saine	0.763556957244873	0.7640607357025146	0.750817596912384	0.6118080019950867	1.0	0.29511919617652893	0.36719465255737305	0.6945227980613708	0.7933304309844971	0.2415919452905655	0.5510991811752319	-0.006561571732163429	0.4910006821155548	0.29255467653274536	0.3631880581378937	0.0473116934299469	-0.02572808228433132	-0.025578876957297325	0.3604412376880646	0.3378424048423767	0.26231780648231506	0.21319442987442017	0.36683109402656555	0.34427347779273987	0.010959119535982609	0.20570388436317444	0.24440138041973114	0.027726707980036736	0.30969488620758057	0.2465837597846985	0.3092995584011078	0.27519476413726807	0.15733684599399567	0.3824176490306854	-0.12301327288150787	0.20148687064647675	0.23798952996730804	0.20744796097278595	0.3033568263053894	0.2275039404630661	0.1467754989862442	0.05589350685477257	0.01960563473403454	-0.07458815723657608	0.1302575320005417	0.4288656413555145	0.10795889049768448	0.4544529318809509	0.1583816558122635	0.39157670736312866	0.4680730402469635	0.4754748046398163	0.2896854281425476	0.061707764863967896	0.5019066333770752	0.16972021758556366	0.0964803621172905	0.07441984862089157	0.09071541577577591	0.16700056195259094	0.5764002799987793	0.4125621020793915	0.38654017448425293	0.41755855083465576	0.1544179618358612	0.32261791825294495	0.33121737837791443	0.41789138317108154	0.013716625049710274	-0.05938248336315155	-0.01902242749929428	-0.12351219356060028	0.25679948925971985	0.23107312619686127	0.09797452390193939	0.24101106822490692	0.470265656709671	-0.05863232538104057	0.1582481861114502	0.2943533658981323	0.10948699712753296	0.005230574402958155	0.22010068595409393	-0.056897588074207306	-0.04097406938672066	0.012598942033946514	0.14227943122386932	0.1445230096578598	0.22791288793087006	0.22191350162029266	0.3744913637638092	0.25671955943107605	0.012679272331297398	0.09212134033441544	0.34629306197166443	0.012688999064266682	0.3734409511089325	0.2850455641746521	0.2549019455909729	0.13350825011730194	-0.02592257596552372	0.3450683057308197	0.090116485953331	0.16805937886238098	-0.028423326089978218	0.35211366415023804	0.19903825223445892	0.18206912279129028	0.30220967531204224	0.4226371645927429	
Oui/écorces/saines	0.3131118714809418	0.31640055775642395	0.34359586238861084	0.16407479345798492	0.29511919617652893	1.0	0.7968651056289673	0.38899776339530945	0.25001612305641174	0.7895842790603638	0.13378863036632538	0.42934584617614746	0.1446194052696228	-0.09023959189653397	-0.04793480411171913	0.5682382583618164	0.3339715003967285	0.3631393611431122	-0.0361180417239666	-0.036203160881996155	-0.03310448303818703	-0.13195113837718964	0.09697963297367096	0.07579550892114639	0.3670104146003723	0.007558783981949091	0.014571767300367355	0.4582904875278473	0.0720064789056778	0.031756121665239334	0.06045747548341751	0.058845195919275284	0.02702132612466812	-0.0734555646777153	0.2692188620567322	-0.017603393644094467	-0.0589868389070034	-0.020317887887358665	-0.014147612266242504	-0.012388770468533039	0.00676563149318099	0.283496230840683	0.24332167208194733	0.3271608352661133	0.5140799880027771	0.2565848231315613	0.5154501795768738	0.15036189556121826	0.485939621925354	0.04439736530184746	0.06917603313922882	0.05932309851050377	0.10244650393724442	0.4780241549015045	-0.033770978450775146	0.37258172035217285	0.5362120270729065	0.5984969735145569	0.5353587865829468	0.453296035528183	0.08895934373140335	0.003669337835162878	0.13226939737796783	0.021384142339229584	0.4320448935031891	0.03850001469254494	0.009310509078204632	-0.02903265692293644	0.3539435565471649	0.4487994909286499	0.3296024203300476	0.39335423707962036	-0.06474564969539642	-0.046765927225351334	0.5045507550239563	0.0501326359808445	0.06786591559648514	0.24513180553913116	-0.09805446863174438	-0.05425095558166504	-0.01335454173386097	0.35578152537345886	-0.09267260879278183	0.4005073308944702	0.2092590481042862	0.3299274742603302	0.012079245410859585	0.015235604718327522	0.010427960194647312	0.05655420944094658	0.05026713386178017	0.06713320314884186	0.3855266869068146	0.3920064866542816	0.10702984035015106	0.35377877950668335	0.09062128514051437	0.07150013744831085	-0.021830344572663307	0.003815191797912121	0.31362780928611755	0.025746481493115425	0.00259867450222373	0.0346343070268631	0.18228574097156525	0.0063855694606900215	-0.03745993599295616	-0.0003281935350969434	0.12482219189405441	-0.011518172919750214	
Oui/dents/saines	0.3889956474304199	0.42885661125183105	0.46017709374427795	0.22807171940803528	0.36719465255737305	0.7968651056289673	1.0	0.40970808267593384	0.36218738555908203	0.7412914037704468	0.19899678230285645	0.33574387431144714	0.2084054797887802	-0.01146498043090105	-0.0005129509372636676	0.5353962182998657	0.29089099168777466	0.3181723654270172	-0.019590677693486214	0.05139688402414322	0.05335092917084694	-0.006818302907049656	0.13284756243228912	0.142622172832489	0.3202153742313385	0.0682397335767746	0.09515422582626343	0.3809450566768646	0.15559078752994537	0.10610589385032654	0.14131610095500946	0.12297455966472626	0.04922056570649147	-0.006460375618189573	0.23373180627822876	0.04026014357805252	-0.0037207757122814655	0.022450102493166924	-0.0036184119526296854	0.01696467399597168	0.05913633853197098	0.26446959376335144	0.20524553954601288	0.26014700531959534	0.47961702942848206	0.20285166800022125	0.44232818484306335	0.12159423530101776	0.45226216316223145	0.07052094489336014	0.10289115458726883	0.01643526926636696	0.03984899818897247	0.41740748286247253	0.018393024802207947	0.3502190411090851	0.5079048871994019	0.5296725034713745	0.4462459683418274	0.3708295524120331	0.14489808678627014	0.01836165226995945	0.1426255851984024	0.07784983515739441	0.39211493730545044	0.041318800300359726	0.05047301575541496	0.03627308830618858	0.2884610891342163	0.37041789293289185	0.2981792986392975	0.3104896545410156	0.04977058246731758	0.041746772825717926	0.49163180589675903	0.09747286885976791	0.144393190741539	0.21142861247062683	-0.047537513077259064	-0.01878557913005352	0.009670606814324856	0.304751455783844	0.0007790381787344813	0.30344295501708984	0.18360142409801483	0.28369370102882385	0.06039687991142273	0.0036799439694732428	0.047177888453006744	0.10498812049627304	0.11880967020988464	0.1256130486726761	0.36440885066986084	0.3596695065498352	0.15444537997245789	0.30411937832832336	0.13844995200634003	0.12233749032020569	0.06737741082906723	0.04791935160756111	0.28079330921173096	0.10557003319263458	0.054042521864175797	0.12576094269752502	0.22155481576919556	0.06852907687425613	0.05606035888195038	0.05058007687330246	0.12017393112182617	0.09219401329755783	
Oui/bouche/saine	0.6108464002609253	0.718751847743988	0.7293679714202881	0.6279374957084656	0.6945227980613708	0.38899776339530945	0.40970808267593384	1.0	0.6737120747566223	0.18212783336639404	0.6279036998748779	0.0733121857047081	0.4858062267303467	0.2706804573535919	0.3464338183403015	0.07952316105365753	0.029315784573554993	0.06772732734680176	0.28239715099334717	0.3014153242111206	0.2948574423789978	0.25048768520355225	0.353436678647995	0.390514075756073	0.11148568987846375	0.24278731644153595	0.25207820534706116	0.002556106774136424	0.3086336553096771	0.2912469208240509	0.2966686189174652	0.29274341464042664	0.175543412566185	0.29206910729408264	-0.05853601545095444	0.1920263022184372	0.1695738434791565	0.15903232991695404	0.22849807143211365	0.17630738019943237	0.1849285066127777	0.00029398498008958995	0.04634171351790428	-0.08043145388364792	0.06934086233377457	0.3708309531211853	0.07347431778907776	0.3659485876560211	0.10764005035161972	0.3230425715446472	0.39147236943244934	0.3739994764328003	0.22384658455848694	0.090699702501297	0.39405837655067444	0.10635757446289062	0.13614949584007263	0.12028275430202484	0.1140655130147934	0.09555499255657196	0.4995928108692169	0.41640934348106384	0.29738903045654297	0.330737829208374	0.11920570582151413	0.35028931498527527	0.3616859018802643	0.40062931180000305	0.08637719601392746	-0.011172371916472912	0.0945800244808197	-0.045215632766485214	0.26267382502555847	0.23594705760478973	0.11154867708683014	0.2976742684841156	0.5130314826965332	-0.01034096721559763	0.16469962894916534	0.22771534323692322	0.1285829246044159	0.01682058908045292	0.20110099017620087	-0.0402393713593483	0.023387419059872627	0.03958013653755188	0.14220479130744934	0.13235126435756683	0.2287684977054596	0.24432550370693207	0.36046960949897766	0.2669734060764313	0.08496394008398056	0.16064292192459106	0.31203213334083557	0.11116690933704376	0.35569265484809875	0.31734979152679443	0.23773875832557678	0.18528783321380615	0.09062498807907104	0.3221191167831421	0.18007305264472961	0.23903273046016693	0.07412256300449371	0.3621872067451477	0.22002971172332764	0.22662097215652466	0.3005169630050659	0.39541149139404297	
Oui/jambe/saine	0.7126202583312988	0.7585922479629517	0.7012693285942078	0.6234440207481384	0.7933304309844971	0.25001612305641174	0.36218738555908203	0.6737120747566223	1.0	0.2209177017211914	0.5412150025367737	-0.02889672853052616	0.4708334803581238	0.29015156626701355	0.36274951696395874	0.004452629946172237	-0.038325708359479904	0.002684134291484952	0.30433139204978943	0.24538345634937286	0.19684948027133942	0.20530818402767181	0.36104458570480347	0.3464534878730774	0.050878457725048065	0.2598147392272949	0.28642478585243225	0.04286167398095131	0.2704399526119232	0.284036785364151	0.30724596977233887	0.27661994099617004	0.18427810072898865	0.34800174832344055	-0.1166643425822258	0.16805529594421387	0.19523382186889648	0.1696426123380661	0.26677635312080383	0.17339438199996948	0.14546160399913788	-0.01218858826905489	-0.031304385513067245	-0.12479308247566223	0.0736682116985321	0.40511852502822876	0.10694055259227753	0.41198867559432983	0.1079227477312088	0.2939428389072418	0.397057443857193	0.4404216706752777	0.23479671776294708	0.030058665201067924	0.48874354362487793	0.08096247166395187	0.0793040469288826	0.03632606193423271	0.06744180619716644	0.06310293823480606	0.5344871878623962	0.42261794209480286	0.2548952102661133	0.34996625781059265	0.15289156138896942	0.320619136095047	0.34216782450675964	0.4107140302658081	0.05220821499824524	-0.09913531690835953	-0.000472688494483009	-0.09893553704023361	0.20374390482902527	0.17010587453842163	0.017490241676568985	0.18580922484397888	0.3972156047821045	-0.10289616137742996	0.14991798996925354	0.2731066048145294	0.08918695896863937	-0.01695096306502819	0.19468137621879578	-0.09730993956327438	-0.09227541089057922	-0.032355185598134995	0.12048017978668213	0.13090890645980835	0.2762361764907837	0.25384414196014404	0.36362338066101074	0.263744056224823	0.008777015842497349	0.05493142455816269	0.37081074714660645	0.00841981079429388	0.37186554074287415	0.30723100900650024	0.2735227048397064	0.16909173130989075	-0.007249999325722456	0.30658158659935	0.1509048193693161	0.1885618418455124	-0.010523444041609764	0.4007438123226166	0.224928081035614	0.20998750627040863	0.2707076966762543	0.4105745851993561	
Oui/feuilles/saines	0.3124297857284546	0.24045336246490479	0.29924148321151733	0.14956367015838623	0.2415919452905655	0.7895842790603638	0.7412914037704468	0.18212783336639404	0.2209177017211914	1.0	0.09199298918247223	0.3587917983531952	0.09467025846242905	-0.07821285724639893	-0.05570604279637337	0.5190300345420837	0.33234429359436035	0.3392907977104187	-0.0723639726638794	-0.051987964659929276	-0.03661922737956047	-0.11742851138114929	0.051423415541648865	0.054040342569351196	0.38573598861694336	0.03812919184565544	0.02638944797217846	0.5185420513153076	0.08514339476823807	0.05047596991062164	0.05812681466341019	0.056040313094854355	0.03294352442026138	-0.04166906699538231	0.35254350304603577	0.005453079007565975	-0.009637709707021713	0.04819662868976593	0.03059198707342148	-0.005638340953737497	0.05276196449995041	0.34456953406333923	0.28385400772094727	0.3965360224246979	0.5035682320594788	0.2603108286857605	0.5429356098175049	0.20432381331920624	0.46216148138046265	0.05379077047109604	0.07627252489328384	0.013908014632761478	0.14006111025810242	0.470056414604187	-0.000523634604178369	0.40626317262649536	0.5402166247367859	0.6114190816879272	0.5242039561271667	0.4457899034023285	0.05365860089659691	-0.020356077700853348	0.10848215967416763	0.0471491739153862	0.4418739974498749	0.046082306653261185	-0.028797553852200508	-0.0944950059056282	0.32571569085121155	0.43531325459480286	0.277146577835083	0.35694214701652527	-0.05355934426188469	-0.015573451295495033	0.4518333077430725	0.06171796843409538	0.013657989911735058	0.26648861169815063	-0.060600943863391876	0.004520721733570099	0.0361395962536335	0.4050215482711792	-0.06656251102685928	0.42503371834754944	0.21098238229751587	0.3446044325828552	0.05873451381921768	0.06730411946773529	0.05466492846608162	0.10265509784221649	0.03625060245394707	0.09799806773662567	0.385322242975235	0.41795670986175537	0.13109609484672546	0.366994708776474	0.0612899586558342	0.06698921322822571	-0.03090655617415905	0.034827180206775665	0.2729366421699524	0.033398933708667755	0.01411509420722723	0.051282647997140884	0.12573793530464172	0.03206765651702881	-0.006191725842654705	0.05401570349931717	0.14151659607887268	0.007674871012568474	
