	Oui/vie/saine	Oui/personne/saine	Oui/peau/saine	Oui/nourriture/saine	Oui/chair/saine	Oui/écorces/saines	Oui/dents/saines	Oui/bouche/saine	Oui/jambe/saine	Oui/feuilles/saines	Non/colère/saine	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/soleil/plomb
Oui/vie/saine	1.0	0.7617315649986267	0.7403078079223633	0.5733586549758911	0.763556957244873	0.3131118714809418	0.3889956474304199	0.6108464002609253	0.7126202583312988	0.3124297857284546	0.5931146740913391	0.25186294317245483	0.059407129883766174	0.28610318899154663	0.19160035252571106	0.25152966380119324	0.2631395757198334	0.24707791209220886	0.29409414529800415	0.2620082199573517	0.2213398814201355	0.26033085584640503	
Oui/personne/saine	0.7617315649986267	1.0	0.7653790712356567	0.6641119718551636	0.7640607357025146	0.31640055775642395	0.42885661125183105	0.718751847743988	0.7585922479629517	0.24045336246490479	0.6850494146347046	0.2722228467464447	0.08626298606395721	0.33563703298568726	0.2131854146718979	0.2721925675868988	0.2855485677719116	0.24644817411899567	0.31634217500686646	0.2776170074939728	0.26366299390792847	0.2373485565185547	
Oui/peau/saine	0.7403078079223633	0.7653790712356567	1.0	0.6264623999595642	0.750817596912384	0.34359586238861084	0.46017709374427795	0.7293679714202881	0.7012693285942078	0.29924148321151733	0.559532880783081	0.2968621253967285	0.15974771976470947	0.34737706184387207	0.25232771039009094	0.27381446957588196	0.29156196117401123	0.28927794098854065	0.33090704679489136	0.3312148451805115	0.2994978427886963	0.2447122037410736	
Oui/nourriture/saine	0.5733586549758911	0.6641119718551636	0.6264623999595642	1.0	0.6118080019950867	0.16407479345798492	0.22807171940803528	0.6279374957084656	0.6234440207481384	0.14956367015838623	0.5960134863853455	0.21016335487365723	0.0959198847413063	0.3295528292655945	0.17543788254261017	0.22392545640468597	0.27343714237213135	0.2671586871147156	0.34716886281967163	0.2727469503879547	0.2682918906211853	0.25165855884552	
Oui/chair/saine	0.763556957244873	0.7640607357025146	0.750817596912384	0.6118080019950867	1.0	0.29511919617652893	0.36719465255737305	0.6945227980613708	0.7933304309844971	0.2415919452905655	0.6277333498001099	0.3058587908744812	0.10187532007694244	0.3458637297153473	0.23746837675571442	0.336382657289505	0.35132524371147156	0.26256489753723145	0.34436434507369995	0.3169191777706146	0.26956242322921753	0.30728211998939514	
Oui/écorces/saines	0.3131118714809418	0.31640055775642395	0.34359586238861084	0.16407479345798492	0.29511919617652893	1.0	0.7968651056289673	0.38899776339530945	0.25001612305641174	0.7895842790603638	0.19633542001247406	0.023021243512630463	0.15293042361736298	-0.06595554202795029	-0.001764387357980013	0.022734053432941437	-0.05683019757270813	-0.06595230847597122	-0.09311147779226303	-0.058576758950948715	-0.09260224550962448	-0.01732509583234787	
Oui/dents/saines	0.3889956474304199	0.42885661125183105	0.46017709374427795	0.22807171940803528	0.36719465255737305	0.7968651056289673	1.0	0.40970808267593384	0.36218738555908203	0.7412914037704468	0.2663542628288269	0.11508394032716751	0.20710870623588562	0.03883109241724014	0.10062581300735474	0.10316776484251022	0.0524643175303936	0.019737886264920235	0.008485698141157627	0.04596231132745743	0.0072527374140918255	0.030870266258716583	
Oui/bouche/saine	0.6108464002609253	0.718751847743988	0.7293679714202881	0.6279374957084656	0.6945227980613708	0.38899776339530945	0.40970808267593384	1.0	0.6737120747566223	0.18212783336639404	0.6522734761238098	0.25882187485694885	0.1279444694519043	0.2819617986679077	0.24640832841396332	0.22163055837154388	0.27650097012519836	0.23490755259990692	0.30394017696380615	0.27426958084106445	0.267147034406662	0.2278999239206314	
Oui/jambe/saine	0.7126202583312988	0.7585922479629517	0.7012693285942078	0.6234440207481384	0.7933304309844971	0.25001612305641174	0.36218738555908203	0.6737120747566223	1.0	0.2209177017211914	0.6180393099784851	0.20725880563259125	0.018428359180688858	0.2972491383552551	0.16937147080898285	0.2498241364955902	0.24709075689315796	0.21141348779201508	0.3045770823955536	0.269818514585495	0.22362810373306274	0.27025100588798523	
Oui/feuilles/saines	0.3124297857284546	0.24045336246490479	0.29924148321151733	0.14956367015838623	0.2415919452905655	0.7895842790603638	0.7412914037704468	0.18212783336639404	0.2209177017211914	1.0	0.12223494052886963	0.023412521928548813	0.19404426217079163	-0.03449391573667526	0.011425415985286236	0.06221342831850052	-0.05181419476866722	-0.02800271473824978	-0.06047779694199562	-0.01902364380657673	-0.05608311668038368	0.009135141968727112	
