	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colères/saines	Non/colères/saines	Oui/vie/saine	Oui/personne/saine	Oui/peau/saine	Oui/nourriture/saine	Oui/chair/saine	Oui/écorces/saines	Oui/dents/saines	Oui/bouche/saine	Oui/jambe/saine	Oui/feuilles/saines	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb
Non/colère/saine	1.0	0.6803779602050781	0.5601814985275269	0.8274226188659668	0.7917296290397644	0.8302611708641052	0.7759020924568176	0.7312056422233582	0.19548742473125458	0.40089595317840576	0.7052539587020874	0.7638496160507202	0.6160367727279663	0.6064441204071045	0.7233644127845764	0.21929866075515747	0.26664936542510986	0.6566130518913269	0.6830673217773438	0.14837084710597992	0.3326537311077118	0.3614770472049713	0.31650835275650024	0.3568727970123291	0.281731516122818	0.31635788083076477	0.3057117760181427	0.3699398338794708	0.19177895784378052	0.3458672761917114	0.2546961009502411	0.05890021100640297	0.32189252972602844	0.2159886658191681	0.2938634753227234	0.2881283164024353	0.22433988749980927	0.31224188208580017	0.28153032064437866	0.2484632432460785	
Non/colère/saine	0.6803779602050781	1.0	0.547079861164093	0.7639352679252625	0.6560744643211365	0.7309808731079102	0.7443147301673889	0.7695990800857544	0.23344458639621735	0.3002470135688782	0.5031169652938843	0.5639488697052002	0.5432130098342896	0.4914506673812866	0.541927695274353	0.09882308542728424	0.18244138360023499	0.6178204417228699	0.49759116768836975	0.013823822140693665	0.29978036880493164	0.3170285224914551	0.300601065158844	0.3211512863636017	0.25971537828445435	0.2885967791080475	0.30356860160827637	0.31746917963027954	0.2672591805458069	0.32925763726234436	0.3140539824962616	0.15100178122520447	0.3670600354671478	0.30137231945991516	0.29656654596328735	0.3430016338825226	0.2977391481399536	0.3580206334590912	0.3476763963699341	0.34237003326416016	
Non/colère/saine	0.5601814985275269	0.547079861164093	1.0	0.5662295818328857	0.558203935623169	0.5644354224205017	0.6161918640136719	0.5780143141746521	0.3035963773727417	0.41383999586105347	0.6812581419944763	0.6735716462135315	0.6876563429832458	0.5139728784561157	0.6376374363899231	0.38072067499160767	0.43801698088645935	0.5916401147842407	0.5902731418609619	0.3876098096370697	0.27536889910697937	0.30145934224128723	0.2680828869342804	0.2827290892601013	0.2744026780128479	0.28308242559432983	0.2574310004711151	0.2730722427368164	0.21981339156627655	0.29729199409484863	0.22690948843955994	0.15845106542110443	0.28020235896110535	0.20486855506896973	0.242751345038414	0.2643160820007324	0.2577238082885742	0.27408742904663086	0.26709678769111633	0.25813671946525574	
Non/colère/saine	0.8274226188659668	0.7639352679252625	0.5662295818328857	1.0	0.8282694816589355	0.8466589450836182	0.7790339589118958	0.884170651435852	0.2196805775165558	0.3776375949382782	0.5800096988677979	0.6289536952972412	0.5346772074699402	0.598016083240509	0.5882995128631592	0.1677311211824417	0.21769112348556519	0.6183217763900757	0.5925528407096863	0.10602875798940659	0.28800514340400696	0.30379581451416016	0.26772722601890564	0.31081634759902954	0.2539282739162445	0.2922324240207672	0.2660745680332184	0.3141944110393524	0.1857137382030487	0.2983790338039398	0.23763646185398102	0.08874361217021942	0.3138595223426819	0.22337786853313446	0.272201269865036	0.2814119756221771	0.2208983302116394	0.30667826533317566	0.28932610154151917	0.26072612404823303	
Non/colère/saine	0.7917296290397644	0.6560744643211365	0.558203935623169	0.8282694816589355	1.0	0.7540034055709839	0.650549590587616	0.7788476943969727	0.10467439144849777	0.33541178703308105	0.5641186833381653	0.6671976447105408	0.5379916429519653	0.6908962726593018	0.6147228479385376	0.15639737248420715	0.19475850462913513	0.5934240818023682	0.5957530736923218	0.16375945508480072	0.32191309332847595	0.3561710715293884	0.30615004897117615	0.3237709701061249	0.2805596590042114	0.3519967496395111	0.2918550670146942	0.34703710675239563	0.1636953502893448	0.32799381017684937	0.23056046664714813	0.09984449297189713	0.3272719383239746	0.19372111558914185	0.2727516293525696	0.28179851174354553	0.22621740400791168	0.3339037001132965	0.2704804837703705	0.2649056613445282	
Non/colère/saine	0.8302611708641052	0.7309808731079102	0.5644354224205017	0.8466589450836182	0.7540034055709839	1.0	0.7572464942932129	0.7766616344451904	0.208416149020195	0.3803417980670929	0.5931146740913391	0.6850494146347046	0.559532880783081	0.5960134863853455	0.6277333498001099	0.19633542001247406	0.2663542628288269	0.6522734761238098	0.6180393099784851	0.12223494052886963	0.31884121894836426	0.33405646681785583	0.2825603485107422	0.3349887728691101	0.28371936082839966	0.29520103335380554	0.3095477223396301	0.3419772684574127	0.2280813604593277	0.32946962118148804	0.2409723997116089	0.1201467290520668	0.3222077786922455	0.2489595264196396	0.2636908292770386	0.2968914806842804	0.24225519597530365	0.3031393587589264	0.3035503625869751	0.28436151146888733	
Non/colère/saine	0.7759020924568176	0.7443147301673889	0.6161918640136719	0.7790339589118958	0.650549590587616	0.7572464942932129	1.0	0.764614999294281	0.4293462038040161	0.4381817877292633	0.5885464549064636	0.6474429368972778	0.5555062890052795	0.4935912787914276	0.6007806062698364	0.20741459727287292	0.29895836114883423	0.5592443943023682	0.5271528363227844	0.16479162871837616	0.28300848603248596	0.2819056808948517	0.26110193133354187	0.2848600745201111	0.22283875942230225	0.2443966418504715	0.2558896541595459	0.2861020267009735	0.20900984108448029	0.289961040019989	0.24911895394325256	0.1356717348098755	0.30855709314346313	0.2263583242893219	0.2617449462413788	0.27135729789733887	0.2459886521100998	0.2683071792125702	0.2852112352848053	0.23977702856063843	
Non/colère/saine	0.7312056422233582	0.7695990800857544	0.5780143141746521	0.884170651435852	0.7788476943969727	0.7766616344451904	0.764614999294281	1.0	0.22009406983852386	0.3469720184803009	0.5097557306289673	0.5775029063224792	0.541557788848877	0.6015800833702087	0.5510991811752319	0.13378863036632538	0.19899678230285645	0.6279036998748779	0.5412150025367737	0.09199298918247223	0.3088720142841339	0.2946873903274536	0.28586697578430176	0.29140666127204895	0.2544703781604767	0.29103803634643555	0.2818377614021301	0.29016971588134766	0.22320985794067383	0.3087705075740814	0.26412323117256165	0.14404846727848053	0.3266121745109558	0.24612846970558167	0.26110419631004333	0.29379507899284363	0.2688715159893036	0.32646942138671875	0.3073320984840393	0.29351797699928284	
Non/colères/saines	0.19548742473125458	0.23344458639621735	0.3035963773727417	0.2196805775165558	0.10467439144849777	0.208416149020195	0.4293462038040161	0.22009406983852386	1.0	0.6269112229347229	0.17454905807971954	0.13685452938079834	0.14538806676864624	0.014271656982600689	0.094980888068676	0.5602294206619263	0.5324303507804871	0.19207064807415009	0.06367947906255722	0.5277028679847717	-0.04329019412398338	0.017593400552868843	0.0058923386968672276	-0.001855307724326849	0.01484566181898117	-0.05657009035348892	-0.028184521943330765	-0.023672735318541527	0.08689186722040176	-0.004375043790787458	-0.00563985388725996	0.13496072590351105	-0.09241991490125656	0.016406970098614693	0.01340792328119278	-0.06622068583965302	-0.06387188285589218	-0.11681623011827469	-0.06970614194869995	-0.10319789499044418	
Non/colères/saines	0.40089595317840576	0.3002470135688782	0.41383999586105347	0.3776375949382782	0.33541178703308105	0.3803417980670929	0.4381817877292633	0.3469720184803009	0.6269112229347229	1.0	0.34879404306411743	0.30372655391693115	0.26462212204933167	0.19379809498786926	0.26696476340293884	0.6120318174362183	0.5790426731109619	0.260173499584198	0.25360992550849915	0.6449055075645447	0.19892454147338867	0.21121522784233093	0.22684867680072784	0.17865364253520966	0.1987909972667694	0.1875719428062439	0.18744167685508728	0.12551717460155487	0.1974603831768036	0.19210216403007507	0.1481597125530243	0.29041600227355957	0.13076657056808472	0.19130797684192657	0.19548407196998596	0.10403943806886673	0.11684861034154892	0.10071707516908646	0.15938615798950195	0.11852094531059265	
