	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Oui/fossé/profond	Oui/galeries/profondes	Oui/gorges/profondes	Oui/puits/profond	Oui/fosse/profonde	Oui/grotte/profonde	Oui/faille/profonde	Oui/caverne/profonde	Oui/forêt/profonde	Oui/cavité/profonde
Non/soleil/plomb	1.0	0.8951682448387146	0.9190965890884399	0.8761166334152222	0.8819432258605957	0.9204068779945374	0.8874815702438354	0.8239001631736755	0.624505341053009	0.8978153467178345	0.6179314255714417	0.46053776144981384	0.7106677293777466	0.6152634024620056	0.665634274482727	0.6878179311752319	0.6530791521072388	0.7254236340522766	0.6995400190353394	0.6787126064300537	0.3764755129814148	0.4076458811759949	0.3607088029384613	0.3872816562652588	0.2637968957424164	0.33616411685943604	0.3014388382434845	0.3092275857925415	0.36152416467666626	0.23443034291267395	0.3657570481300354	0.19598472118377686	-0.05015282705426216	0.36616605520248413	0.23504678905010223	0.30815911293029785	0.3428897261619568	0.25485047698020935	0.29692503809928894	0.30218207836151123	
Non/soleil/plomb	0.8951682448387146	1.0	0.9086250066757202	0.8841890692710876	0.8868165612220764	0.8719300627708435	0.8759899735450745	0.8452175259590149	0.6733908653259277	0.8683567643165588	0.5952141284942627	0.46873584389686584	0.6844099164009094	0.6421921849250793	0.669196367263794	0.6640549898147583	0.6131501197814941	0.7214904427528381	0.6736747026443481	0.6737348437309265	0.31256136298179626	0.39786410331726074	0.3338296115398407	0.3664727509021759	0.21650274097919464	0.27795901894569397	0.2477167844772339	0.2888650894165039	0.36876633763313293	0.1863238364458084	0.3127198815345764	0.2130139321088791	-0.02824927307665348	0.33583864569664	0.24373067915439606	0.3026633858680725	0.29604095220565796	0.2491045445203781	0.24789683520793915	0.31906649470329285	
Non/soleil/plomb	0.9190965890884399	0.9086250066757202	1.0	0.8988037109375	0.8863524198532104	0.8851801156997681	0.904960036277771	0.838741660118103	0.7234064340591431	0.8874656558036804	0.6537595987319946	0.5199945569038391	0.719392716884613	0.691344141960144	0.7308174967765808	0.7076280117034912	0.6534882187843323	0.7354036569595337	0.725630521774292	0.7032576203346252	0.29428401589393616	0.3583435118198395	0.32951465249061584	0.3442493677139282	0.18913212418556213	0.2629619240760803	0.24656492471694946	0.2508690059185028	0.3238457441329956	0.1653180718421936	0.29404526948928833	0.22381605207920074	-0.02850235439836979	0.31614139676094055	0.2113502323627472	0.2750653028488159	0.279465913772583	0.22221589088439941	0.25520795583724976	0.28542226552963257	
Non/soleil/plomb	0.8761166334152222	0.8841890692710876	0.8988037109375	1.0	0.9325247406959534	0.8724322319030762	0.897245466709137	0.9179525971412659	0.7028185129165649	0.8996404409408569	0.6302401423454285	0.4218347668647766	0.6875318288803101	0.6498329043388367	0.7405642867088318	0.7100019454956055	0.5933655500411987	0.7244766354560852	0.6854842901229858	0.6754360795021057	0.3130233883857727	0.36687102913856506	0.3576048016548157	0.35756027698516846	0.27003294229507446	0.33170750737190247	0.2765652537345886	0.28672465682029724	0.350669801235199	0.2058706134557724	0.3210523724555969	0.14466862380504608	-0.020528824999928474	0.3593432903289795	0.25350385904312134	0.2921483814716339	0.3184513449668884	0.28826501965522766	0.28620973229408264	0.3233884572982788	
Non/soleil/plomb	0.8819432258605957	0.8868165612220764	0.8863524198532104	0.9325247406959534	1.0	0.8689791560173035	0.8737496137619019	0.8753001689910889	0.7283756136894226	0.8747672438621521	0.5802951455116272	0.4364706873893738	0.6369224190711975	0.6238940954208374	0.6667677760124207	0.6497607827186584	0.5925552248954773	0.6616414785385132	0.6375220417976379	0.6360799074172974	0.28755983710289	0.34701085090637207	0.32227328419685364	0.3179752826690674	0.22329677641391754	0.28712382912635803	0.2237432599067688	0.26001259684562683	0.3198780417442322	0.18336273729801178	0.27327147126197815	0.17712926864624023	0.0035404858645051718	0.3018207550048828	0.1884690523147583	0.24116918444633484	0.26224562525749207	0.22337670624256134	0.22290609776973724	0.25637349486351013	
Non/soleil/plomb	0.9204068779945374	0.8719300627708435	0.8851801156997681	0.8724322319030762	0.8689791560173035	1.0	0.8585060238838196	0.8739652633666992	0.6210684180259705	0.9165387749671936	0.5596413016319275	0.42627787590026855	0.6667262315750122	0.594958484172821	0.6604890823364258	0.6785657405853271	0.5999743342399597	0.7078529000282288	0.6501325964927673	0.6474499106407166	0.3959982395172119	0.46324723958969116	0.39912256598472595	0.4071122705936432	0.2628162205219269	0.3296140730381012	0.29312753677368164	0.34248948097229004	0.3799050748348236	0.25710490345954895	0.403214693069458	0.2204761803150177	0.012048257514834404	0.3805893659591675	0.28113406896591187	0.32098478078842163	0.3439457416534424	0.2516639530658722	0.2930407226085663	0.30231961607933044	
Non/soleil/plomb	0.8874815702438354	0.8759899735450745	0.904960036277771	0.897245466709137	0.8737496137619019	0.8585060238838196	1.0	0.8576735258102417	0.6985471248626709	0.8916669487953186	0.6595183610916138	0.4976857602596283	0.7381352782249451	0.7010164856910706	0.7154005169868469	0.7343242764472961	0.6329928636550903	0.7365191578865051	0.7554019093513489	0.7164099812507629	0.2675509750843048	0.32696375250816345	0.3007466495037079	0.3167765438556671	0.19914737343788147	0.250806599855423	0.22972464561462402	0.23918417096138	0.3064621090888977	0.1581135392189026	0.2612614631652832	0.17324094474315643	-0.022980529814958572	0.31468063592910767	0.22186096012592316	0.2768813669681549	0.30922001600265503	0.2604883313179016	0.2751941680908203	0.2997720241546631	
Non/soleil/plomb	0.8239001631736755	0.8452175259590149	0.838741660118103	0.9179525971412659	0.8753001689910889	0.8739652633666992	0.8576735258102417	1.0	0.667903482913971	0.9002167582511902	0.5822363495826721	0.3607954978942871	0.6214351654052734	0.5807214379310608	0.6761911511421204	0.6778146624565125	0.5251520872116089	0.6661873459815979	0.6150625348091125	0.60671466588974	0.32950669527053833	0.39169174432754517	0.3345728814601898	0.3699995279312134	0.27794915437698364	0.3325751721858978	0.27721795439720154	0.27855032682418823	0.3417218029499054	0.24154521524906158	0.3328913748264313	0.12909571826457977	-0.019622957333922386	0.36132851243019104	0.27728593349456787	0.296530157327652	0.34328776597976685	0.31933170557022095	0.30646973848342896	0.32119786739349365	
Non/soleil/plomb	0.624505341053009	0.6733908653259277	0.7234064340591431	0.7028185129165649	0.7283756136894226	0.6210684180259705	0.6985471248626709	0.667903482913971	1.0	0.6893501281738281	0.6478348970413208	0.5551229119300842	0.6319806575775146	0.7551699280738831	0.6852502822875977	0.6846330761909485	0.634471595287323	0.6452073454856873	0.6815146207809448	0.684180736541748	0.17059993743896484	0.2262689769268036	0.2370787411928177	0.2474793642759323	0.142229363322258	0.17534048855304718	0.17194335162639618	0.16781023144721985	0.24038557708263397	0.13461081683635712	0.1981775015592575	0.18917696177959442	0.05561848729848862	0.2542405426502228	0.11023951321840286	0.20292487740516663	0.19571807980537415	0.20665505528450012	0.22818736732006073	0.2057041972875595	
Non/soleil/plomb	0.8978153467178345	0.8683567643165588	0.8874656558036804	0.8996404409408569	0.8747672438621521	0.9165387749671936	0.8916669487953186	0.9002167582511902	0.6893501281738281	1.0	0.6377526521682739	0.4628722071647644	0.6853612065315247	0.6489787697792053	0.7084625959396362	0.73511803150177	0.6085667014122009	0.7228652834892273	0.6970510482788086	0.6655551791191101	0.33035212755203247	0.3868955075740814	0.3599209785461426	0.3821045756340027	0.24696825444698334	0.29879480600357056	0.2722693085670471	0.28937336802482605	0.3469729423522949	0.22030141949653625	0.34064504504203796	0.16005124151706696	-0.02714819461107254	0.3596615195274353	0.2511967718601227	0.2914188802242279	0.3142938017845154	0.2555294334888458	0.2953246235847473	0.2771117687225342	
